Tipo de depósito;Posição no depósito;Produto;Descrição breve do produto;UM básica;Qtd.disponível UMB;Tipo de estoque;Denominação do tipo de estoque;Preço do material;Valor total;Nome do usuário;Dt.contg.inven.fís.;Qtd.na UM administrada em estoque;UM admin.estoque
BLIN;2G-04-00A BLIN;400906;HASTE ATERRAMENTO CI AC 14,3X2438MM;UN;4.404;L2;Utilização livre depósito INVT;99,09;436.392,36;;;0,00000000000000;
BLIN;2G-04-01E BLIN;404084;ESPACADOR LOSANG CLASSE 15KV C/ GARRAS;UN;384;L2;Utilização livre depósito INVT;22,29;8.559,36;;;0,00000000000000;
BLIN;2G-04-06B BLIN;400506;CONECTOR DER CU 13-34MM2;UN;1.573;L2;Utilização livre depósito INVT;9,80;15.415,40;;;0,00000000000000;
BLIN;2G-04-06C BLIN;401568;CONECTOR COMP DER 4/0AWG 3/0-4/0AWG;UN;2.387;L2;Utilização livre depósito INVT;1,24;2.959,88;;;0,00000000000000;
BLIN;2G-04-12B BLIN;401870;CARTUCHO MET P/CUNHA AZ FEST CALIB 22;UN;9.542;L2;Utilização livre depósito INVT;1,02;9.732,84;;;0,00000000000000;
BLIN;2G-04-13A - BLIN;401834;CONECTOR PARAL AL 10AWG-1/0AWG;UN;342;L2;Utilização livre depósito INVT;11,69;3.997,98;;;0,00000000000000;
BLIN;2G-04-14A BLIN;403682;BUCHA LOK 01;UN;48.727;L2;Utilização livre depósito INVT;0,85;41.417,95;;;0,00000000000000;
BLIN;2G-04-14A BLIN;405537;CONEC PERF PRIN 16-120 DER 4-36 2AMP LIM;UN;776;L2;Utilização livre depósito INVT;48,73;37.814,48;;;0,00000000000000;
BLIN;2G-04-14B BLIN;402433;PARA-RAIO DISTRIB POL 12KV 10KA S/CENT;UN;50;L2;Utilização livre depósito INVT;156,07;7.803,50;;;0,00000000000000;
BLIN;2G-05-07B BLIN;403572;PRENSA CABO NYLON CURTO 1/2P;UN;5.075;L2;Utilização livre depósito INVT;3,75;19.031,25;;;0,00000000000000;
BLIN;2G-05-09A BLIN;402401;PINO ISOLADOR POLIMERICO AC 15KV 200MM;UN;827;L2;Utilização livre depósito INVT;27,83;23.015,41;;;0,00000000000000;
BLIN;2G-05-12A BLIN;401131;PARAFUSO CAB QD AC 16MM 225MM 300MM;UN;6.445;L2;Utilização livre depósito INVT;10,91;70.314,95;;;0,00000000000000;
BLIN;2G-05-12A BLIN;800119;PARAFUSO CAB QD AC 16MM 225MM 300MM;UN;258;F3;Utilização livre depósito CUST;12,82;3.307,56;;;0,00000000000000;
BLIN;2G-05-14A BLIN;401239;PARAFUSO CAB QD AC 16MM 450MM;UN;3.929;L2;Utilização livre depósito INVT;23,02;90.445,58;;;0,00000000000000;
BLIN;2G-05-18B BLIN;405487;TERMINAL TUBULAR CU ESTANHADO 25MM2 AZ;UN;69.249;L2;Utilização livre depósito INVT;0,74;51.244,26;;;0,00000000000000;
BLIN;2G-05-19A BLIN;400942;PARAFUSO CAB ABA PESC QD AC 16MM 70MM;UN;11.154;L2;Utilização livre depósito INVT;4,68;52.200,72;;;0,00000000000000;
BLIN;2G-05-21A BLIN;400974;PORCA QUADRADA AC 16MM 2MM;UN;88;L2;Utilização livre depósito INVT;2,00;176,00;;;0,00000000000000;
BLIN;2G-05-21A BLIN;402296;GANCHO OLHAL AC 17MM 5000KGF;UN;574;L2;Utilização livre depósito INVT;12,52;7.186,48;;;0,00000000000000;
BLIN;2G-06-01B BLIN;400506;CONECTOR DER CU 13-34MM2;UN;159;L2;Utilização livre depósito INVT;9,80;1.558,20;;;0,00000000000000;
BLIN;2G-06-01B BLIN;410041;PARAFUSO AUTO BROC CHAT phillips 4.2x25m;UN;36.427;L2;Utilização livre depósito INVT;0,43;15.663,61;;;0,00000000000000;
BLIN;2G-06-01C BLIN;803977;ABRACADEIRA PLAS 300 X 4,80MM;UN;500;F3;Utilização livre depósito CUST;0,18;90,00;;;0,00000000000000;
BLIN;2G-06-01E BLIN;403499;ABRACADEIRA PLAS 300 X 4,80MM;UN;109.483;L2;Utilização livre depósito INVT;0,18;19.706,94;;;0,00000000000000;
BLIN;2G-06-02B BLIN;410041;PARAFUSO AUTO BROC CHAT phillips 4.2x25m;UN;46.400;L2;Utilização livre depósito INVT;0,43;19.952,00;;;0,00000000000000;
BLIN;2G-06-02B BLIN;410213;TINTA SPRAY;UN;86;L2;Utilização livre depósito INVT;18,00;1.548,00;;;0,00000000000000;
BLIN;2G-06-02C BLIN;402307;CONECTOR PERF 4 SAÍDAS 25-240MM2/1,5-35M;UN;1.369;L2;Utilização livre depósito INVT;73,82;101.059,58;;;0,00000000000000;
BLIN;2G-06-02E BLIN;403838;ALCA PREFORM CABO CONC  1X16 + 16;UN;4.207;L2;Utilização livre depósito INVT;3,07;12.915,49;;;0,00000000000000;
BLIN;2G-06-03B BLIN;410212;FITA AUTOADESIVA BLINDAGEM 10cmX10m;UN;46;L2;Utilização livre depósito INVT;20,82;957,72;;;0,00000000000000;
BLIN;2G-06-03C BLIN;405491;TERMINAL TUBULAR CU ESTANHADO 35MM2;UN;15.746;L2;Utilização livre depósito INVT;0,97;15.273,62;;;0,00000000000000;
BLIN;2G-06-04B BLIN;405487;TERMINAL TUBULAR CU ESTANHADO 25MM2 AZ;UN;53.305;L2;Utilização livre depósito INVT;0,74;39.445,70;;;0,00000000000000;
BLIN;2G-06-04C BLIN;405487;TERMINAL TUBULAR CU ESTANHADO 25MM2 AZ;UN;39.900;L2;Utilização livre depósito INVT;0,74;29.526,00;;;0,00000000000000;
BLIN;2G-06-04D BLIN;402433;PARA-RAIO DISTRIB POL 12KV 10KA S/CENT;UN;60;L2;Utilização livre depósito INVT;156,07;9.364,20;;;0,00000000000000;
BLIN;2G-06-05A BLIN;402296;GANCHO OLHAL AC 17MM 5000KGF;UN;1;L2;Utilização livre depósito INVT;12,52;12,52;;;0,00000000000000;
BLIN;2G-06-05B BLIN;402587;FITA ISOL EPR 0,76X19MM 10M PT;UN;54;L2;Utilização livre depósito INVT;29,69;1.603,26;;;0,00000000000000;
BLIN;2G-06-05B BLIN;405537;CONEC PERF PRIN 16-120 DER 4-36 2AMP LIM;UN;492;L2;Utilização livre depósito INVT;48,73;23.975,16;;;0,00000000000000;
BLIN;2G-06-05B BLIN;410177;ABRACADEIRA AÇO INOX 304 – 362X7,90MM;UN;34.241;L2;Utilização livre depósito INVT;2,13;72.933,33;;;0,00000000000000;
BLIN;2G-06-05C BLIN;405491;TERMINAL TUBULAR CU ESTANHADO 35MM2;UN;7.414;L2;Utilização livre depósito INVT;0,97;7.191,58;;;0,00000000000000;
BLIN;2G-06-05D BLIN;402433;PARA-RAIO DISTRIB POL 12KV 10KA S/CENT;UN;459;L2;Utilização livre depósito INVT;156,07;71.636,13;;;0,00000000000000;
BLIN;2G-06-05E BLIN;402307;CONECTOR PERF 4 SAÍDAS 25-240MM2/1,5-35M;UN;1.750;L2;Utilização livre depósito INVT;73,82;129.185,00;;;0,00000000000000;
BLIN;2G-06-06A BLIN;401927;MANILHA SAPATILHA 5000DAN;UN;214;L2;Utilização livre depósito INVT;18,63;3.986,82;;;0,00000000000000;
BLIN;2G-06-06A BLIN;402401;PINO ISOLADOR POLIMERICO AC 15KV 200MM;UN;37;L2;Utilização livre depósito INVT;27,83;1.029,71;;;0,00000000000000;
BLIN;2G-06-06B BLIN;401566;CONECTOR PARAL AL 4/0AWG 1/0AWG;UN;780;L2;Utilização livre depósito INVT;18,63;14.531,40;;;0,00000000000000;
BLIN;2G-06-06B BLIN;401568;CONECTOR COMP DER 4/0AWG 3/0-4/0AWG;UN;2.370;L2;Utilização livre depósito INVT;1,24;2.938,80;;;0,00000000000000;
BLIN;2G-06-06C BLIN;402331;BRACO C/GRAMPO SUSPE SECU 500DAN;UN;192;L2;Utilização livre depósito INVT;47,63;9.144,96;;;0,00000000000000;
BLIN;2G-06-06C BLIN;404732;CONECTOR PERFUR 50-185MM MED TENSAO 15KV;UN;602;L2;Utilização livre depósito INVT;92,12;55.456,24;;;0,00000000000000;
BLIN;2G-06-06D BLIN;401116;ISOLADOR ANCOR POLIM 15KV 5000DAN;UN;500;L2;Utilização livre depósito INVT;36,55;18.275,00;;;0,00000000000000;
BLIN;2G-06-06D BLIN;403682;BUCHA LOK 01;UN;77.827;L2;Utilização livre depósito INVT;0,85;66.152,95;;;0,00000000000000;
BLIN;2G-06-07A BLIN;402127;PARAFUSO CAB ABA AC 16MM 45MM;UN;6.238;L2;Utilização livre depósito INVT;4,37;27.260,06;;;0,00000000000000;
BLIN;2G-06-07A BLIN;403121;FITA ISOLANTE ELET PVC 19X0,19MM 20M PT;UN;1.389;L2;Utilização livre depósito INVT;10,70;14.862,30;;;0,00000000000000;
BLIN;2G-06-07B BLIN;400790;CONECTOR ATERR REFORÇ HAST/CAB 5/8-35MM2;UN;508;L2;Utilização livre depósito INVT;21,04;10.688,32;;;0,00000000000000;
BLIN;2G-06-07B BLIN;401500;CONECTOR DER CUNHA AL 2/0AWG 4/0AWG;UN;190;L2;Utilização livre depósito INVT;13,37;2.540,30;;;0,00000000000000;
BLIN;2G-06-07B BLIN;401834;CONECTOR PARAL AL 10AWG-1/0AWG;UN;93;L2;Utilização livre depósito INVT;11,69;1.087,17;;;0,00000000000000;
BLIN;2G-06-07B BLIN;403594;ALCA PREFORM CABO CONC  2X16 + 16;UN;667;L2;Utilização livre depósito INVT;10,04;6.696,68;;;0,00000000000000;
BLIN;2G-06-07C BLIN;403209;PRENSA CABO PVC 3/4P;UN;8.606;L2;Utilização livre depósito INVT;5,77;49.656,62;;;0,00000000000000;
BLIN;2G-06-07D BLIN;402307;CONECTOR PERF 4 SAÍDAS 25-240MM2/1,5-35M;UN;875;L2;Utilização livre depósito INVT;73,82;64.592,50;;;0,00000000000000;
BLIN;2G-06-07D BLIN;403675;ALCA PREFORM CABO CONC  3X25 + 25;UN;657;L2;Utilização livre depósito INVT;10,42;6.845,94;;;0,00000000000000;
BLIN;2G-06-07E BLIN;403594;ALCA PREFORM CABO CONC  2X16 + 16;UN;5.400;L2;Utilização livre depósito INVT;10,04;54.216,00;;;0,00000000000000;
BLIN;2G-06-08B BLIN;400359;ALCA PREFORM ESTAI 3/8P 9,5MM 889MM;UN;14;L2;Utilização livre depósito INVT;20,28;283,92;;;0,00000000000000;
BLIN;2G-06-08B BLIN;401574;BRACO ANTIBALANCO PA PT 15KV 320MM;UN;498;L2;Utilização livre depósito INVT;19,01;9.466,98;;;0,00000000000000;
BLIN;2G-06-08D BLIN;402307;CONECTOR PERF 4 SAÍDAS 25-240MM2/1,5-35M;UN;1.623;L2;Utilização livre depósito INVT;73,82;119.809,86;;;0,00000000000000;
BLIN;2G-06-09A BLIN;400011;SUPORTE TRANSF POSTE DUP T AC 210X115MM;UN;99;L2;Utilização livre depósito INVT;104,75;10.370,25;;;0,00000000000000;
BLIN;2G-06-09B BLIN;400655;GRAMPO ANCOR CUNHA AL 185MM2 400DAN;UN;26;L2;Utilização livre depósito INVT;42,11;1.094,86;;;0,00000000000000;
BLIN;2G-06-09B BLIN;408995;GRAMPO ANCOR UNIVERSAL 35MM2 A 185MM2;UN;34;L2;Utilização livre depósito INVT;26,31;894,54;;;0,00000000000000;
BLIN;2G-06-09C BLIN;401116;ISOLADOR ANCOR POLIM 15KV 5000DAN;UN;400;L2;Utilização livre depósito INVT;36,55;14.620,00;;;0,00000000000000;
BLIN;2G-06-09D BLIN;402307;CONECTOR PERF 4 SAÍDAS 25-240MM2/1,5-35M;UN;1.750;L2;Utilização livre depósito INVT;73,82;129.185,00;;;0,00000000000000;
BLIN;2G-06-09E BLIN;407094;SEALTUBO 1.1/2 FLEX ESP. AÇO CAPA PVC;M;320;L2;Utilização livre depósito INVT;70,33;22.505,60;;;0,00000000000000;
BLIN;2G-06-10B BLIN;401116;ISOLADOR ANCOR POLIM 15KV 5000DAN;UN;129;L2;Utilização livre depósito INVT;36,55;4.714,95;;;0,00000000000000;
BLIN;2G-06-10B BLIN;402324;SELA CRUZETA POSTE AC 115MM 18MM;UN;90;L2;Utilização livre depósito INVT;5,09;458,10;;;0,00000000000000;
BLIN;2G-06-10C BLIN;404084;ESPACADOR LOSANG CLASSE 15KV C/ GARRAS;UN;164;L2;Utilização livre depósito INVT;22,29;3.655,56;;;0,00000000000000;
BLIN;2G-06-10D BLIN;402307;CONECTOR PERF 4 SAÍDAS 25-240MM2/1,5-35M;UN;1.825;L2;Utilização livre depósito INVT;73,82;134.721,50;;;0,00000000000000;
BLIN;2G-06-10E BLIN;401857;CHAVE FUSIVEL DIST 15KV 100A/10KA PORC;UN;66;L2;Utilização livre depósito INVT;315,60;20.829,60;;;0,00000000000000;
BLIN;2G-06-10E BLIN;407094;SEALTUBO 1.1/2 FLEX ESP. AÇO CAPA PVC;M;480;L2;Utilização livre depósito INVT;70,33;33.758,40;;;0,00000000000000;
BLIN;2G-06-11B BLIN;401116;ISOLADOR ANCOR POLIM 15KV 5000DAN;UN;300;L2;Utilização livre depósito INVT;36,55;10.965,00;;;0,00000000000000;
BLIN;2G-06-11C BLIN;407094;SEALTUBO 1.1/2 FLEX ESP. AÇO CAPA PVC;M;233;L2;Utilização livre depósito INVT;70,33;16.386,89;;;0,00000000000000;
BLIN;2G-06-11C BLIN;410200; CONECTOR COMP TIPO H 95-95;UN;3.480;L2;Utilização livre depósito INVT;5,29;18.409,20;;;0,00000000000000;
BLIN;2G-06-11D BLIN;402307;CONECTOR PERF 4 SAÍDAS 25-240MM2/1,5-35M;UN;1.725;L2;Utilização livre depósito INVT;73,82;127.339,50;;;0,00000000000000;
BLIN;2G-06-11E BLIN;407094;SEALTUBO 1.1/2 FLEX ESP. AÇO CAPA PVC;M;960;L2;Utilização livre depósito INVT;70,33;67.516,80;;;0,00000000000000;
BLIN;2G-06-12A BLIN;404084;ESPACADOR LOSANG CLASSE 15KV C/ GARRAS;UN;113;L2;Utilização livre depósito INVT;22,29;2.518,77;;;0,00000000000000;
BLIN;2G-06-12C BLIN;402331;BRACO C/GRAMPO SUSPE SECU 500DAN;UN;274;L2;Utilização livre depósito INVT;47,63;13.050,62;;;0,00000000000000;
BLIN;2G-06-12D BLIN;402307;CONECTOR PERF 4 SAÍDAS 25-240MM2/1,5-35M;UN;1.750;L2;Utilização livre depósito INVT;73,82;129.185,00;;;0,00000000000000;
BLIN;2G-06-12E BLIN;403594;ALCA PREFORM CABO CONC  2X16 + 16;UN;2.700;L2;Utilização livre depósito INVT;10,04;27.108,00;;;0,00000000000000;
BLIN;2G-06-13A BLIN;404084;ESPACADOR LOSANG CLASSE 15KV C/ GARRAS;UN;249;L2;Utilização livre depósito INVT;22,29;5.550,21;;;0,00000000000000;
BLIN;2G-06-13B BLIN;800541;PORCA QUADRADA AC 16MM 2MM;UN;1.211;F3;Utilização livre depósito CUST;1,93;2.337,23;;;0,00000000000000;
BLIN;2G-06-13E BLIN;407094;SEALTUBO 1.1/2 FLEX ESP. AÇO CAPA PVC;M;960;L2;Utilização livre depósito INVT;70,33;67.516,80;;;0,00000000000000;
BLIN;2G-06-14B BLIN;404732;CONECTOR PERFUR 50-185MM MED TENSAO 15KV;UN;842;L2;Utilização livre depósito INVT;92,12;77.565,04;;;0,00000000000000;
BLIN;2G-06-14D BLIN;403602;ABRACADEIRA PLAS UV 525X8,90MM TRI;UN;14.926;L2;Utilização livre depósito INVT;0,69;10.298,94;;;0,00000000000000;
BLIN;2G-06-16B BLIN;403838;ALCA PREFORM CABO CONC  1X16 + 16;UN;12.584;L2;Utilização livre depósito INVT;3,07;38.632,88;;;0,00000000000000;
BLIN;2G-06-16D BLIN;403675;ALCA PREFORM CABO CONC  3X25 + 25;UN;1.891;L2;Utilização livre depósito INVT;10,42;19.704,22;;;0,00000000000000;
BLIN;3G-07-02A BLIN;400011;SUPORTE TRANSF POSTE DUP T AC 210X115MM;UN;238;L2;Utilização livre depósito INVT;104,75;24.930,50;;;0,00000000000000;
BLIN;3G-07-03A BLIN;400011;SUPORTE TRANSF POSTE DUP T AC 210X115MM;UN;240;L2;Utilização livre depósito INVT;104,75;25.140,00;;;0,00000000000000;
BLIN;3G-07-05A BLIN;400011;SUPORTE TRANSF POSTE DUP T AC 210X115MM;UN;240;L2;Utilização livre depósito INVT;104,75;25.140,00;;;0,00000000000000;
BLIN;3G-08-11D BLIN;403594;ALCA PREFORM CABO CONC  2X16 + 16;UN;5.400;L2;Utilização livre depósito INVT;10,04;54.216,00;;;0,00000000000000;
BLIN;P2-01-13A BLIN;401375;AFASTADOR REDE SEC AC 700MM 500MM;UN;40;L2;Utilização livre depósito INVT;157,78;6.311,20;;;0,00000000000000;
BLIN;PATIO01 - BLIN;400708;CABO ELETR 15KV AL PROT XLPE 50MM2 1F MT;M;49.511;L2;Utilização livre depósito INVT;5,90;292.114,90;;;0,00000000000000;
BLIN;PATIO01 - BLIN;403579;CABO AL CONCENTRICO 3F 3X35+35MM2;M;8.649;L2;Utilização livre depósito INVT;34,70;300.120,30;;;0,00000000000000;
BLIN;PATIO01 - BLIN;403642;CABO AL CONCENTRICO 2F 2X16+16MM2;M;13.427;L2;Utilização livre depósito INVT;15,27;205.030,29;;;0,00000000000000;
BLIN;PATIO01 - BLIN;403656;CABO AL CONCENTRICO 3F 3X25+25MM2;M;17.766;L2;Utilização livre depósito INVT;25,38;450.901,08;;;0,00000000000000;
BLIN;PATIO01 - BLIN;800033;CABO ELETR 15KV AL PROT XLPE 50MM2 1F MT;M;1.290;F3;Utilização livre depósito CUST;5,88;7.585,20;;;0,00000000000000;
BLIN;PATIO03 - BLIN;400224;POSTE CONC DUPL T 11 M 300 DAN;UN;197;L2;Utilização livre depósito INVT;1.617,88;318.722,36;;;0,00000000000000;
BLIN;PATIO03 - BLIN;401127;POSTE CONCRETO ARM DUPL T 11M 600KGF;UN;327;L2;Utilização livre depósito INVT;1.957,13;639.981,51;;;0,00000000000000;
BLIN;PATIO03 - BLIN;410122;TRAFO AER 3F 15KV 75KVA 220/127V 7TP VG;UN;116;L2;Utilização livre depósito INVT;15.160,55;1.758.623,80;;;0,00000000000000;
BLIN;PATIO04 - BLIN;401127;POSTE CONCRETO ARM DUPL T 11M 600KGF;UN;63;L2;Utilização livre depósito INVT;1.957,13;123.299,19;;;0,00000000000000;
GA01;1G-01-01A;400744;CABO ELETRICO CU NU 25MM2;KG;65;L2;Utilização livre depósito INVT;30,36;1.973,40;;;0,00000000000000;
GA01;1G-01-01A;800027;CABO ELET NU CU 50MM2 19/1,889MM;KG;735;F3;Utilização livre depósito CUST;34,39;25.276,65;;;0,00000000000000;
GA01;1G-01-01B;110893;CABO FLEX 16MM 450/750V PT;UN;300;F3;Utilização livre depósito CUST;0,01;3,00;;;0,00000000000000;
GA01;1G-01-01B;400734;CABO ELET FLEXIVEL PVC 750V 2,5MM2 PT;M;800;L2;Utilização livre depósito INVT;2,33;1.864,00;;;0,00000000000000;
GA01;1G-01-01B;402136;CABO ELET FLEXIVEL PVC 750V 2,5MM2 VD;M;1.720;L2;Utilização livre depósito INVT;2,41;4.145,20;;;0,00000000000000;
GA01;1G-01-01B;402229;CABO ELET FLEXIVEL PVC 750V 2,5MM2 VM;M;300;L2;Utilização livre depósito INVT;2,45;735,00;;;0,00000000000000;
GA01;1G-01-01B;402235;CABO ELET ISOL AZ 2,5MM2;M;585;L2;Utilização livre depósito INVT;2,45;1.433,25;;;0,00000000000000;
GA01;1G-01-01B;404621;CABO ELET SING FLEX 0,75/1KV 2,5MM2 VM;M;290;L2;Utilização livre depósito INVT;1,94;562,60;;;0,00000000000000;
GA01;1G-01-01B;409002;CABO FLEXIVEL 0.75MM 750V VM;M;200;L2;Utilização livre depósito INVT;0,81;162,00;;;0,00000000000000;
GA01;1G-01-01B;409003;CABO FLEXIVEL 0.75MM 750V AZ;M;200;L2;Utilização livre depósito INVT;0,81;162,00;;;0,00000000000000;
GA01;1G-01-01B;800048;CABO ELET ISOL SING 1.5MM2 VERMELHA;M;200;F3;Utilização livre depósito CUST;1,66;332,00;;;0,00000000000000;
GA01;1G-01-01B;800051;CABO ELET ISOL SING 1.5MM2 BR;M;200;F3;Utilização livre depósito CUST;1,66;332,00;;;0,00000000000000;
GA01;1G-01-01B;800133;CABO ELET ISOL, 1,5MM2 PT;M;200;F3;Utilização livre depósito CUST;1,66;332,00;;;0,00000000000000;
GA01;1G-01-01B;800157;CABO ELET ISOL BR 2,5MM2;M;200;F3;Utilização livre depósito CUST;2,45;490,00;;;0,00000000000000;
GA01;1G-01-01B;800177;CABO ELET FLEXIVEL PVC 750V 2,5MM2 CZ;M;500;F3;Utilização livre depósito CUST;2,45;1.225,00;;;0,00000000000000;
GA01;1G-01-01B;800768;CABO ELET ISOL AZ 2,5MM2;M;200;F3;Utilização livre depósito CUST;2,45;490,00;;;0,00000000000000;
GA01;1G-01-01B;800798;CABO ELET FLEX 2,5MM VM;M;500;F3;Utilização livre depósito CUST;2,45;1.225,00;;;0,00000000000000;
GA01;1G-01-01B;801017;CABO ELETR 750V CU SING PVC 1,5MM2 AZUL;M;500;F3;Utilização livre depósito CUST;1,66;830,00;;;0,00000000000000;
GA01;1G-01-01B;803770;CABO ELET ISOL 1,5MM2 CINZA;M;200;F3;Utilização livre depósito CUST;1,66;332,00;;;0,00000000000000;
GA01;1G-01-01C;400712;CABO DE FORCA 1X25MM2 0,6/1KV SBE;M;200;L2;Utilização livre depósito INVT;16,27;3.254,00;;;0,00000000000000;
GA01;1G-01-01C;401428;CABO DE FORCA 1X10MM2 0,6/1KV SBE;M;200;L2;Utilização livre depósito INVT;6,99;1.398,00;;;0,00000000000000;
GA01;1G-01-01C;404292;CABO OPTICO 62,5/125 MICRONS ANTI-ROEDOR;UN;1.000;L2;Utilização livre depósito INVT;17,76;17.760,00;RCAVALCANTE;04/09/2025;1.000;UN
GA01;1G-01-01D;400832;CABO ELET BT 3X10MM2 0,6/1 KV;M;30;L2;Utilização livre depósito INVT;25,80;774,00;;;0,00000000000000;
GA01;1G-01-01D;402395;CABO ELET CONT 12X1,5MM2 600/1000V;M;377;L2;Utilização livre depósito INVT;5,11;1.926,47;;;0,00000000000000;
GA01;1G-01-01D;403592;CABO OPTICO AUTOSUST 12F MONOMODO;UN;236;L2;Utilização livre depósito INVT;4,77;1.125,72;;;0,00000000000000;
GA01;1G-01-01D;403840;CABO OPTICO AUTOSUST 24F MONOMODO;UN;344;L2;Utilização livre depósito INVT;4,32;1.486,08;;;0,00000000000000;
GA01;1G-01-01E;402187;FIO ELETRICO CU ISOL 1,5MM2 750V;M;21.600;L2;Utilização livre depósito INVT;0,25;5.400,00;;;0,00000000000000;
GA01;1G-01-02A;400822;CABO ELET NU 1X35MM21AWG CU;KG;512;L2;Utilização livre depósito INVT;31,23;15.989,76;;;0,00000000000000;
GA01;1G-01-02A;800141;CABO ELET NU 1X35MM21AWG CU;KG;3;F3;Utilização livre depósito CUST;31,23;93,69;;;0,00000000000000;
GA01;1G-01-02B;400728;CABO 750V SING CU ISOL PVC 2,5MM2 CZ;M;50;L2;Utilização livre depósito INVT;1,40;70,00;;;0,00000000000000;
GA01;1G-01-02B;402187;FIO ELETRICO CU ISOL 1,5MM2 750V;M;19.240;L2;Utilização livre depósito INVT;0,25;4.810,00;;;0,00000000000000;
GA01;1G-01-02B;402381;CABO ELET FLEX PVC 6MM AZ;M;590;L2;Utilização livre depósito INVT;4,43;2.613,70;;;0,00000000000000;
GA01;1G-01-02B;407737;CABO ELET FLEXIVEL PVC 750V 2,5MM2 CZ;M;600;L2;Utilização livre depósito INVT;2,42;1.452,00;;;0,00000000000000;
GA01;1G-01-02B;801274;CABO ELET ISOL CU PT 8AWG PVC 750V;M;1.170;F3;Utilização livre depósito CUST;5,76;6.739,20;;;0,00000000000000;
GA01;1G-01-02C;400433;CABO ELETR 750V CU PVC 35MM2 AZUL BT;M;45;L2;Utilização livre depósito INVT;30,50;1.372,50;;;0,00000000000000;
GA01;1G-01-02C;400723;CABO ELET CU 4X4MM2 0,6/1KV BT;M;36;L2;Utilização livre depósito INVT;29,35;1.056,60;;;0,00000000000000;
GA01;1G-01-02C;400760;CABO DE FORCA 1X16MM2 0,6/1KV SBE;M;200;L2;Utilização livre depósito INVT;13,81;2.762,00;;;0,00000000000000;
