Documento de compras;Item;Contrato básico;It.contrato superior;ValFix.(cabeç.);Valor pendente;Fornecedor/centro fornecedor;Tipo doc.compras;Ctg.doc.compras;Grupo de compradores;Histórico pedido/docum.SolRem.;Data do documento;Código de imposto;Material;Texto breve;Grupo de mercadorias;Código de eliminação;Categoria do item;Ctg.class.cont.;Centro;Depósito;Qtd.pedido;UM pedido;Qtd.na UnidGestEstoq;Unidade manutenção estoque;Preço líquido;Moeda;Unidade preço;Quantidade prevista;Qtd.prev.pendente;a ser fornecida (quantidade);a ser fornecido (valor;Ãinda a faturar (quantidade);Ainda a faturar (valor);Núm.itens;Domicílio fiscal;Valor líquido pedido
4500150184;10;4600003516;10;0,00;0,00;1003137    INCESA INDUSTRIA DE COMPONENTES ELE;NB;F;A01;;25/03/2026;C1;401566;CONECTOR PARAL AL 4/0AWG 1/0AWG;MC10301;;;;CDFL;INVT;3.000;UN;3.000;UN;9,20;BRL;1;0;0;3.000;27.593,10;3.000;27.593,10;1;ZF 1302603;27.593,10
4500150184;20;4600003516;20;0,00;0,00;1003137    INCESA INDUSTRIA DE COMPONENTES ELE;NB;F;A01;;25/03/2026;C1;800889;CONECTOR PARAL AL 4/0AWG 1/0AWG;MC10301;;;;CDFL;CUST;1.300;UN;1.300;UN;9,20;BRL;1;0;0;1.300;11.957,01;1.300;11.957,01;1;ZF 1302603;11.957,01
4500150197;10;4600003516;30;0,00;0,00;1003137    INCESA INDUSTRIA DE COMPONENTES ELE;NB;F;A01;;25/03/2026;C1;410200; CONECTOR COMP TIPO H 95-95;MC12002;;;;CDFL;INVT;6.000;UN;6.000;UN;4,22;BRL;1;0;0;6.000;25.333,20;6.000;25.333,20;1;ZF 1302603;25.333,20
4500147275;10;;0;0,00;0,00;1003152    ROMAGNOLE PRODUTOS ELETRICOS S.A.;NB;F;GAE;;20/02/2026;C1;800966;PARAFUSO OLH AC 16MM 450MM;MC01301;;;;CDFL;CUST;145;UN;145;UN;20,96;BRL;1;0;0;145;3.039,52;145;3.039,52;1;ZF 1302603;3.039,52
4500147275;20;;0;0,00;0,00;1003152    ROMAGNOLE PRODUTOS ELETRICOS S.A.;NB;F;GAE;;20/02/2026;C1;800108;PARAFUSO CAB ABA AC 16MM 45MM;MC01301;;;;CDFL;CUST;371;UN;371;UN;2,42;BRL;1;0;0;371;897,08;371;897,08;1;ZF 1302603;897,08
4500147431;10;;0;0,00;0,00;1003224    BENY MATERIAIS DE CONSTRUCAO LTDA;ZCDR;F;GAE;;23/02/2026;CA;407223;MANTA ALUMINIZADA 10CM x 10M;MC00901;;;;CDFL;INVT;458;UN;458;UN;19,69;BRL;1;0;0;0;0,00;0;0,00;1;ZF 1302603;9.017,10
4500148647;10;;0;0,00;0,00;1003224    BENY MATERIAIS DE CONSTRUCAO LTDA;ZCDR;F;GAE;;11/03/2026;CA;410212;FITA AUTOADESIVA BLINDAGEM 10cmX10m;MC03701;;;;CDFL;INVT;150;UN;150;UN;19,68;BRL;1;0;0;0;0,00;0;0,00;1;ZF 1302603;2.952,00
4500144983;10;4600001961;680;0,00;0,00;1003291    INDUSTRIA DE TRANSFORMADORES AMAZON;NB;F;GAE;;03/02/2026;CA;400072;TRAFO AER 1F 7,96KV 5KVA 240/120V 7TP;MC22103;;;;CDFL;INVT;338;UN;338;UN;4.229,89;BRL;1;0;0;338;1.429.703,21;338;1.429.703,21;1;ZF 1302603;1.429.703,21
4500144983;20;4600001961;690;0,00;0,00;1003291    INDUSTRIA DE TRANSFORMADORES AMAZON;NB;F;GAE;;03/02/2026;CA;402447;TRAFO AER 1F 7,96KV 10KVA 240/120V 7TP;MC22103;;;;CDFL;INVT;15;UN;15;UN;5.064,79;BRL;1;0;0;0;0,00;0;0,00;1;ZF 1302603;75.971,79
4500144983;30;4600001961;700;0,00;0,00;1003291    INDUSTRIA DE TRANSFORMADORES AMAZON;NB;F;GAE;;03/02/2026;CA;401193;TRAFO AER 1F 7,96KV 15KVA 240/120V 7TP;MC22103;;;;CDFL;INVT;14;UN;14;UN;6.713,25;BRL;1;0;0;14;93.985,56;14;93.985,56;1;ZF 1302603;93.985,56
4500144983;40;4600001961;710;0,00;0,00;1003291    INDUSTRIA DE TRANSFORMADORES AMAZON;NB;F;GAE;;03/02/2026;CA;402132;TRAFO AER 1F 15KV 25KVA 240/120V 7TP;MC22103;;;;CDFL;INVT;20;UN;20;UN;9.443,94;BRL;1;0;0;20;188.878,72;20;188.878,72;1;ZF 1302603;188.878,72
4500144983;50;4600001961;720;0,00;0,00;1003291    INDUSTRIA DE TRANSFORMADORES AMAZON;NB;F;GAE;;03/02/2026;CA;401324;TRAFO AER 3F 15KV 30KVA 220/127V 7TP;MC22103;;;;CDFL;INVT;10;UN;10;UN;11.509,42;BRL;1;0;0;10;115.094,20;10;115.094,20;1;ZF 1302603;115.094,20
4500144983;60;4600001961;730;0,00;0,00;1003291    INDUSTRIA DE TRANSFORMADORES AMAZON;NB;F;GAE;;03/02/2026;CA;400073;TRAFO AER 3F 15KV 45KVA 220/127V 7TP;MC22103;;;;CDFL;INVT;42;UN;42;UN;14.117,36;BRL;1;0;0;42;592.929,24;42;592.929,24;1;ZF 1302603;592.929,24
4500144983;70;4600001961;740;0,00;0,00;1003291    INDUSTRIA DE TRANSFORMADORES AMAZON;NB;F;GAE;;03/02/2026;CA;400040;TRAFO AER 3F 15KV 75KVA 220/127V 7TP;MC22103;;;;CDFL;INVT;40;UN;40;UN;16.789,02;BRL;1;0;0;40;671.560,64;40;671.560,64;1;ZF 1302603;671.560,64
4500144983;80;4600001961;750;0,00;0,00;1003291    INDUSTRIA DE TRANSFORMADORES AMAZON;NB;F;GAE;;03/02/2026;CA;400288;TRAFO AER 3F 15KV 112,5KVA 220/127V 7TP;MC22103;;;;CDFL;INVT;66;UN;66;UN;23.061,66;BRL;1;0;0;66;1.522.069,30;66;1.522.069,30;1;ZF 1302603;1.522.069,30
4500144983;110;4600001961;780;0,00;0,00;1003291    INDUSTRIA DE TRANSFORMADORES AMAZON;NB;F;GAE;;03/02/2026;CA;402447;TRAFO AER 1F 7,96KV 10KVA 240/120V 7TP;MC22103;;;;CDFL;INVT;15;UN;15;UN;5.064,79;BRL;1;0;0;0;0,00;0;0,00;1;ZF 1302603;75.971,79
4500148071;10;4600001961;790;0,00;0,00;1003291    INDUSTRIA DE TRANSFORMADORES AMAZON;NB;F;GAE;;04/03/2026;C1;410116;TRAFO AER 1F 7,96KV 5KVA 240/120V 7TP VG;MC22103;;;;CDFL;INVT;256;UN;256;UN;3.817,86;BRL;1;0;0;256;977.371,06;256;977.371,06;1;ZF 1302603;977.371,06
4500148071;20;4600001961;800;0,00;0,00;1003291    INDUSTRIA DE TRANSFORMADORES AMAZON;NB;F;GAE;;04/03/2026;C1;410117;TRAFO AER 1F 7,9KV 10KVA 240/120V 7TP VG;MC22103;;;;CDFL;INVT;45;UN;45;UN;4.205,92;BRL;1;0;0;45;189.266,22;45;189.266,22;1;ZF 1302603;189.266,22
4500148071;30;4600001961;810;0,00;0,00;1003291    INDUSTRIA DE TRANSFORMADORES AMAZON;NB;F;GAE;;04/03/2026;C1;410118;TRAFO AER 1F 7,9KV 15KVA 240/120V 7TP VG;MC22103;;;;CDFL;INVT;36;UN;36;UN;5.342,32;BRL;1;0;0;36;192.323,44;36;192.323,44;1;ZF 1302603;192.323,44
4500148071;40;4600001961;820;0,00;0,00;1003291    INDUSTRIA DE TRANSFORMADORES AMAZON;NB;F;GAE;;04/03/2026;C1;410119;TRAFO AER 1F 15KV 25KVA 240/120V 7TP VG;MC22103;;;;CDFL;INVT;15;UN;15;UN;6.143,97;BRL;1;0;0;15;92.159,50;15;92.159,50;1;ZF 1302603;92.159,50
4500148071;50;4600001961;830;0,00;0,00;1003291    INDUSTRIA DE TRANSFORMADORES AMAZON;NB;F;GAE;;04/03/2026;C1;410120;TRAFO AER 3F 15KV 30KVA 220/127V 7TP VG;MC22103;;;;CDFL;INVT;25;UN;25;UN;9.366,51;BRL;1;0;0;25;234.162,80;25;234.162,80;1;ZF 1302603;234.162,80
4500148071;60;4600001961;840;0,00;0,00;1003291    INDUSTRIA DE TRANSFORMADORES AMAZON;NB;F;GAE;;04/03/2026;C1;410126;TRAFO AER 3F 15KV 45KVA 220/127V 7TP VG;MC22103;;;;CDFL;INVT;88;UN;88;UN;10.925,24;BRL;1;0;0;88;961.420,70;88;961.420,70;1;ZF 1302603;961.420,70
4500148071;70;4600001961;850;0,00;0,00;1003291    INDUSTRIA DE TRANSFORMADORES AMAZON;NB;F;GAE;;04/03/2026;C1;410122;TRAFO AER 3F 15KV 75KVA 220/127V 7TP VG;MC22103;;;;CDFL;INVT;361;UN;361;UN;14.452,65;BRL;1;0;0;361;5.217.407,56;361;5.217.407,56;1;ZF 1302603;5.217.407,56
4500142027;10;;0;0,00;0,00;1003333    METALACRE INDUSTRIA E COMERCIO DE L;NB;F;A03;;12/01/2026;C1;401632;LACRE SEG MET 11DIG BR;MC12505;;;;CDFL;INVT;145.100;UN;145.100;UN;1,79;BRL;1;0;0;0;0,00;0;0,00;1;ZF 1302603;259.090,56
4500149234;10;;0;0,00;0,00;1003333    METALACRE INDUSTRIA E COMERCIO DE L;NB;F;GAE;;12/03/2026;C1;401632;LACRE SEG MET 11DIG BR;MC12505;;;;CDFL;INVT;223.000;UN;223.000;UN;1,79;BRL;1;0;0;223.000;398.188,80;223.000;398.188,80;1;ZF 1302603;398.188,80
4500149684;10;4600003150;10;0,00;0,00;1003382    ELETRA INDUSTRIA E COMERCIO DE MEDI;NB;F;A01;;16/03/2026;C1;402816;MEDIDOR ELETR PROGR 3F 120V 2,5/10A THS;MC12501;;;;CDFL;INVT;268;UN;268;UN;511,19;BRL;1;0;0;268;136.999,46;268;136.999,46;1;ZF 1302603;136.999,46
4500144585;10;4600003072;10;0,00;0,00;1003412    MAURIZIO  CIA LTDA;NB;F;A01;;23/01/2026;C1;800515;ISOLADOR ANCOR POLIM 15KV 5000DAN;MC10902;;;;CDFL;CUST;605;UN;605;UN;29,76;BRL;1;0;0;0;0,00;0;0,00;1;ZF 1302603;18.004,80
4500144585;20;4600003072;20;0,00;0,00;1003412    MAURIZIO  CIA LTDA;NB;F;A01;;23/01/2026;C1;401116;ISOLADOR ANCOR POLIM 15KV 5000DAN;MC10902;;;;CDFL;INVT;2.095;UN;2.095;UN;29,76;BRL;1;0;0;0;0,00;0;0,00;1;ZF 1302603;62.347,20
4500145769;10;4600003075;40;0,00;0,00;1003412    MAURIZIO  CIA LTDA;NB;F;A02;;10/02/2026;C1;402433;PARA-RAIO DISTRIB POL 12KV 10KA S/CENT;MC21101;;;;CDFL;INVT;797;UN;797;UN;130,20;BRL;1;0;0;797;103.769,40;797;103.769,40;1;ZF 1302603;103.769,40
4500145784;10;4600003086;70;0,00;0,00;1003412    MAURIZIO  CIA LTDA;NB;F;A02;;11/02/2026;C1;401857;CHAVE FUSIVEL DIST 15KV 100A/10KA PORC;MC10801;;;;CDFL;INVT;2.535;UN;2.535;UN;268,77;BRL;1;0;0;2.535;681.331,95;2.535;681.331,95;1;ZF 1302603;681.331,95
4500147521;10;4600003086;40;0,00;0,00;1003412    MAURIZIO  CIA LTDA;NB;F;A02;;23/02/2026;C1;800817;CHAVE FUSIVEL DIST 15KV 100A/10KA PORC;MC10801;;;;CDFL;CUST;1.117;UN;1.117;UN;268,77;BRL;1;0;0;1.117;300.216,09;1.117;300.216,09;1;ZF 1302603;300.216,09
4500147552;10;4600003072;10;0,00;0,00;1003412    MAURIZIO  CIA LTDA;NB;F;A01;;23/02/2026;C0;800515;ISOLADOR ANCOR POLIM 15KV 5000DAN;MC10902;;;;CDFL;CUST;405;UN;405;UN;32,00;BRL;1;0;0;405;12.960,00;405;12.960,00;1;ZF 1302603;12.960,00
4500147692;10;4600003086;30;0,00;0,00;1003412    MAURIZIO  CIA LTDA;NB;F;A02;;26/02/2026;C1;400758;CHAVE SECC 1P 15KV 630A 110KV 25KA;MC10202;;;;CDFL;INVT;550;UN;550;UN;483,60;BRL;1;0;0;550;265.980,00;550;265.980,00;1;ZF 1302603;265.980,00
4500147697;10;4600003042;10;0,00;0,00;1003412    MAURIZIO  CIA LTDA;NB;F;A02;;26/02/2026;C1;800959;PORTA-FUSIVEL 15KV 100A;MC10801;;;;CDFL;CUST;817;UN;817;UN;88,81;BRL;1;0;0;817;72.561,85;817;72.561,85;1;ZF 1302603;72.561,85
4500150291;10;4600003086;30;0,00;0,00;1003412    MAURIZIO  CIA LTDA;NB;F;A02;;31/03/2026;C1;400758;CHAVE SECC 1P 15KV 630A 110KV 25KA;MC10202;;;;CDFL;INVT;1.000;UN;1.000;UN;483,60;BRL;1;0;0;1.000;483.600,00;1.000;483.600,00;1;ZF 1302603;483.600,00
4500150308;10;4600003554;60;0,00;0,00;1003412    MAURIZIO  CIA LTDA;NB;F;A01;;31/03/2026;C1;401857;CHAVE FUSIVEL DIST 15KV 100A/10KA PORC;MC10801;;;;CDFL;INVT;2.547;UN;2.547;UN;239,94;BRL;1;0;0;2.547;611.127,18;2.547;611.127,18;1;ZF 1302603;611.127,18
4500150308;20;4600003554;70;0,00;0,00;1003412    MAURIZIO  CIA LTDA;NB;F;A01;;31/03/2026;C1;800817;CHAVE FUSIVEL DIST 15KV 100A/10KA PORC;MC10801;;;;CDFL;CUST;2.347;UN;2.347;UN;239,94;BRL;1;0;0;2.347;563.139,18;2.347;563.139,18;1;ZF 1302603;563.139,18
4500144463;10;4600003058;70;0,00;0,00;1003489    INDEL BAURU INDUSTRIA ELETROMETALUR;NB;F;A03;;22/01/2026;C1;801216;ELO FUSIVEL BOTAO DISTRIB K 50A 500MM;MC10801;;;;CDFL;CUST;231;UN;231;UN;7,25;BRL;1;0;0;0;0,00;0;0,00;1;ZF 1302603;1.675,67
4500144463;20;4600003058;40;0,00;0,00;1003489    INDEL BAURU INDUSTRIA ELETROMETALUR;NB;F;A03;;22/01/2026;C1;801220;ELO FUSIVEL BOTAO DISTRIB K 25A 500MM;MC10801;;;;CDFL;CUST;1.962;UN;1.962;UN;5,41;BRL;1;0;0;0;0,00;0;0,00;1;ZF 1302603;10.619,52
4500144463;30;4600003058;30;0,00;0,00;1003489    INDEL BAURU INDUSTRIA ELETROMETALUR;NB;F;A03;;22/01/2026;C1;800824;ELO FUSIVEL BOTAO DISTR K 40A 500MM;MC10801;;;;CDFL;CUST;1.418;UN;1.418;UN;6,84;BRL;1;0;0;0;0,00;0;0,00;1;ZF 1302603;9.692,74
4500144463;40;4600003058;10;0,00;0,00;1003489    INDEL BAURU INDUSTRIA ELETROMETALUR;NB;F;A03;;22/01/2026;C1;402025;ELO FUSIVEL BOTAO DISTRIB K 25A 500MM;MC10801;;;;CDFL;INVT;42;UN;42;UN;5,41;BRL;1;0;0;0;0,00;0;0,00;1;ZF 1302603;227,33
4500145004;10;;0;0,00;0,00;1003515    S V INSTALACOES LTDA;ZCDR;F;GAE;;04/02/2026;C0;400359;ALCA PREFORM ESTAI 3/8P 9,5MM 889MM;MC11001;;;;CDFL;INVT;44;UN;44;UN;26,80;BRL;1;0;0;0;0,00;0;0,00;1;ZF 1302603;1.179,20
4500147801;10;;0;0,00;0,00;1003515    S V INSTALACOES LTDA;ZCDR;F;GAE;;02/03/2026;C0;401465;CONECTOR PERF AL 16-120MM2 / 16-120MM2;MC12002;;;;CDFL;INVT;500;UN;500;UN;17,50;BRL;1;0;0;0;0,00;0;0,00;1;ZF 1302603;8.750,00
4500147803;10;;0;0,00;0,00;1003515    S V INSTALACOES LTDA;NB;F;GAE;;02/03/2026;C0;401465;CONECTOR PERF AL 16-120MM2 / 16-120MM2;MC12002;;;;CDFL;INVT;4.500;UN;4.500;UN;17,50;BRL;1;0;0;4.500;78.750,00;4.500;78.750,00;1;ZF 1302603;78.750,00
4500147804;10;;0;0,00;0,00;1003515    S V INSTALACOES LTDA;ZCDR;F;GAE;;02/03/2026;C0;410200; CONECTOR COMP TIPO H 95-95;MC12002;;;;CDFL;INVT;200;UN;200;UN;17,50;BRL;1;0;0;180;3.150,00;180;3.150,00;1;ZF 1302603;3.500,00
4500149691;10;;0;0,00;0,00;1003515    S V INSTALACOES LTDA;NB;F;A13;;16/03/2026;C0;405491;TERMINAL TUBULAR CU ESTANHADO 35MM2;MC10401;;;;CDFL;INVT;30.000;UN;30.000;UN;0,90;BRL;1;0;0;30.000;27.000,00;30.000;27.000,00;1;ZF 1302603;27.000,00
4500144696;10;;0;0,00;0,00;1003592    FIXAR INDUSTRIAL -INDUSTRIA DE META;ZCDR;F;GAE;;27/01/2026;C1;410147;CX BLIND P/ MED MONO C/ ABERT INTEL;MC12503;;;;CDFL;INVT;15;UN;15;UN;336,76;BRL;1;0;0;0;0,00;0;0,00;1;ZF 1302603;5.051,38
4500144696;20;;0;0,00;0,00;1003592    FIXAR INDUSTRIAL -INDUSTRIA DE META;ZCDR;F;GAE;;27/01/2026;C1;410152;CX BLIND P/ MED BI C/ ABERT INTEL;MC12503;;;;CDFL;INVT;13;UN;13;UN;377,68;BRL;1;0;0;0;0,00;0;0,00;1;ZF 1302603;4.909,82
4500144696;30;;0;0,00;0,00;1003592    FIXAR INDUSTRIAL -INDUSTRIA DE META;ZCDR;F;GAE;;27/01/2026;C1;410153;CX BLIND P/ MED TRI C/ ABERT INTEL;MC12503;;;;CDFL;INVT;2;UN;2;UN;377,68;BRL;1;0;0;0;0,00;0;0,00;1;ZF 1302603;755,36
4500147723;10;4600003496;20;0,00;0,00;1003592    FIXAR INDUSTRIAL -INDUSTRIA DE META;NB;F;GAE;;27/02/2026;C0;410155;CX BLIND P/ CONEXAO C/ ABERT INTEL;MC10301;;;;CDFL;INVT;250;UN;250;UN;1.665,00;BRL;1;0;0;250;416.250,00;250;416.250,00;1;ZF 1302603;416.250,00
4500148085;10;4600003496;10;0,00;0,00;1003592    FIXAR INDUSTRIAL -INDUSTRIA DE META;NB;F;GAE;;04/03/2026;C1;410152;CX BLIND P/ MED BI C/ ABERT INTEL;MC12503;;;;CDFL;INVT;637;UN;637;UN;281,60;BRL;1;0;0;637;179.379,20;637;179.379,20;1;ZF 1302603;179.379,20
4500148085;20;4600003496;20;0,00;0,00;1003592    FIXAR INDUSTRIAL -INDUSTRIA DE META;NB;F;GAE;;04/03/2026;C1;410155;CX BLIND P/ CONEXAO C/ ABERT INTEL;MC10301;;;;CDFL;INVT;2.250;UN;2.250;UN;1.465,20;BRL;1;0;0;2.250;3.296.700,00;2.250;3.296.700,00;1;ZF 1302603;3.296.700,00
4500148085;30;4600003496;30;0,00;0,00;1003592    FIXAR INDUSTRIAL -INDUSTRIA DE META;NB;F;GAE;;04/03/2026;C1;410147;CX BLIND P/ MED MONO C/ ABERT INTEL;MC12503;;;;CDFL;INVT;306;UN;306;UN;240,68;BRL;1;0;0;306;73.648,08;306;73.648,08;1;ZF 1302603;73.648,08
4500148085;40;4600003496;40;0,00;0,00;1003592    FIXAR INDUSTRIAL -INDUSTRIA DE META;NB;F;GAE;;04/03/2026;C1;410153;CX BLIND P/ MED TRI C/ ABERT INTEL;MC12503;;;;CDFL;INVT;1.057;UN;1.057;UN;281,60;BRL;1;0;0;1.057;297.651,20;1.057;297.651,20;1;ZF 1302603;297.651,20
4500148999;10;4600003496;50;0,00;0,00;1003592    FIXAR INDUSTRIAL -INDUSTRIA DE META;NB;F;GAE;;11/03/2026;C1;410155;CX BLIND P/ CONEXAO C/ ABERT INTEL;MC10301;;;;CDFL;INVT;2.500;UN;2.500;UN;1.465,20;BRL;1;0;0;2.500;3.663.000,00;2.500;3.663.000,00;1;ZF 1302603;3.663.000,00
4500148999;20;4600003496;60;0,00;0,00;1003592    FIXAR INDUSTRIAL -INDUSTRIA DE META;NB;F;GAE;;11/03/2026;C1;410147;CX BLIND P/ MED MONO C/ ABERT INTEL;MC12503;;;;CDFL;INVT;306;UN;306;UN;240,68;BRL;1;0;0;306;73.648,08;306;73.648,08;1;ZF 1302603;73.648,08
4500148999;30;4600003496;70;0,00;0,00;1003592    FIXAR INDUSTRIAL -INDUSTRIA DE META;NB;F;GAE;;11/03/2026;CA;410152;CX BLIND P/ MED BI C/ ABERT INTEL;MC12503;;;;CDFL;INVT;637;UN;637;UN;281,60;BRL;1;0;0;637;179.379,20;637;179.379,20;1;ZF 1302603;179.379,20
4500148999;40;4600003496;80;0,00;0,00;1003592    FIXAR INDUSTRIAL -INDUSTRIA DE META;NB;F;GAE;;11/03/2026;CA;410153;CX BLIND P/ MED TRI C/ ABERT INTEL;MC12503;;;;CDFL;INVT;1.057;UN;1.057;UN;281,60;BRL;1;0;0;1.057;297.651,20;1.057;297.651,20;1;ZF 1302603;297.651,20
4500144395;10;4600002059;60;0,00;0,00;1003624    POOL ENGENHARIA, SERVICO, INDUSTRIA;NB;F;A12;;22/01/2026;CA;401959;CRUZETA POL FBV/RES PES 2400X112,5X90MM;MC12001;;;;CDFL;INVT;500;UN;500;UN;170,61;BRL;1;0;0;0;0,00;0;0,00;1;ZF 1302603;85.305,35
4500144395;20;4600002059;70;0,00;0,00;1003624    POOL ENGENHARIA, SERVICO, INDUSTRIA;NB;F;A12;;22/01/2026;CA;801112;CRUZETA POL FBV/RES PES 2400X112,5X90MM;MC12001;;;;CDFL;CUST;309;UN;309;UN;170,61;BRL;1;0;0;0;0,00;0;0,00;1;ZF 1302603;52.718,71
4500144395;30;4600002059;60;0,00;0,00;1003624    POOL ENGENHARIA, SERVICO, INDUSTRIA;NB;F;A12;;22/01/2026;CA;401959;CRUZETA POL FBV/RES PES 2400X112,5X90MM;MC12001;;;;CDFL;INVT;500;UN;500;UN;170,61;BRL;1;0;0;0;0,00;0;0,00;1;ZF 1302603;85.305,35
4500144462;10;4600003438;20;0,00;0,00;1003624    POOL ENGENHARIA, SERVICO, INDUSTRIA;NB;F;A12;;22/01/2026;CA;803470;PONTALETE FBV 100MM 6M;MC02001;;;;CDFL;CUST;860;UN;860;UN;318,17;BRL;1;0;0;0;0,00;0;0,00;1;ZF 1302603;273.622,67
4500145738;10;4600002059;60;0,00;0,00;1003624    POOL ENGENHARIA, SERVICO, INDUSTRIA;NB;F;A12;;10/02/2026;CA;401959;CRUZETA POL FBV/RES PES 2400X112,5X90MM;MC12001;;;;CDFL;INVT;1.000;UN;1.000;UN;170,61;BRL;1;0;0;0;0,00;0;0,00;1;ZF 1302603;170.610,70
4500147599;10;4600003063;40;0,00;0,00;1003672    TAG COMERCIO DE TINTAS EIRELI;NB;F;A03;;24/02/2026;C0;404183;"PARAFUSO AUTO BROCANTE 14 X 1"" CHAV. 3/8";MC01301;;;;CDFL;INVT;240;UN;240;UN;0,26;BRL;1;0;0;240;62,40;240;62,40;1;ZF 1302603;62,40
4500147599;30;4600003063;20;0,00;0,00;1003672    TAG COMERCIO DE TINTAS EIRELI;NB;F;A03;;24/02/2026;C1;803176;"PARAFUSO AUTO BROCANTE 14 X 1"" CHAV. 3/8";MC01301;;;;CDFL;CUST;1.076;UN;1.076;UN;0,21;BRL;1;0;0;1.076;223,81;1.076;223,81;1;ZF 1302603;223,81
4500144854;10;4600003185;10;0,00;0,00;1003685    S&C ELECTRIC DO BRASIL LTDA;NB;F;A03;;28/01/2026;A7;401004;RELIGADOR 1F AUTOMAT 7,96 KV 100A 6,3kA;MC21701;;;;CDFL;INVT;6;UN;6;UN;17.251,14;BRL;1;0;0;6;103.506,84;6;103.506,84;1;ZF 1302603;103.506,84
