CHAVE;"CÓD.
OPOSTO";ESTOQUE OPOSTO;DEP.;CÓDIGO;DESCRIÇÃO;UND MED.;GRUPO;DEMANDANTES;PLANEJADOR;VALOR UNITÁRIO;ESTOQUE SEGURANÇA;ESTOQUE MÁXIMO;SUGESTÃO PEDIDOS;LT;"SALDO 
ESTOQUE";SALDO EM INSPEÇÃO;"SALDO PEDIDOS 
(A RECEBER)";"SALDO 
CONTRATO
 (A PEDIR)";"ESTOQUE
NORTE 
TECH 
(BLIN)";ESPECIFICO?;RESERVAS ATENDIDAS (ACUM. ANO);"DEMANDA 
ANUAL";COMPRADOR CONTRATAÇÃO;"STATUS 
CONTRATAÇÃO";LINHAS DISPONÍVEIS;LINHAS OC;OC;FORNECEDOR;"SALDO  
LINHA";PROG. ORÇAMENTÁRIOS;NÍVEL DE ESTOQUE;ABC
400243INVT;-; - ;INVT;400243;TRAFO AER 3F 15KV 150KVA 220/127V 7TP;UN;TRANSFORMADORES DE DISTRIBUIÇÃO;DIT/DTM/;MONA LISA; R$ 39.775,50 ;92;256;250;90; 5 ; - ; 1 ; 1.271 ; 2 ; - ; 74 ; 427 ;ADRIANA; 15 - ADITIVADO;0;0;-;-; 1.169.234 ;A08_MANUT_REDMAN/A46_ADEQ_REDISTI/A10_PREST_SERVEM/;ABAIXO SEGURANÇA;A
400474INVT;800762; Estoque 70/ Demanda Anual 2748/ Contratos: 0 ;INVT;400474;CABO  MULT 3X70+1X70 MM² XLPE 0,6/1 KV;UN;CABOS MULTIPLEXADOS;DIT/DPM/DTE/DTM/;MONA LISA; R$ 84,00 ;58.065;81.507;60.507;60; - ; 1.820 ; 19.180 ; 16.608 ; 8.235 ; - ; 8.871 ; 176.314 ;ADRIANA;07 - VALIDAÇÃO DA MINUTA;3;0;-;-; 1.169.234 ;A08_MANUT_REDMAN/A32_INSTALAÇÃO_D/A36_AQUISIC_SIST/A40_INSPEÇÃO_UCS/A41_EXTREDE_DIST/A11_EXTENS_REDMT/A47_ADEQREDES_IT/A188_BLINDAGEM/A10_PREST_SERVEM/;CRÍTICO;A
403642INVT;804633; Estoque 0/ Demanda Anual 1500/ Contratos: 0 ;INVT;403642;CABO AL CONCENTRICO 2F 2X16+16MM2;UN;CABOS CONCÊNTRICOS;DIC/DPC/DPM/;ANTONIO; R$ 13,38 ;306.184;635.199;532.941;90; 102.258 ; - ; - ; 310.951 ; - ; - ; 186.247 ; 1.006.618 ;TEREZA;12 - CONTRATADO;1;0;-;-; 1.169.234 ;A130_INSPECAO INTERI/A40_INSPEÇÃO_UCS/A83_PROJETO_SMC/A188_BLINDAGEM/;ABAIXO SEGURANÇA;A
404160INVT;-; - ;INVT;404160;"CONJ MEDICAO 15KV; 70:1; 10-5A; USO EXT";UN;CONJUNTOS DE MEDIÇÃO 2;DIC/DPC/;ANTONIO; R$ 91.750,00 ;57;57;0;60; 20 ; - ; 141 ; 73 ; - ; - ; 10 ; 126 ;-;-;3;0;-;-; 1.169.234 ;A130_INSPECAO INTERI/A40_INSPEÇÃO_UCS/;ABAIXO SEGURANÇA;A
400937INVT;-; - ;INVT;400937;MED EL 2E 3F 120V 120A GD B;CJ;MEDIDORES DIVERSOS;DCR/DIC/DIT/DPC/DPM/DRI/;MONA LISA; R$ 200,00 ;14.464;28.804;20.050;90; - ; - ; 8.754 ; -   ; - ; - ; 1.860 ; 56.626 ;AMARILDO;11 - ASSINATURA DE CONTRATO/PEDIDO;2;0;-;-; 1.169.234 ;A130_INSPECAO INTERI/A40_INSPEÇÃO_UCS/A43_INSTALAÇÃO_D/;CRÍTICO;A
401127INVT;-; - ;INVT;401127;POSTE CONCRETO ARM DUPL T 11M 600KGF;UN;POSTES DE CONCRETO;DIT/DTE/DTM/;IDA; R$ 3.596,00 ;979;1.475;1.027;45; 448 ; - ; - ; 844 ; 208 ; - ; 184 ; 2.868 ;AMARILDO;12 - CONTRATADO;1;0;-;-; 1.169.234 ;A08_MANUT_REDMAN/A157_MORAR MELHOR/A32_INSTALAÇÃO_D/A35_EXTENS_REDE/A36_AQUISIC_SIST/A38_REFORÇO_REDE/A41_EXTREDE_DIST/A11_EXTENS_REDMT/A46_ADEQ_REDISTI/A47_ADEQREDES_IT/A188_BLINDAGEM/A10_PREST_SERVEM/;ABAIXO SEGURANÇA;A
402592INVT;-; - ;INVT;402592;MED EL 3E 4F 120V 120A GD B;UN;MEDIDORES DIVERSOS;DCR/DIC/DIT/DPC/DPM/DRI/;MONA LISA; R$ 488,00 ;5.244;10.403;9.456;90; 947 ; - ; - ; -   ; - ; - ; 1.521 ; 20.753 ;AMARILDO;11 - ASSINATURA DE CONTRATO/PEDIDO;4;0;-;-; 1.169.234 ;A130_INSPECAO INTERI/A40_INSPEÇÃO_UCS/A43_INSTALAÇÃO_D/;ABAIXO SEGURANÇA;A
401193INVT;-; - ;INVT;401193;TRAFO AER 1F 7,96KV 15KVA 240/120V 7TP;UN;TRANSFORMADORES DE DISTRIBUIÇÃO;DIT/DTE/DTM/;MONA LISA; R$ 49.160,62 ;77;115;98;90; 10 ; - ; 7 ; 347 ; 1 ; - ; 3 ; 203 ;ADRIANA; 15 - ADITIVADO;0;0;-;-; 1.169.234 ;A11_EXTENS_REDMT/A46_ADEQ_REDISTI/A10_PREST_SERVEM/;ABAIXO SEGURANÇA;A
402447INVT;-; - ;INVT;402447;TRAFO AER 1F 7,96KV 10KVA 240/120V 7TP;UN;TRANSFORMADORES DE DISTRIBUIÇÃO;DIT/DTE/DTM/;MONA LISA; R$ 43.884,02 ;75;115;115;90; - ; - ; - ; 606 ; 1 ; - ; - ; 201 ;ADRIANA; 15 - ADITIVADO;0;0;-;-; 1.169.234 ;A11_EXTENS_REDMT/A46_ADEQ_REDISTI/A10_PREST_SERVEM/;CRÍTICO;A
400072INVT;-; - ;INVT;400072;TRAFO AER 1F 7,96KV 5KVA 240/120V 7TP;UN;TRANSFORMADORES DE DISTRIBUIÇÃO;DIT/DTE/DTM/;MONA LISA; R$ 4.586,64 ;624;967;793;90; 5 ; - ; 169 ; 3.882 ; 8 ; - ; 43 ; 1.728 ;ADRIANA; 15 - ADITIVADO;0;0;-;-; 1.169.234 ;A08_MANUT_REDMAN/A32_INSTALAÇÃO_D/A41_EXTREDE_DIST/A11_EXTENS_REDMT/A46_ADEQ_REDISTI/A10_PREST_SERVEM/;ABAIXO SEGURANÇA;A
403409INVT;-; - ;INVT;403409;RELIGADOR 3F AUTOMATICO 15KV 630A 12,5kA;UN;RELIGADORES;DIT/DTE/DTM/;ANTONIO; R$ 55.405,99 ;39;53;49;60; 4 ; - ; - ; -   ; - ; - ; 3 ; 133 ;AMARILDO;09 - EM APROVAÇÃO PELA MESA DE AVALIAÇÃO;1;0;-;-; 1.169.234 ;A32_INSTALAÇÃO_D/A42_EQUAL_PROTIN/A10_PREST_SERVEM/;ABAIXO SEGURANÇA;A
410050INVT;-; - ;INVT;410050;CABO AL CONCENTRICO 2F 2X35+35MM2;UN;CABOS DIVERSOS;DPM/;MONA LISA; R$ 65,25 ;27.365;54.389;0;90; - ; - ; 55.000 ; 15.000 ; - ; - ; - ; 107.631 ;TEREZA;12 - CONTRATADO;0;0;-;-; - ;A40_INSPEÇÃO_UCS/;CRÍTICO;A
400968INVT;-; - ;INVT;400968;POSTE FIBRA VIDRO 11M 200DAN;UN;POSTES DE FIBRA;DIT/DTM/;IDA; R$ 7.204,00 ;345;464;335;60; 29 ; 100 ; - ; 100 ; 8 ; - ; 26 ; 916 ;JOSEANE;-;4;0;-;-; 1.169.234 ;A44_SUB_INST_POS/A10_PREST_SERVEM/;ABAIXO SEGURANÇA;A
400487INVT;-; - ;INVT;400487;CABO  MULT 3X120+1X120MM² XLPE 0,6/1 KV;UN;CABOS MULTIPLEXADOS;DTM/;MONA LISA; R$ 109,60 ;14.400;24.000;14.455;60; 5.545 ; - ; 4.000 ; 16.486 ; 4.087 ; - ; 6.311 ; 57.600 ;ADRIANA;07 - VALIDAÇÃO DA MINUTA;2;0;-;-; 1.169.234 ;A08_MANUT_REDMAN/A10_PREST_SERVEM/;ABAIXO SEGURANÇA;A
404159INVT;-; - ;INVT;404159;"CONJ MEDICAO 15KV; 70:1; 5-5A; USO EXT";UN;CONJ  DE MEDIÇÃO;DPC/;-; R$ 61.250,00 ;78;78;0;60; - ; - ; 137 ; 47 ; - ;; - ; 101 ;-;-;;;;;;A40_INSPEÇÃO_UCS/;CRÍTICO;A
400224INVT;-; - ;INVT;400224;POSTE CONC DUPL T 11 M 300 DAN;UN;POSTES DE CONCRETO;DIT/DTE/DTM/;IDA; R$ 1.620,00 ;1.269;1.955;1.688;45; 267 ; - ; - ; -   ; 143 ; - ; 163 ; 3.664 ;AMARILDO;04 - ANÁLISE TÉCNICA;1;0;-;-; 1.169.234 ;A08_MANUT_REDMAN/A157_MORAR MELHOR/A32_INSTALAÇÃO_D/A35_EXTENS_REDE/A36_AQUISIC_SIST/A41_EXTREDE_DIST/A11_EXTENS_REDMT/A46_ADEQ_REDISTI/A47_ADEQREDES_IT/A188_BLINDAGEM/A10_PREST_SERVEM/;ABAIXO SEGURANÇA;A
402807INVT;-; - ;INVT;402807;MED IN 3E 4F 120V 100A SMC DR B;UN;MEDIDORES INTELIGENTES;DPM/;MONA LISA; R$ 1.710,48 ;865;1.520;0;60; 2.919 ; - ; - ; -   ; - ; - ; 80 ; 3.385 ;-;-;0;0;-;-; 1.169.234 ;A40_INSPEÇÃO_UCS/A83_PROJETO_SMC/;SOBRE-ESTOQUE;A
402824INVT;-; - ;INVT;402824;MED EL 1E 2F 120V 100A GD B;UN;MEDIDORES DIVERSOS;DCR/DIC/DIT/DPC/DPM/DRI/;MONA LISA; R$ 120,00 ;11.762;23.554;3.379;90; 8.570 ; - ; 11.605 ; -   ; - ; - ; 770 ; 46.315 ;AMARILDO;11 - ASSINATURA DE CONTRATO/PEDIDO;2;0;-;-; 1.169.234 ;A130_INSPECAO INTERI/A40_INSPEÇÃO_UCS/A43_INSTALAÇÃO_D/;ABAIXO SEGURANÇA;A
404161INVT;-; - ;INVT;404161;"CONJ MEDICAO 15KV; 70:1; 15-5A; USO EXT";UN;CONJUNTOS DE MEDIÇÃO 1;DIC/DPC/;ANTONIO; R$ 91.750,00 ;32;40;0;60; 8 ; - ; 88 ; 68 ; - ; - ; - ; 60 ;-;-;3;0;-;-; 1.169.234 ;A130_INSPECAO INTERI/A40_INSPEÇÃO_UCS/;ABAIXO SEGURANÇA;A
400152INVT;-; - ;INVT;400152;MED EL 3E 4F 120 240V 200A TB GD C;UN;MEDIDORES DIVERSOS;DCR/DIC/DPC/DPM/DRI/;MONA LISA; R$ 1.901,60 ;720;1.170;1.170;60; - ; - ; - ; 10 ; - ; - ; 10 ; 2.888 ;AMARILDO;07 - VALIDAÇÃO DA MINUTA;2;0;-;-; 1.169.234 ;A130_INSPECAO INTERI/A40_INSPEÇÃO_UCS/;CRÍTICO;A
404009INVT;804666; Estoque 0/ Demanda Anual 1500/ Contratos: 0 ;INVT;404009;CABO AL CONCENTRICO 1F 1x16+16MM2;UN;CABOS CONCÊNTRICOS;DPC/DPM/;ANTONIO; R$ 10,26 ;174.591;340.798;149.761;90; 34.037 ; - ; 157.000 ; 77.028 ; - ; - ; 68.142 ; 530.533 ;TEREZA;12 - CONTRATADO;3;0;-;-; 1.169.234 ;A40_INSPEÇÃO_UCS/A83_PROJETO_SMC/A188_BLINDAGEM/;ABAIXO SEGURANÇA;A
401632INVT;805582; Estoque 0/ Demanda Anual 0/ Contratos: 0 ;INVT;401632;LACRE SEG MET 11DIG BR;UN;LACRES;DIC/DIT/DPC/DPM/DRI/;ANTONIO; R$ 5,76 ;269.115;443.414;204.714;60; 15.700 ; - ; 223.000 ; 549.100 ; - ; - ; 112.650 ; 943.395 ;ADRIANA;02 - COTAÇÃO;0;0;-;-; 1.169.234 ;A130_INSPECAO INTERI/A40_INSPEÇÃO_UCS/A43_INSTALAÇÃO_D/A83_PROJETO_SMC/A49_AMPLIA_REDE/A188_BLINDAGEM/;ABAIXO SEGURANÇA;A
400594INVT;803907; Estoque 2000/ Demanda Anual 5810/ Contratos: 0 ;INVT;400594;CABO DE AÇO REVESTIDOS DE COBRE 35MM²;UN;CABOS DE AÇO;DIT/DTE/DTM/;MONA LISA; R$ 152,00 ;10.916;17.973;1.449;60; 8.525 ; - ; 8.000 ; 7.001 ; 7.249 ; - ; 1.895 ; 32.926 ;WILLIAM;12 - CONTRATADO;2;0;-;-; 1.169.234 ;A08_MANUT_REDMAN/A157_MORAR MELHOR/A32_INSTALAÇÃO_D/A35_EXTENS_REDE/A36_AQUISIC_SIST/A38_REFORÇO_REDE/A41_EXTREDE_DIST/A11_EXTENS_REDMT/A47_ADEQREDES_IT/A188_BLINDAGEM/A10_PREST_SERVEM/;ABAIXO SEGURANÇA;A
400073INVT;-; - ;INVT;400073;TRAFO AER 3F 15KV 45KVA 220/127V 7TP;UN;TRANSFORMADORES DE DISTRIBUIÇÃO;DIT/DTE/DTM/;MONA LISA; R$ 15.179,96 ;112;182;143;90; 12 ; - ; 27 ; 905 ; 5 ; - ; 16 ; 327 ;ADRIANA; 15 - ADITIVADO;0;0;-;-; 1.169.234 ;A36_AQUISIC_SIST/A41_EXTREDE_DIST/A11_EXTENS_REDMT/A46_ADEQ_REDISTI/A47_ADEQREDES_IT/A10_PREST_SERVEM/;ABAIXO SEGURANÇA;A
402105INVT;800872; Estoque 0/ Demanda Anual 9552/ Contratos: 0 ;INVT;402105;CONECTOR AUTO PERF DU 70-240 / 70-240MM2;UN;CONECTOR/TERMINAL;DIT/DTE/DTM/;IDA; R$ 110,00 ;13.960;31.555;17.495;90; - ; 6.060 ; 8.000 ; 2.560 ; 599 ; - ; 2.620 ; 43.926 ;AMARILDO;05 - NEGOCIAÇÃO;2;0;-;-; 1.169.234 ;A08_MANUT_REDMAN/A41_EXTREDE_DIST/A46_ADEQ_REDISTI/A47_ADEQREDES_IT/A188_BLINDAGEM/;CRÍTICO;A
