CÓDIGO;DESCRIÇÃO;UDM;VALOR UNITÁRIO;"LEAD 
TIME";PLANEJADOR
800177;CABO ELET FLEXIVEL PVC 750V 2,5MM2 CZ;M;1,04;60;MONALIZA
800145;CABO ELÉTRICO CU 35MM AZUL FLEXIVEL 750V;M;26,5;60;MONALIZA
801006;CABO ELET ISOL 4MM2 PVC 750V;M;3,29;60;MONALIZA
404282;CABO OPTICO CALIBRAVEL RS232 ABNT;KG;195,36;60;MONALIZA
805404;LUVA EMENDA COMPRESSAO CABO DE AL 120MM2;UN;127,95;60;MONALIZA
402425;POSTE FIBRA VIDRO 15M 600DAN;UN;8085;60;IDA
805260;GRAMPO DE SUSPENSÃO PARA CABO 954 MCM MA;UN;120;60;MONALIZA
403344;POSTE CONCRETO CIRC 18M 1000DAN;UN;7498,27;45;IDA
400985;POSTE FIBRA VIDRO E-CR 13M 1000DAN;UN;7442;60;IDA
401193;TRAFO AER 1F 7,96KV 15KVA 240/120V 7TP;UN;7279,45;90;MONALIZA
403365;POSTE CONCRETO CIRC 15M 1500DAN;UN;7011,34;45;IDA
403374;POSTE CONCRETO CIRC 15M 1000DAN;UN;6513,85;45;IDA
402275;CABO ELET BT 1X95MM2 0,6/1KV COBRE XLPE;M;59,8;60;MONALIZA
805262;CABO CONDUTOR 266 MCM PARTRIDGE;UN;35;60;MONALIZA
804425;MODULO RETIFICADOR 125VCC;UN;5952,56;60;ANTONIO
402447;TRAFO AER 1F 7,96KV 10KVA 240/120V 7TP;UN;5491,95;90;MONALIZA
401752;POSTE CONCRETO CIRC TRON 13M 1500KG;UN;5478;45;IDA
800052;CABO NU AL CAA 4/0 AWG 107MM2 PEGUIN;M;24,5;60;MONALIZA
401964;POSTE CONCRETO DUPLO T 13M 1500DAN;UN;5251,41;45;IDA
408332;MED IN 3E 4F 67 120 240V 10A ACL DF D;UN;5199,8;90;MONALIZA
409620;REGULADOR TENSAO 1F 333KVA 7,96KV 438A;UN;633900;60;ANTONIO
401931;POSTE FIBRA VIDRO E-CR 13M 600DAN;PAC;5195;60;IDA
805342;CABO ELET CU 35MM2 PR FLEXIVEL 750V;M;36;60;MONALIZA
805343;CABO ELET CU 35MM2 VD FLEXIVEL 750V;M;36;60;MONALIZA
805341;CABO ELET CU 35MM2 VERM FLEXIVEL 750V;UN;36;60;MONALIZA
402333;CABO ELET QUAD 3X1X50+1X50MM2 0,6/1KV;M;14,6;60;MONALIZA
401349;POSTE CONCRETO CIRC 11M 1000DAN;CX;4822,69;45;IDA
404205;SWITCH DE FIBRAS 24 PORTAS 10/100 MBPS;UN;4790;60;ANTONIO
400347;CABO COMANDO/CONTR 4X1,5MM2 0,6/1KV SBE;UN;13;60;MONALIZA
400072;TRAFO AER 1F 7,96KV 5KVA 240/120V 7TP;UN;4586,64;90;MONALIZA
805344;CABO ELET CU 25MM2 VERM FLEXIVEL 750V;M;28;60;MONALIZA
805401;CABO ELET BT 2X10MM2 0,6/1kV;M;25;60;MONALIZA
805497;CABO COMANDO/CONTR 6X1,5MM2 0,6/1KV SBE;UN;12;60;MONALIZA
401414;CABO COMANDO/CONTR 2X1,5MM2 0,6/1KV SBE;UN;11,5;60;MONALIZA
402515;POSTE CONC CIRCULAR 12/1000;UN;4418,25;45;IDA
402013;POSTE CONCRETO CIRC 15M 600DAN;UN;4336,88;45;IDA
401699;POSTE FIBRA VIDRO E-CR 13M 400DAN;UN;4327;60;IDA
402098;POSTE CONCRETO DUPLO T 13M 1000DAN;UN;4293,65;45;IDA
404213;FIBRA OPTICA POF 2,2MM 100M;UN;9,68;60;MONALIZA
800999;CABO ELET BT 3X10MM2 0,6/1 KV;M;10,45;60;MONALIZA
404155;PARAFUSADEIRA FURADEIRA 18V PROFISSIONAL;UN;4086,76;60;IDA
402242;POSTE FIBRA VIDRO E-CR 11M 600DAN;UN;4055,1;30;IDA
401969;POSTE CONCRETO DUPLO T 15M 1000DAN;UN;3947,38;45;IDA
804426;CONTROLADOR IHM 125VCC;UN;3825,51;60;ANTONIO
402235;CABO ELET ISOL AZ 2,5MM2;KG;3,55;60;MONALIZA
401260;POSTE CONCRETO TRON CON 9M 1000KGF;UN;3687,55;45;IDA
800768;CABO ELET ISOL AZ 2,5MM2;KG;1,59;60;MONALIZA
800157;CABO ELET ISOL BR 2,5MM2;M;1,52;60;MONALIZA
400734;CABO ELET FLEXIVEL PVC 750V 2,5MM2 PT;M;1,3;60;MONALIZA
402136;CABO ELET FLEXIVEL PVC 750V 2,5MM2 VD;UN;1,3;60;MONALIZA
401296;POSTE CONCRETO TRON CON 11M 600KGF;UN;3504,41;45;IDA
403376;POSTE CONCRETO CIRC 15M 400DAN;UN;3359,23;45;IDA
800798;CABO ELET FLEX 2,5MM VM;M;1,16;60;MONALIZA
402229;CABO ELET FLEXIVEL PVC 750V 2,5MM2 VM;KG;1,16;60;MONALIZA
803770;CABO ELET ISOL 1,5MM2 CINZA;M;1;60;MONALIZA
801250;CABO ELET FLEXIVEL PVC 750V 2,5MM2 VD;UN;0,72;60;MONALIZA
800021;CABO ELET CU 95MM2 90°XLPE 0,6/1KV;M;74,57;60;MONALIZA
800051;CABO ELET ISOL SING 1.5MM2 BR;M;0,56;60;MONALIZA
800048;CABO ELET ISOL SING 1.5MM2 VERMELHA;M;0,56;60;MONALIZA
801017;CABO ELETR 750V CU SING PVC 1,5MM2 AZUL;UN;0,56;60;MONALIZA
800133;CABO ELET ISOL, 1,5MM2 PT;UN;0,34;60;MONALIZA
409301;UNID REMOTA ESENSOR-RL IP67 UL94HB;UN;2778;60;ANTONIO
401318;POSTE FIBRA VIDRO E-CR 9M 600DAN;UN;2721,33;60;IDA
400995;POSTE CONCRETO DUPLO T 9M 1000DAN;UN;2715,29;45;IDA
400988;POSTE CONCRETO TRON CON 9M 600KGF;UN;2714,44;45;IDA
410046;CABO AL CONCENTRICO 1F 1x25+25MM2;UN;5,5;90;MONALIZA
410050;CABO AL CONCENTRICO 2F 2X35+35MM2;UN;17;90;MONALIZA
400221;POSTE FIBRA VIDRO E-CR 11M 300DAN;UN;2609,6;60;IDA
800062;CABO  MULT 2X16+1X16MM² XLPE 0,6/1 KV;UN;5,39;60;MONALIZA
800762;CABO  MULT 3X70+1X70 MM² XLPE 0,6/1 KV;UN;28;60;MONALIZA
400710;CABO  MULT 3X95+1X70MM² XLPE 0,6/1 KV;UN;35,88;60;MONALIZA
800163;CABO ELET NU CA AL 2/0AWG 67,40MM2;KG;29;60;MONALIZA
400968;POSTE FIBRA VIDRO 11M 200DAN;UN;2280,12;60;IDA
401678;TRAFO POT 13,8 3KV 115 REL70 1 0,3P75;UN;2200;60;MONALIZA
400474;CABO  MULT 3X70+1X70 MM² XLPE 0,6/1 KV;UN;36;60;MONALIZA
403103;BUCHA CONDENSIVA POLIMERICA 138KV 1250A;CJ;205018;60;IDA
800676;CABO  MULT 3X95+1X70MM² XLPE 0,6/1 KV;UN;35,88;60;MONALIZA
400473;CABO  MULT 3X50+1X50MM² XLPE 0,6/1 KV;UN;27,82;60;MONALIZA
804115;CAIXA PARA MEDIDOR POLIFASICA VIS. VIDRO;M;70,83;60;ANTONIO
800041;CABO  MULT 3X50+1X50MM² XLPE 0,6/1 KV;UN;21,05;60;MONALIZA
401127;POSTE CONCRETO ARM DUPL T 11M 600KGF;UN;2062;45;IDA
401786;CABO  MULT 3X35+1X35 MM² XLPE 0,6/1 KV;UN;14,57;60;MONALIZA
800750;CABO  MULT 3X35+1X35 MM² XLPE 0,6/1 KV;UN;14,57;60;MONALIZA
401396;CABO  MULT 3X25+1X25 MM² XLPE 0,6/1 KV;UN;10,59;60;MONALIZA
800775;CABO  MULT 2X25+1X25MM² XLPE 0,6/1 KV;UN;7,57;60;MONALIZA
400443;CABO  MULT 2X25+1X25MM² XLPE 0,6/1 KV;UN;7,43;60;MONALIZA
409268;UNID REMOTA ESENSOR-BT C/TC IP67 UL94HB;UN;1970;60;ANTONIO
800975;CABO  MULT 3X16+1X16MM² XLPE 0,6/1 KV;UN;6,9;60;MONALIZA
400481;CABO  MULT 3X16+1X16MM² XLPE 0,6/1 KV;UN;6,16;60;MONALIZA
402650;POSTE CONCRETO DUPLO T 9 M 600 DAN;PEÇ;1750;45;IDA
405382;MED IN 3E 4F 120 240V 10A TB GD DF C;UN;1749;90;MONALIZA
400216;POSTE FIBRA VIDRO 9M 200DAN;UN;1741,25;60;IDA
408896;MED IN 3E 4F 120 240V 200A TB QE GD DR C;UN;1710,48;60;ANTONIO
400442;CABO  MULT 2X16+1X16MM² XLPE 0,6/1 KV;UN;5,39;60;MONALIZA
801185;CABO  MULT 2X10+1X10 MM² XLPE 0,6/1 KV;PEÇ;3,71;60;MONALIZA
403499;ABRACADEIRA PLAS 300 X 4,80MM;UN;0,54;60;IDA
800804;CABO  MULT 1X16+1X16MM² XLPE 0,6/1 KV;PEÇ;3,25;60;MONALIZA
800869;FIO ELETRICO CU NU 16MM2 MEIO DURO;UN;81,7;60;MONALIZA
800060;CABO ELET 15KV AL PROT XLPE 185MM2 1F MT;M;16,52;60;MONALIZA
804050;DISJUNTOR 2P 127/220V 400VCA 32A;UN;20;60;ANTONIO
401309;"TRAFO CRTE 15KV; 20-5A; 0,3C12,5 BARRA";UN;1405,5;60;MONALIZA
400730;CABO ELET 15KV AL PROT XLPE 185MM2 1F MT;M;25;60;MONALIZA
401308;"TRAFO CRTE 15KV; 10-5A; 0,3C12,5 BARRA";UN;1402,5;60;MONALIZA
800033;CABO ELETR 15KV AL PROT XLPE 50MM2 1F MT;M;5,25;60;MONALIZA
401356;"TRAFO CRTE 15KV; 15-5A; 0,3C12,5 BARRA";UN;1402,5;60;MONALIZA
403251;"TRAFO CRTE 15KV; 200-5A; 0,3C12,5 BARRA";UN;1402,5;60;MONALIZA
400069;"TRAFO CRTE 15KV; 5-5A; 0,3C12,5 BARRA";UN;1402,5;60;MONALIZA
401771;"TRAFO CRTE 15KV; 60-5A; 0,3C12,5 BARRA";UN;1402,5;60;MONALIZA
404467;CAPACITOR 1F 200KVAR 7,96KV AUTOM;UN;4168;60;ANTONIO
401405;CHAVE SECC 3P 15KV 400A 12,5KA;UN;25415,98;60;MONALIZA
402847;POSTE CONC DUPL T 9 M 300 DAN;UN;1295;45;IDA
403668;ALICATE CRIMPADOR P/ TERMINAL ISOLADO;UN;1283,66;60;IDA
400436;CHAVE 1P 15KV 400A 12,5KA AUT VACUO 125K;UN;12945,92;60;MONALIZA
800817;CHAVE FUSIVEL DIST 15KV 100A/10KA PORC;UN;380;60;MONALIZA
401735;"TRAFO CRTE 0,6KV;800-5A 0,3C12,5 JANELA";UN;1175;60;MONALIZA
404613;"TRAFO CRTE 15KV; 40-5A; 0,3C12,5 BARRA";UN;1170;60;MONALIZA
400758;CHAVE SECC 1P 15KV 630A 110KV 25KA;KG;555,84;60;MONALIZA
403563;CHAVE SEC 1P 15KV 400A 95KA/S F. FACA;UN;179,1;60;MONALIZA
404553;TERMINAL DE COMPUTADOR SERVIDOR SAGE;UN;36046,61;90;IDA
110195;ESCADA FBV EXT 5,10X9,00M 29DEG 30KG;0;1054,79;60;ANTONIO
410200; CONECTOR COMP TIPO H 95-95;UN;22;60;IDA
401685;"TRAFO CRTE 0,6KV;600-5A 0,3C12,5 JANELA";UN;1040;60;MONALIZA
404203;TERMINAL SERVER 16 PORTAS TS1000 32MB;UN;16314,3;90;IDA
401034;CONECTOR DER CUNH AZ AL 4/0 2/0 336,4MCM;UN;10,52;90;IDA
800886;CONECTOR DER CUNHA AL 2/0AWG 336,4MCM;UN;27,6;90;IDA
805519;CONECTOR PARALELO 3 PARAFUSOS 2250MCM;UN;500;90;IDA
404738;TERMINAL CHAVE SEC 1F 35-185MM2;UN;252;90;IDA
401992;"TRAFO CRTE 0,6KV 400-5A; 0,3C12,5 BARRA";UN;968;60;MONALIZA
400292;"TRAFO CRTE 0,6KV;300-5A 0,3C12,5 JANELA";PEÇ;968;60;MONALIZA
403337;MED EL 3E 4F 120V 200A TB GD B;UN;950,8;90;MONALIZA
410177;ABRACADEIRA PLAS UV 150X3,50MM;UN;1,85;20;IDA
804490;CONECTOR EMENDA RETA 954 MAGNOLIA;UN;249,8;90;IDA
805268;CONECTOR TIPO T P/ CABO 266 MCM PARTRIDG;UN;150;90;IDA
803456;TERMINAL ELET 507MM2  COMP DUPLA;UN;116,5;90;IDA
801223;CONECTOR PARAL AL RETA 954MCM;M;86;90;IDA
404229;"TRAFO CRTE 15KV; 30-5A; 0,3C12,5 BARRA";UN;853,26;60;MONALIZA
804484;GRAMPO ANCOR CABO 795 TERN;UN;803;60;ANTONIO
805264;CONECTOR PARALELO PARA CABO 795 MCM TERN;UN;76;90;IDA
804487;CONECTOR PARALELO 266,8 PARTRIDGE;UN;66;90;IDA
805520;CONECTOR TERMINAL RETO;UN;50;90;IDA
805518;CONECTOR TERMINAL RETO LIGAÇAO;UN;50;90;IDA
409260;TERMINAL A COMP PARA BORNE PINO 95MM;UN;17,5;45;IDA
407443;MOSTRADOR REMOTO MEDIDORES 1003 AC/BAT;UN;716,75;60;ANTONIO
401743;"TRAFO CRTE 15KV; 100-5A; 0,3C12,5 BARRA";UN;714,33;60;MONALIZA
800592;CONECTOR PERF AL 16-120MM2 /16-120MM2;UN;14,51;90;IDA
402322;MED EL 3E 4F 120V 120A TB GD B;UN;691,61;90;MONALIZA
401465;CONECTOR PERF AL 16-120MM2 / 16-120MM2;UN;14,33;45;IDA
404115;MED IN 3E 4F 120 240V 120A TB QE GD B;UN;657,03;90;MONALIZA
401556;CABO ELET SUBAQ EPR 3F 3X50MM2 8,7/15KV;M;633,55;60;MONALIZA
800877;CONECTOR T AL 477MCM 954MCM;UN;11,18;90;IDA
400183;MED EL 2E 3F 120V 120A TB GD B;CJ;605,69;90;MONALIZA
409373;TERMINAL PINO A COMP BORNE BIMETAL 70MM2;UN;11;90;IDA
404223;TERMINAL PINO A COMP BORNE BIMETAL 50MM2;UN;9;90;IDA
805360;TERMINAL TIPO OLHAL 35MM 1/4;UN;4;90;IDA
805511;TERMINAL PINO PARA BORNE 35 MM;UN;3,5;90;IDA
804320;TERMINAL PINO 35 MM2;UN;2,6;90;IDA
120099;VARA MANOBRA SECC TUB VID 6,45M;0;600;60;ANTONIO
404114;MED IN 2E 3F 120 240V 120A TB QE GD B;UN;575,41;90;MONALIZA
400091;TRAFO CRTE 15KV 20-5A 13,8KV 0,3C12,5;UN;571,9;60;MONALIZA
804017;ESTAÇÃO DE SOLDA POTÊNCIA DE 80 W;UN;567,22;60;IDA
403077;MED EL 3E 4F 120 240V 120A TB GD C;UN;565,87;90;MONALIZA
800977;TERMINAL ELET CU ELET 35MM2 LING RET 1F;UN;2,45;90;IDA
804446;TERMINAL TIPO OLHAL 25MM 1/4;UN;2,2;90;IDA
805363;TERMINAL TIPO OLHAL 16MM2 1/4;UN;2;90;IDA
401733;TERMINAL PRESSAO CU 70MM2;UN;1,78;90;IDA
804447;TERMINAL TIPO OLHAL  10MM 1/4;UN;0,8;90;IDA
402525;CRUZETA POLIMERICA 5000X112,5X90MM;UN;500,43;60;IDA
804253;TERMINAL PRE-ISOL OLHAL 1,5-2,5 MM2;UN;0,7;90;IDA
803206;TERMINAL PRE ISOLADO TIPO PINO 2,5MM AZ;UN;0,46;90;IDA
403161;PONTALETE FBV 100MM 6M;UN;500;30;IDA
800774;TERMINAL PINO TUBULAR 2,5MM2;UN;0,23;90;IDA
803193;TERMINAL PRE ISOL PINO TUBULAR 1,5MM;UN;0,15;90;IDA
400817;CONECTOR PERF AL 35-150MM2 / 35-150MM2;UN;14,51;60;IDA
405492;TERMINAL TUBULAR CU ESTANHADO 50MM3;UN;1,8;60;IDA
404171;"CONJ MEDICAO 15KV; 70:1; 300-5A; USO EXT";UN;32300;60;ANTONIO
800454;GAS HEXAFLUORETO ENXOFRE SF6;UN;478,17;60;IDA
404169;"CONJ MEDICAO 15KV; 70:1; 150-5A; USO EXT";UN;30750;60;ANTONIO
409743;"CONJ MEDICAO 0,6KV; 200-5A ;USO EXT";UN;1;60;ANTONIO
402407;"TRAFO CRTE 0,6KV;200-5A 0,3C12,5 JANELA";PEÇ;468;60;MONALIZA
402617;REGULADOR TENSAO 1F 167 KVA 7,96KV 219A;UN;90625;60;ANTONIO
404154;DETECTOR DE TENSAO POR APROXIMACAO 15KV;UN;461,58;60;IDA
409744;"CONJ MEDICAO 0,6KV; 400-5A ;USO EXT";UN;1;60;ANTONIO
803470;PONTALETE FBV 100MM 6M;UN;436,05;30;IDA
404166;"CONJ MEDICAO 15KV; 70:1; 50-5A; USO EXT";UN;30750;60;ANTONIO
404159;"CONJ MEDICAO 15KV; 70:1; 5-5A; USO EXT";UN;30750;60;ANTONIO
404167;"CONJ MEDICAO 15KV; 70:1; 75-5A; USO EXT";UN;30750;60;ANTONIO
400468;CABO ELET SUBAQ EPR 1X50MM2 8,7/15KV 1F;UN;415;60;MONALIZA
401036;CORDOALHA AC 9,5MM 3/8P 7F 4900DAN;UN;20,95;60;MONALIZA
401823;CORDOALHA AC 6,3MM 1/4P 7F;UN;30,79;60;MONALIZA
804671;FUSIVEL HH 10A 358C 52L MM;UN;400;60;MONALIZA
803250;CONVERSOR DE FIBRA MONOMODO SM;UN;389;60;ANTONIO
804562;EMENDA MUFLA ENFITADA 25-70MM 3,6/35KV;UN;387,26;60;ANTONIO
402276;CHAVE FUSIVEL INDIC 15KV 200A/95KV BUC;UN;385,13;60;MONALIZA
800262;CHAVE FUSIVEL INDIC 15KV 200A/95KV BUC;UN;385,13;60;MONALIZA
401547;CRUZETA POL PE/FBN 90X112,5X2400MM;UN;247,5;60;IDA
403602;ABRACADEIRA PLAS UV 525X8,90MM TRI;PEÇ;3,57;60;IDA
402320;DISJUNTOR 3P 15KV 110KV 1250A 25KA;UN;39698,71;60;ANTONIO
409150;DISJUNTOR 3P 15KV 110KV 2500A 25KA;UN;2100;60;ANTONIO
403327;DISJUNTOR 2P 127/220V 400VCA 32A;UN;;60;ANTONIO
409232;CAMPANULAS DISJUNTOR SION;UN;1067,73;60;ANTONIO
403371;DISJUNTOR 3P 127/220V 400VCA 40A;UN;30,81;60;ANTONIO
403113;DISJUNTOR 1P 127/220V 400VCA 32A;UN;5,99;60;ANTONIO
400661;ELO FUSIVEL BOTAO DISTR K 40A 500MM;UN;7,66;60;ANTONIO
402701;CHAVE SEC 1P 15KV 630A CONEXÃO TER CUNHA;PEÇ;354,84;60;MONALIZA
404112;MED IN 1E 2F 120 240V 120A TB QE GD B;UN;350,08;90;MONALIZA
800203;ELO FUSIVEL DISTRIB 30K 15KV 500MM;UN;6,81;60;ANTONIO
403580;ALCA PREFORM CABO CONC 3X35 + 35;UN;14,5;60;ANTONIO
801786;CHAVE AFERICAO SOBREPOR 6P CORR/4P TENS;UN;342,19;60;ANTONIO
400806;ELO FUSIVEL DISTRIB 30K 15KV 500MM;UN;6,35;60;ANTONIO
403647;ALCA PREFORM CABO CONC 3X95 +70;PAC;18,09;60;ANTONIO
402025;ELO FUSIVEL BOTAO DISTRIB K 25A 500MM;UN;5,82;60;ANTONIO
801400;HASTE ATERRAMENTO CI AC 14,3X2438MM;UN;91,6;90;ANTONIO
402195;"TRAFO CRTE 15KV; 75-5A; 0,3C12,5 BARRA";UN;324,68;60;MONALIZA
803100;SUPORTE AFAST HORIZ C/PRENSA REDE 15KV;UN;323,94;60;ANTONIO
401399;ELO FUSIVEL DISTRIB 20K 15KV 500MM;UN;5,53;60;ANTONIO
400092;"TRAFO CRTE 15KV 30-5A 6:1; 0,3C12,5";UN;322,35;60;MONALIZA
402400;"TRAFO CRTE 15KV; 50-5A; 0,3C12,5 BARRA";UN;322,05;60;MONALIZA
804483;GRAMPO ANCOR CABO 266,8 PARTRIDGE;UN;318,42;60;ANTONIO
409203;LUVA DE EMENDA TORQUIMÉTRICO 185MM2;PEÇ;317;60;ANTONIO
804573;LUVA DE EMENDA TORQUIMÉTRICO 185MM2;PEÇ;317;60;ANTONIO
401910;ELO FUSIVEL BOTAO DISTRIB K 15A 500MM;UN;5,46;60;ANTONIO
401056;ELO FUSIVEL BOTAO DISTRIB K 10A 500MM;UN;5,18;60;ANTONIO
402675;CHAVE AFERICAO SOBREPOR 6P CORR/4P TENS;UN;308;60;ANTONIO
801277;ELO FUSIVEL K 50A;UN;3,23;60;ANTONIO
403033;BANCO DE BATERIAS SELADA 48VCC 300AH;UN;35583,34;60;ANTONIO
410067;SWITCH RUDDECOM i803 FO LC  ETHERNET;PEÇ;35000;60;ANTONIO
406361;"HIPOT TENSÃO ATÉ 60kV; CRTE TESTE 100mA";UN;30500;60;ANTONIO
404264;MODULOS MEDICAO 3 BUCHAS CAPACITIVAS;UN;29323,18;60;ANTONIO
408949;ANALISADOR DE MEDIÇAO ADR 4000;UN;19874,12;60;ANTONIO
403663;CABO CONCENTRICO CU 3X70+70MM;UN;285,18;90;ANTONIO
404265;MODULO INTERFACE MONITORACAO 9 BUCHAS;UN;13680,37;60;ANTONIO
410029;REPETIDORA SLR5100 VHF;UN;12000;60;ANTONIO
406631;TERROMETRO DIGITAL EM4058;UN;10356,62;60;ANTONIO
404284;CONVERSOR 4 PORT. 10/100M+2 FIBRA;UN;9468,73;60;ANTONIO
803559;GRAMPO SUSP MONOART 5 A 11 CORDOALHA5/16;KG;252,5;60;ANTONIO
410066;FONTE SOBRESSALENTE GE REASON RPV 311;UN;8000;60;ANTONIO
802249;CONECTOR CHAVE SEC 1P FACA CU 10-300MM2;UN;252;90;IDA
804454;LOADBUSTER INTERRUPTOR DE CARGA 13,8KV;UN;6000;60;ANTONIO
410063;FANLESS SIEMENS IPC BX-39A;UN;5000;60;ANTONIO
409249;MEGOHMETRO - MEGGER;UN;5000;60;ANTONIO
409805;SWITCH ETHERNET RUGGEDCOM RMC40;UN;5000;60;ANTONIO
800847;CRUZETA POL PE/FBN 90X112,5X2400MM;UN;247,5;60;IDA
401657;MAO FRANCESA BECO AC 2135MM 35MMX5MM;UN;247,23;60;ANTONIO
800991;MAO FRANCESA BECO AC 2135MM 35MMX5MM;UN;247,23;60;ANTONIO
803510;GRAMPO ANCORAGEM  CORDOALHA  5/16;CX;236,75;60;ANTONIO
403182;CONECTOR CHAVE SEC 1P FACA CU 10-300MM2;UN;232,2;90;IDA
409785;ANALISADOR PORTATIL DE GAS E UMIDADE;UN;4500;60;ANTONIO
410031;GATEWAY COMUNICACAO C/ CABOS(BMS);M2;4500;60;ANTONIO
401683;SUPORTE TRANSF POSTE DUP T AC 230X125MM;UN;223;60;ANTONIO
400106;LUVA EMENDA 185MM 251MM;UN;220;60;ANTONIO
801154;LUVA EMENDA 185MM 251MM;UN;220;60;ANTONIO
409901;GATEWAY DE COMUNICAÇÃO_SDG;UN;4500;60;ANTONIO
403168;SUPORTE PARA CAIXA SMC;UN;214,4;60;ANTONIO
