Chave;Sequencia;Fornecedor/centro fornecedor;Documento de compras;Item;Tipo doc.compras;Ctg.doc.compras;Grupo de compradores;;Data do documento;Material;Texto breve;Início per.validade;Fim da validade;Grupo de mercadorias;Código de eliminação;Categoria do item;Ctg.class.cont.;Centro;Depósito;Qtd.do pedido;UM pedido;Qtd.na UnidGestEstoq;Unidade manutenção estoque;Preço líquido;Moeda;Unidade preço;ValFix.(cabeç.);Quantidade prevista;Qtd.prev.pendente;Núm.itens
4101471;1;1003592    FIXAR INDUSTRIAL -INDUSTRIA DE META;4600003496;30;MK;K;A01;;20/02/2026;410147;CX BLIND P/ MED MONO C/ ABERT INTEL;20/02/2026;20/05/2026;MC12503;;;;CDFL;INVT;0;UN;0;UN;273,50;BRL;1;9.576.542,00;306;0;1
4101472;2;1003592    FIXAR INDUSTRIAL -INDUSTRIA DE META;4600003496;60;MK;K;A01;;20/02/2026;410147;CX BLIND P/ MED MONO C/ ABERT INTEL;20/02/2026;20/05/2026;MC12503;;;;CDFL;INVT;0;UN;0;UN;273,50;BRL;1;9.576.542,00;306;0;1
4101521;1;1003592    FIXAR INDUSTRIAL -INDUSTRIA DE META;4600003496;10;MK;K;A01;;20/02/2026;410152;CX BLIND P/ MED BI C/ ABERT INTEL;20/02/2026;20/05/2026;MC12503;;;;CDFL;INVT;0;UN;0;UN;320,00;BRL;1;9.576.542,00;637;0;1
4101522;2;1003592    FIXAR INDUSTRIAL -INDUSTRIA DE META;4600003496;70;MK;K;A01;;20/02/2026;410152;CX BLIND P/ MED BI C/ ABERT INTEL;20/02/2026;20/05/2026;MC12503;;;;CDFL;INVT;0;UN;0;UN;320,00;BRL;1;9.576.542,00;637;0;1
4101531;1;1003592    FIXAR INDUSTRIAL -INDUSTRIA DE META;4600003496;40;MK;K;A01;;20/02/2026;410153;CX BLIND P/ MED TRI C/ ABERT INTEL;20/02/2026;20/05/2026;MC12503;;;;CDFL;INVT;0;UN;0;UN;320,00;BRL;1;9.576.542,00;1.057;0;1
4101532;2;1003592    FIXAR INDUSTRIAL -INDUSTRIA DE META;4600003496;80;MK;K;A01;;20/02/2026;410153;CX BLIND P/ MED TRI C/ ABERT INTEL;20/02/2026;20/05/2026;MC12503;;;;CDFL;INVT;0;UN;0;UN;320,00;BRL;1;9.576.542,00;1.057;0;1
4101551;1;1003592    FIXAR INDUSTRIAL -INDUSTRIA DE META;4600003496;20;MK;K;A01;;20/02/2026;410155;CX BLIND P/ CONEXAO C/ ABERT INTEL;20/02/2026;20/05/2026;MC10301;;;;CDFL;INVT;0;UN;0;UN;1.665,00;BRL;1;9.576.542,00;2.500;0;1
4101552;2;1003592    FIXAR INDUSTRIAL -INDUSTRIA DE META;4600003496;50;MK;K;A01;;20/02/2026;410155;CX BLIND P/ CONEXAO C/ ABERT INTEL;20/02/2026;20/05/2026;MC10301;;;;CDFL;INVT;0;UN;0;UN;1.665,00;BRL;1;9.576.542,00;2.500;0;1
4042051;1;1009730    GRID SOLUTIONS TRANSMISSAO DE ENERG;4600003410;10;WK;K;A16;;22/10/2025;404205;SWITCH DE FIBRAS 24 PORTAS 10/100 MBPS;23/10/2025;21/05/2026;MC01702;;;;CDFL;INVT;0;UN;0;UN;27.332,50;BRL;1;191.327,50;7;0;1
4031201;1;1003818    B A ELETRICA LTDA;4600003162;20;WK;K;A14;;17/04/2025;403120;FITA ISOL ELET 19MMX20M 0,19MM BR;22/04/2025;22/05/2026;MC10903;;;;CDFL;INVT;0;UN;0;UN;53,44;BRL;1;90.580,80;309;0;1
4032751;1;1003818    B A ELETRICA LTDA;4600003162;10;WK;K;A14;;17/04/2025;403275;FITA ISOL ELET 19MMX20M 0,19MM AZ;22/04/2025;22/05/2026;MC10903;;;;CDFL;INVT;0;UN;0;UN;53,44;BRL;1;90.580,80;309;0;1
4033771;1;1003818    B A ELETRICA LTDA;4600003162;30;WK;K;A14;;17/04/2025;403377;FITA ISOL ELET 19MMX20M 0,19MM VD;22/04/2025;22/05/2026;MC10903;;;;CDFL;INVT;0;UN;0;UN;53,44;BRL;1;90.580,80;309;0;1
4034071;1;1003818    B A ELETRICA LTDA;4600003162;40;WK;K;A14;;17/04/2025;403407;FITA ISOL ELET 19MMX20M 0,19MM VM;22/04/2025;22/05/2026;MC10903;;;;CDFL;INVT;0;UN;0;UN;53,44;BRL;1;90.580,80;309;0;1
8021381;1;1003818    B A ELETRICA LTDA;4600003162;70;WK;K;A14;;17/04/2025;802138;FITA ISOL ELET 19MMX20M 0,19MM VM;22/04/2025;22/05/2026;MC10903;;;;CDFL;CUST;0;UN;0;UN;53,44;BRL;1;90.580,80;153;0;1
8021411;1;1003818    B A ELETRICA LTDA;4600003162;50;WK;K;A14;;17/04/2025;802141;FITA ISOL ELET 19MMX20M 0,19MM AZ;22/04/2025;22/05/2026;MC10903;;;;CDFL;CUST;0;UN;0;UN;53,44;BRL;1;90.580,80;153;0;1
8021581;1;1003818    B A ELETRICA LTDA;4600003162;60;WK;K;A14;;17/04/2025;802158;FITA ISOL ELET 19MMX20M 0,19MM BR;22/04/2025;22/05/2026;MC10903;;;;CDFL;CUST;0;UN;0;UN;53,44;BRL;1;90.580,80;153;0;1
4004421;1;1003949    FLEX INDUSTRIA DE FIOS E CABOS ELET;4600003213;150;MK;K;A15;;21/05/2025;400442;CABO  MULT 2X16+1X16MM² XLPE 0,6/1 KV;23/05/2025;23/05/2026;MC10101;;;;CDFL;INVT;0;M;0;M;5,08;BRL;1;15.399.219,24;7.500;0;1
4004422;2;1003949    FLEX INDUSTRIA DE FIOS E CABOS ELET;4600003213;270;MK;K;A15;;21/05/2025;400442;CABO  MULT 2X16+1X16MM² XLPE 0,6/1 KV;23/05/2025;23/05/2026;MC10101;;;;CDFL;INVT;0;M;0;M;5,08;BRL;1;15.399.219,24;2.000;0;1
4004423;3;1003949    FLEX INDUSTRIA DE FIOS E CABOS ELET;4600003213;430;MK;K;A15;;21/05/2025;400442;CABO  MULT 2X16+1X16MM² XLPE 0,6/1 KV;23/05/2025;23/05/2026;MC10101;;;;CDFL;INVT;0;M;0;M;4,65;BRL;1;15.399.219,24;12.029;0;1
4004431;1;1003949    FLEX INDUSTRIA DE FIOS E CABOS ELET;4600003213;160;MK;K;A15;;21/05/2025;400443;CABO  MULT 2X25+1X25MM² XLPE 0,6/1 KV;23/05/2025;23/05/2026;MC10101;;;;CDFL;INVT;0;M;0;M;7,43;BRL;1;15.399.219,24;10.694;3.194;1
4004432;2;1003949    FLEX INDUSTRIA DE FIOS E CABOS ELET;4600003213;350;MK;K;A15;;21/05/2025;400443;CABO  MULT 2X25+1X25MM² XLPE 0,6/1 KV;23/05/2025;23/05/2026;MC10101;;;;CDFL;INVT;0;M;0;M;7,43;BRL;1;15.399.219,24;3.000;0;1
4004433;3;1003949    FLEX INDUSTRIA DE FIOS E CABOS ELET;4600003213;400;MK;K;A15;;21/05/2025;400443;CABO  MULT 2X25+1X25MM² XLPE 0,6/1 KV;23/05/2025;23/05/2026;MC10101;;;;CDFL;INVT;0;M;0;M;7,03;BRL;1;15.399.219,24;6.460;0;1
4004731;1;1003949    FLEX INDUSTRIA DE FIOS E CABOS ELET;4600003213;180;MK;K;A15;;21/05/2025;400473;CABO  MULT 3X50+1X50MM² XLPE 0,6/1 KV;23/05/2025;23/05/2026;MC10101;;;;CDFL;INVT;0;M;0;M;21,05;BRL;1;15.399.219,24;7.031;0;1
4004732;2;1003949    FLEX INDUSTRIA DE FIOS E CABOS ELET;4600003213;250;MK;K;A15;;21/05/2025;400473;CABO  MULT 3X50+1X50MM² XLPE 0,6/1 KV;23/05/2025;23/05/2026;MC10101;;;;CDFL;INVT;0;M;0;M;21,05;BRL;1;15.399.219,24;3.000;0;1
4004733;3;1003949    FLEX INDUSTRIA DE FIOS E CABOS ELET;4600003213;280;MK;K;A15;;21/05/2025;400473;CABO  MULT 3X50+1X50MM² XLPE 0,6/1 KV;23/05/2025;23/05/2026;MC10101;;;;CDFL;INVT;0;M;0;M;21,05;BRL;1;15.399.219,24;4.112;0;1
4004741;1;1003949    FLEX INDUSTRIA DE FIOS E CABOS ELET;4600003213;190;MK;K;A15;;21/05/2025;400474;CABO  MULT 3X70+1X70 MM² XLPE 0,6/1 KV;23/05/2025;23/05/2026;MC10101;;;;CDFL;INVT;0;M;0;M;28,00;BRL;1;15.399.219,24;59.878;16.608;1
4004742;2;1003949    FLEX INDUSTRIA DE FIOS E CABOS ELET;4600003213;360;MK;K;A15;;21/05/2025;400474;CABO  MULT 3X70+1X70 MM² XLPE 0,6/1 KV;23/05/2025;23/05/2026;MC10101;;;;CDFL;INVT;0;M;0;M;28,00;BRL;1;15.399.219,24;16.608;0;1
4004743;3;1003949    FLEX INDUSTRIA DE FIOS E CABOS ELET;4600003213;450;MK;K;A15;;21/05/2025;400474;CABO  MULT 3X70+1X70 MM² XLPE 0,6/1 KV;23/05/2025;23/05/2026;MC10101;;;;CDFL;INVT;0;M;0;M;28,00;BRL;1;15.399.219,24;21.000;0;1
4004811;1;1003949    FLEX INDUSTRIA DE FIOS E CABOS ELET;4600003213;420;MK;K;A15;;21/05/2025;400481;CABO  MULT 3X16+1X16MM² XLPE 0,6/1 KV;23/05/2025;23/05/2026;MC10101;;;;CDFL;INVT;0;M;0;M;6,32;BRL;1;15.399.219,24;5.361;0;1
4004871;1;1003949    FLEX INDUSTRIA DE FIOS E CABOS ELET;4600003213;230;MK;K;A15;;21/05/2025;400487;CABO  MULT 3X120+1X120MM² XLPE 0,6/1 KV;23/05/2025;23/05/2026;MC10101;;;;CDFL;INVT;0;M;0;M;54,80;BRL;1;15.399.219,24;38.486;16.486;1
4004872;2;1003949    FLEX INDUSTRIA DE FIOS E CABOS ELET;4600003213;370;MK;K;A15;;21/05/2025;400487;CABO  MULT 3X120+1X120MM² XLPE 0,6/1 KV;23/05/2025;23/05/2026;MC10101;;;;CDFL;INVT;0;M;0;M;54,80;BRL;1;15.399.219,24;7.000;0;1
4007101;1;1003949    FLEX INDUSTRIA DE FIOS E CABOS ELET;4600003213;200;MK;K;A15;;21/05/2025;400710;CABO  MULT 3X95+1X70MM² XLPE 0,6/1 KV;23/05/2025;23/05/2026;MC10101;;;;CDFL;INVT;0;M;0;M;35,88;BRL;1;15.399.219,24;7.013;3.503;1
4013961;1;1003949    FLEX INDUSTRIA DE FIOS E CABOS ELET;4600003213;30;MK;K;A15;;21/05/2025;401396;CABO  MULT 3X25+1X25 MM² XLPE 0,6/1 KV;23/05/2025;23/05/2026;MC10101;;;;CDFL;INVT;0;M;0;M;10,10;BRL;1;15.399.219,24;3.192;0;1
4013962;2;1003949    FLEX INDUSTRIA DE FIOS E CABOS ELET;4600003213;260;MK;K;A15;;21/05/2025;401396;CABO  MULT 3X25+1X25 MM² XLPE 0,6/1 KV;23/05/2025;23/05/2026;MC10101;;;;CDFL;INVT;0;M;0;M;10,10;BRL;1;15.399.219,24;1.166;0;1
4013963;3;1003949    FLEX INDUSTRIA DE FIOS E CABOS ELET;4600003213;320;MK;K;A15;;21/05/2025;401396;CABO  MULT 3X25+1X25 MM² XLPE 0,6/1 KV;23/05/2025;23/05/2026;MC10101;;;;CDFL;INVT;0;M;0;M;10,10;BRL;1;15.399.219,24;800;0;1
4017861;1;1003949    FLEX INDUSTRIA DE FIOS E CABOS ELET;4600003213;170;MK;K;A15;;21/05/2025;401786;CABO  MULT 3X35+1X35 MM² XLPE 0,6/1 KV;23/05/2025;23/05/2026;MC10101;;;;CDFL;INVT;0;M;0;M;14,57;BRL;1;15.399.219,24;10.606;0;1
4017862;2;1003949    FLEX INDUSTRIA DE FIOS E CABOS ELET;4600003213;240;MK;K;A15;;21/05/2025;401786;CABO  MULT 3X35+1X35 MM² XLPE 0,6/1 KV;23/05/2025;23/05/2026;MC10101;;;;CDFL;INVT;0;M;0;M;14,57;BRL;1;15.399.219,24;6.000;0;1
4017863;3;1003949    FLEX INDUSTRIA DE FIOS E CABOS ELET;4600003213;310;MK;K;A15;;21/05/2025;401786;CABO  MULT 3X35+1X35 MM² XLPE 0,6/1 KV;23/05/2025;23/05/2026;MC10101;;;;CDFL;INVT;0;M;0;M;14,57;BRL;1;15.399.219,24;2.278;0;1
4023031;1;1003949    FLEX INDUSTRIA DE FIOS E CABOS ELET;4600003213;140;MK;K;A15;;21/05/2025;402303;CABO  MULT 2X10+1X10 MM² XLPE 0,6/1 KV;23/05/2025;23/05/2026;MC10101;;;;CDFL;INVT;0;M;0;M;3,48;BRL;1;15.399.219,24;14.385;9.485;1
4023181;1;1003949    FLEX INDUSTRIA DE FIOS E CABOS ELET;4600003213;210;MK;K;A15;;21/05/2025;402318;CABO  MULT 3X120+1X70MM² XLPE 0,6/1 KV;23/05/2025;23/05/2026;MC10101;;;;CDFL;INVT;0;M;0;M;47,31;BRL;1;15.399.219,24;38.077;3.853;1
4023182;2;1003949    FLEX INDUSTRIA DE FIOS E CABOS ELET;4600003213;330;MK;K;A15;;21/05/2025;402318;CABO  MULT 3X120+1X70MM² XLPE 0,6/1 KV;23/05/2025;23/05/2026;MC10101;;;;CDFL;INVT;0;M;0;M;47,31;BRL;1;15.399.219,24;34.000;0;1
4023183;3;1003949    FLEX INDUSTRIA DE FIOS E CABOS ELET;4600003213;440;MK;K;A15;;21/05/2025;402318;CABO  MULT 3X120+1X70MM² XLPE 0,6/1 KV;23/05/2025;23/05/2026;MC10101;;;;CDFL;INVT;0;M;0;M;47,31;BRL;1;15.399.219,24;3.920;0;1
4096961;1;1003949    FLEX INDUSTRIA DE FIOS E CABOS ELET;4600003213;220;MK;K;A15;;21/05/2025;409696;CABO MULT 3X120+1X95MM² XLPE 0,6/1 KV;23/05/2025;23/05/2026;MC10101;;;;CDFL;INVT;0;M;0;M;50,70;BRL;1;15.399.219,24;10.870;0;1
8000411;1;1003949    FLEX INDUSTRIA DE FIOS E CABOS ELET;4600003213;90;MK;K;A15;;21/05/2025;800041;CABO  MULT 3X50+1X50MM² XLPE 0,6/1 KV;23/05/2025;23/05/2026;MC10101;;;;CDFL;CUST;0;M;0;M;21,05;BRL;1;15.399.219,24;3.150;0;1
8000581;1;1003949    FLEX INDUSTRIA DE FIOS E CABOS ELET;4600003213;120;MK;K;A15;;21/05/2025;800058;CABO  MULT 3X120+1X70MM² XLPE 0,6/1 KV;23/05/2025;23/05/2026;MC10101;;;;CDFL;CUST;0;M;0;M;47,31;BRL;1;15.399.219,24;7.151;51;1
8000621;1;1003949    FLEX INDUSTRIA DE FIOS E CABOS ELET;4600003213;60;MK;K;A15;;21/05/2025;800062;CABO  MULT 2X16+1X16MM² XLPE 0,6/1 KV;23/05/2025;23/05/2026;MC10101;;;;CDFL;CUST;0;M;0;M;5,08;BRL;1;15.399.219,24;13.257;9.757;1
8006761;1;1003949    FLEX INDUSTRIA DE FIOS E CABOS ELET;4600003213;110;MK;K;A15;;21/05/2025;800676;CABO  MULT 3X95+1X70MM² XLPE 0,6/1 KV;23/05/2025;23/05/2026;MC10101;;;;CDFL;CUST;0;M;0;M;35,88;BRL;1;15.399.219,24;3.875;2.375;1
8007501;1;1003949    FLEX INDUSTRIA DE FIOS E CABOS ELET;4600003213;80;MK;K;A15;;21/05/2025;800750;CABO  MULT 3X35+1X35 MM² XLPE 0,6/1 KV;23/05/2025;23/05/2026;MC10101;;;;CDFL;CUST;0;M;0;M;14,57;BRL;1;15.399.219,24;1.875;0;1
8007621;1;1003949    FLEX INDUSTRIA DE FIOS E CABOS ELET;4600003213;100;MK;K;A15;;21/05/2025;800762;CABO  MULT 3X70+1X70 MM² XLPE 0,6/1 KV;23/05/2025;23/05/2026;MC10101;;;;CDFL;CUST;0;M;0;M;28,00;BRL;1;15.399.219,24;7.080;0;1
8007751;1;1003949    FLEX INDUSTRIA DE FIOS E CABOS ELET;4600003213;70;MK;K;A15;;21/05/2025;800775;CABO  MULT 2X25+1X25MM² XLPE 0,6/1 KV;23/05/2025;23/05/2026;MC10101;;;;CDFL;CUST;0;M;0;M;7,43;BRL;1;15.399.219,24;2.495;95;1
8007752;2;1003949    FLEX INDUSTRIA DE FIOS E CABOS ELET;4600003213;390;MK;K;A15;;21/05/2025;800775;CABO  MULT 2X25+1X25MM² XLPE 0,6/1 KV;23/05/2025;23/05/2026;MC10101;;;;CDFL;CUST;0;M;0;M;7,03;BRL;1;15.399.219,24;1.246;0;1
8008041;1;1003949    FLEX INDUSTRIA DE FIOS E CABOS ELET;4600003213;40;MK;K;A15;;21/05/2025;800804;CABO  MULT 1X16+1X16MM² XLPE 0,6/1 KV;23/05/2025;23/05/2026;MC10101;;;;CDFL;CUST;0;M;0;M;3,25;BRL;1;15.399.219,24;2.811;11;1
8009751;1;1003949    FLEX INDUSTRIA DE FIOS E CABOS ELET;4600003213;10;MK;K;A15;;21/05/2025;800975;CABO  MULT 3X16+1X16MM² XLPE 0,6/1 KV;23/05/2025;23/05/2026;MC10101;;;;CDFL;CUST;0;M;0;M;6,90;BRL;1;15.399.219,24;1.679;0;1
8009752;2;1003949    FLEX INDUSTRIA DE FIOS E CABOS ELET;4600003213;290;MK;K;A15;;21/05/2025;800975;CABO  MULT 3X16+1X16MM² XLPE 0,6/1 KV;23/05/2025;23/05/2026;MC10101;;;;CDFL;CUST;0;M;0;M;6,90;BRL;1;15.399.219,24;2.000;0;1
8009753;3;1003949    FLEX INDUSTRIA DE FIOS E CABOS ELET;4600003213;410;MK;K;A15;;21/05/2025;800975;CABO  MULT 3X16+1X16MM² XLPE 0,6/1 KV;23/05/2025;23/05/2026;MC10101;;;;CDFL;CUST;0;M;0;M;6,32;BRL;1;15.399.219,24;1.843;0;1
8011851;1;1003949    FLEX INDUSTRIA DE FIOS E CABOS ELET;4600003213;50;MK;K;A15;;21/05/2025;801185;CABO  MULT 2X10+1X10 MM² XLPE 0,6/1 KV;23/05/2025;23/05/2026;MC10101;;;;CDFL;CUST;0;M;0;M;3,48;BRL;1;15.399.219,24;2.300;2.300;1
8011852;2;1003949    FLEX INDUSTRIA DE FIOS E CABOS ELET;4600003213;340;MK;K;A15;;21/05/2025;801185;CABO  MULT 2X10+1X10 MM² XLPE 0,6/1 KV;23/05/2025;23/05/2026;MC10101;;;;CDFL;CUST;0;M;0;M;3,48;BRL;1;15.399.219,24;600;0;1
8011891;1;1003949    FLEX INDUSTRIA DE FIOS E CABOS ELET;4600003213;20;MK;K;A15;;21/05/2025;801189;CABO  MULT 3X25+1X25 MM² XLPE 0,6/1 KV;23/05/2025;23/05/2026;MC10101;;;;CDFL;CUST;0;M;0;M;10,10;BRL;1;15.399.219,24;1.162;12;1
8011892;2;1003949    FLEX INDUSTRIA DE FIOS E CABOS ELET;4600003213;300;MK;K;A15;;21/05/2025;801189;CABO  MULT 3X25+1X25 MM² XLPE 0,6/1 KV;23/05/2025;23/05/2026;MC10101;;;;CDFL;CUST;0;M;0;M;10,10;BRL;1;15.399.219,24;2.500;0;1
8022381;1;1003949    FLEX INDUSTRIA DE FIOS E CABOS ELET;4600003213;130;MK;K;A15;;21/05/2025;802238;CABO  MULT 3X120+1X120MM² XLPE 0,6/1 KV;23/05/2025;23/05/2026;MC10101;;;;CDFL;CUST;0;M;0;M;54,80;BRL;1;15.399.219,24;8.900;2.663;1
4031611;1;1003624    POOL ENGENHARIA, SERVICO, INDUSTRIA;4600003438;30;WK;K;A12;;25/11/2025;403161;PONTALETE FBV 100MM 6M;25/11/2025;25/05/2026;MC02201;;;;CDFL;INVT;0;UN;0;UN;345,00;BRL;1;576.150,00;310;310;1
4031611;1;1007001    TECFIBRAS INDUSTRIA E COMERCIO IMPO;4600003439;20;WK;K;A12;;25/11/2025;403161;PONTALETE FBV 100MM 6M;25/11/2025;25/05/2026;MC02201;;;;CDFL;INVT;0;UN;0;UN;296,77;BRL;1;474.832,00;1.600;340;1
8034701;1;1003624    POOL ENGENHARIA, SERVICO, INDUSTRIA;4600003438;20;WK;K;A12;;25/11/2025;803470;PONTALETE FBV 100MM 6M;25/11/2025;25/05/2026;MC02001;;;;CDFL;CUST;0;UN;0;UN;345,00;BRL;1;576.150,00;1.360;0;1
4026171;1;1003334    I.T.B. - EQUIPAMENTOS ELETRICOS LTD;4600003201;10;WK;K;A01;;16/05/2025;402617;REGULADOR TENSAO 1F 167 KVA 7,96KV 219A;26/05/2025;26/05/2026;MC21501;;;;CDFL;INVT;0;UN;0;UN;90.625,00;BRL;1;5.890.200,00;6;0;1
4096201;1;1003334    I.T.B. - EQUIPAMENTOS ELETRICOS LTD;4600003201;30;WK;K;A01;;16/05/2025;409620;REGULADOR TENSAO 1F 333KVA 7,96KV 438A;26/05/2025;26/05/2026;MC01901;;;;CDFL;INVT;0;UN;0;UN;125.330,00;BRL;1;5.890.200,00;12;0;1
4001371;1;1007593    MACLEAN POWER SYSTEMS DO BRASIL LTD;4600003028;360;WK;K;A03;;20/02/2025;400137;LACO PREF CA 2AWG PESC 57MM PURPURA;21/02/2025;30/05/2026;MC11001;;;;CDFL;INVT;0;UN;0;UN;2,75;BRL;1;690.985,26;156;0;1
4003071;1;1007593    MACLEAN POWER SYSTEMS DO BRASIL LTD;4600003028;340;WK;K;A03;;20/02/2025;400307;FIXADOR PREFORMADO 6,4MM 1/4P AM 1219MM;21/02/2025;30/05/2026;MC11001;;;;CDFL;INVT;0;UN;0;UN;4,50;BRL;1;690.985,26;2.107;2.007;1
4003591;1;1007593    MACLEAN POWER SYSTEMS DO BRASIL LTD;4600003028;120;WK;K;A03;;20/02/2025;400359;ALCA PREFORM ESTAI 3/8P 9,5MM 889MM;21/02/2025;30/05/2026;MC11001;;;;CDFL;INVT;0;UN;0;UN;9,80;BRL;1;690.985,26;283;0;1
4003661;1;1007593    MACLEAN POWER SYSTEMS DO BRASIL LTD;4600003028;60;WK;K;A03;;20/02/2025;400366;ALCA PREFORM DIST 4/0 AWG 120MM2;21/02/2025;30/05/2026;MC11001;;;;CDFL;INVT;0;UN;0;UN;11,30;BRL;1;690.985,26;5.932;3.946;1
4003751;1;1007593    MACLEAN POWER SYSTEMS DO BRASIL LTD;4600003028;100;WK;K;A03;;20/02/2025;400375;ALCA PREFORM DIST CAA/CA 2/0AWG 70MM2;21/02/2025;30/05/2026;MC11001;;;;CDFL;INVT;0;UN;0;UN;5,58;BRL;1;690.985,26;7.669;3.594;1
4005881;1;1007593    MACLEAN POWER SYSTEMS DO BRASIL LTD;4600003028;210;WK;K;A03;;20/02/2025;400588;EMENDA PREF COND AL 4/0AWG AM 1295MM;21/02/2025;30/05/2026;MC11001;;;;CDFL;INVT;0;UN;0;UN;37,70;BRL;1;690.985,26;2.918;2.004;1
4008511;1;1007593    MACLEAN POWER SYSTEMS DO BRASIL LTD;4600003028;260;WK;K;A03;;20/02/2025;400851;EMENDA PREF COND AL 2/0 AWG 1016MM;21/02/2025;30/05/2026;MC10401;;;;CDFL;INVT;0;UN;0;UN;19,70;BRL;1;690.985,26;1.864;0;1
4008551;1;1007593    MACLEAN POWER SYSTEMS DO BRASIL LTD;4600003028;330;WK;K;A03;;20/02/2025;400855;EMENDA PREF COND AL 1/0 AWG 965MM;21/02/2025;30/05/2026;MC10401;;;;CDFL;INVT;0;UN;0;UN;16,80;BRL;1;690.985,26;2.112;1.407;1
4009371;1;1009535    NANSEN INSTRUMENTOS DE PRECISAO LTD;4600003232;30;WK;K;A16;;27/05/2025;400937;MEDIDOR ELETR 2F 120V 15/120A 2EL BIDIRE;30/05/2025;30/05/2026;MC12501;;;;CDFL;INVT;0;UN;0;UN;100,00;BRL;1;3.230.050,00;12.815;0;1
