Tipo de depósito;Posição no depósito;Qtd.disponível UMB;UM básica;Produto;Descrição breve do produto;Tipo de estoque;Denominação do tipo de estoque;Preço do material;Valor total;Nome do usuário;Dt.contg.inven.fís.;Qtd.na UM administrada em estoque;UM admin.estoque
BLIN;2G-04-20A BLIN;1.210;UN;402105;CONECTOR AUTO PERF DU 70-240 / 70-240MM2;L2;Utilização livre depósito INVT;46,45;56.204,50;;;0,00000000000000;
BLIN;2G-04-20C BLIN;0;UN;402307;CONECTOR PERF 4 SAÍDAS 25-240MM2/1,5-35M;L2;Utilização livre depósito INVT;71,72;0,00;;;0,00000000000000;
BLIN;2G-05-03A BLIN;1.092;UN;402312;OLHAL PARAFUSO AC 16MM 5000DAN;L2;Utilização livre depósito INVT;11,29;12.328,68;;;0,00000000000000;
BLIN;2G-05-04A BLIN;83;UN;401079;LACO PLAST TOP ISOL 57MM CAB 120 MM 15KV;L2;Utilização livre depósito INVT;19,74;1.638,42;;;0,00000000000000;
BLIN;2G-05-07A BLIN;499;UN;401574;BRACO ANTIBALANCO PA PT 15KV 320MM;L2;Utilização livre depósito INVT;16,06;8.013,94;;;0,00000000000000;
BLIN;2G-05-07B BLIN;5.092;UN;403572;PRENSA CABO NYLON CURTO 1/2P;L2;Utilização livre depósito INVT;3,75;19.095,00;;;0,00000000000000;
BLIN;2G-05-09A BLIN;914;UN;402401;PINO ISOLADOR POLIMERICO AC 15KV 200MM;L2;Utilização livre depósito INVT;26,12;23.873,68;;;0,00000000000000;
BLIN;2G-05-11A BLIN;667;UN;403594;ALCA PREFORM CABO CONC  2X16 + 16;L2;Utilização livre depósito INVT;10,04;6.696,68;;;0,00000000000000;
BLIN;2G-05-12A BLIN;581;UN;401131;PARAFUSO CAB QD AC 16MM 225MM 300MM;L2;Utilização livre depósito INVT;12,86;7.471,66;;;0,00000000000000;
BLIN;2G-05-12A BLIN;396;UN;401927;MANILHA SAPATILHA 5000DAN;L2;Utilização livre depósito INVT;20,79;8.232,84;;;0,00000000000000;
BLIN;2G-05-12C BLIN;1.139;UN;401608;PARA-RAIO DISTRIB POL 280V 10KA ISOL;L2;Utilização livre depósito INVT;50,42;57.428,38;;;0,00000000000000;
BLIN;2G-05-13A BLIN;1.129;UN;401239;PARAFUSO CAB QD AC 16MM 450MM;L2;Utilização livre depósito INVT;23,85;26.926,65;;;0,00000000000000;
BLIN;2G-05-15A BLIN;200;UN;400359;ALCA PREFORM ESTAI 3/8P 9,5MM 889MM;L2;Utilização livre depósito INVT;24,62;4.924,00;;;0,00000000000000;
BLIN;2G-05-16B BLIN;29;UN;402331;BRACO C/GRAMPO SUSPE SECU 500DAN;L2;Utilização livre depósito INVT;47,63;1.381,27;;;0,00000000000000;
BLIN;2G-05-16B BLIN;820;UN;403804;ALCA PREFORM 6,4MM 1/4P AM 635MM;L2;Utilização livre depósito INVT;8,12;6.658,40;;;0,00000000000000;
BLIN;2G-05-18C BLIN;103.425;UN;405487;TERMINAL TUBULAR CU ESTANHADO 25MM2 AZ;L2;Utilização livre depósito INVT;0,74;76.534,50;;;0,00000000000000;
BLIN;2G-05-21A BLIN;443;UN;400974;PORCA QUADRADA AC 16MM 2MM;L2;Utilização livre depósito INVT;1,39;615,77;;;0,00000000000000;
BLIN;2G-05-21A BLIN;600;UN;402296;GANCHO OLHAL AC 17MM 5000KGF;L2;Utilização livre depósito INVT;12,53;7.518,00;;;0,00000000000000;
BLIN;2G-05-22A BLIN;40;UN;401857;CHAVE FUSIVEL DIST 15KV 100A/10KA PORC;L2;Utilização livre depósito INVT;328,30;13.132,00;;;0,00000000000000;
BLIN;2G-05-22A BLIN;50;UN;408994;ISOLADOR PINO, POLIMERICO COM TRAVAS;L2;Utilização livre depósito INVT;25,50;1.275,00;;;0,00000000000000;
BLIN;2G-05-23B BLIN;132;UN;401857;CHAVE FUSIVEL DIST 15KV 100A/10KA PORC;L2;Utilização livre depósito INVT;328,30;43.335,60;;;0,00000000000000;
BLIN;2G-05-23D BLIN;132;UN;401857;CHAVE FUSIVEL DIST 15KV 100A/10KA PORC;L2;Utilização livre depósito INVT;328,30;43.335,60;;;0,00000000000000;
BLIN;2G-06-01A BLIN;13.233;UN;403602;ABRACADEIRA PLAS UV 525X8,90MM TRI;L2;Utilização livre depósito INVT;1,25;16.541,25;;;0,00000000000000;
BLIN;2G-06-01B BLIN;875;UN;400506;CONECTOR DER CU 13-34MM2;L2;Utilização livre depósito INVT;9,86;8.627,50;;;0,00000000000000;
BLIN;2G-06-01B BLIN;66;UN;401465;CONECTOR PERF AL 16-120MM2 / 16-120MM2;L2;Utilização livre depósito INVT;12,22;806,52;;;0,00000000000000;
BLIN;2G-06-01B BLIN;30.067;UN;410041;PARAFUSO AUTO BROC CHAT phillips 4.2x25m;L2;Utilização livre depósito INVT;0,43;12.928,81;;;0,00000000000000;
BLIN;2G-06-02B BLIN;10.201;UN;403499;ABRACADEIRA PLAS 300 X 4,80MM;L2;Utilização livre depósito INVT;0,18;1.836,18;;;0,00000000000000;
BLIN;2G-06-02B BLIN;50.000;UN;410041;PARAFUSO AUTO BROC CHAT phillips 4.2x25m;L2;Utilização livre depósito INVT;0,43;21.500,00;;;0,00000000000000;
BLIN;2G-06-02B BLIN;134;UN;410213;TINTA SPRAY;L2;Utilização livre depósito INVT;18,00;2.412,00;;;0,00000000000000;
BLIN;2G-06-02C BLIN;1.757;UN;402307;CONECTOR PERF 4 SAÍDAS 25-240MM2/1,5-35M;L2;Utilização livre depósito INVT;71,72;126.012,04;;;0,00000000000000;
BLIN;2G-06-02D BLIN;132;UN;401857;CHAVE FUSIVEL DIST 15KV 100A/10KA PORC;L2;Utilização livre depósito INVT;328,30;43.335,60;;;0,00000000000000;
BLIN;2G-06-02E BLIN;6.327;UN;403838;ALCA PREFORM CABO CONC  1X16 + 16;L2;Utilização livre depósito INVT;3,07;19.423,89;;;0,00000000000000;
BLIN;2G-06-03C BLIN;1.750;UN;402307;CONECTOR PERF 4 SAÍDAS 25-240MM2/1,5-35M;L2;Utilização livre depósito INVT;71,72;125.510,00;;;0,00000000000000;
BLIN;2G-06-03D BLIN;132;UN;401857;CHAVE FUSIVEL DIST 15KV 100A/10KA PORC;L2;Utilização livre depósito INVT;328,30;43.335,60;;;0,00000000000000;
BLIN;2G-06-03E BLIN;1.750;UN;402307;CONECTOR PERF 4 SAÍDAS 25-240MM2/1,5-35M;L2;Utilização livre depósito INVT;71,72;125.510,00;;;0,00000000000000;
BLIN;2G-06-04A BLIN;163;UN;400906;HASTE ATERRAMENTO CI AC 14,3X2438MM;L2;Utilização livre depósito INVT;99,53;16.223,39;;;0,00000000000000;
BLIN;2G-06-04C BLIN;66;UN;401857;CHAVE FUSIVEL DIST 15KV 100A/10KA PORC;L2;Utilização livre depósito INVT;328,30;21.667,80;;;0,00000000000000;
BLIN;2G-06-04D BLIN;63;UN;401857;CHAVE FUSIVEL DIST 15KV 100A/10KA PORC;L2;Utilização livre depósito INVT;328,30;20.682,90;;;0,00000000000000;
BLIN;2G-06-04D BLIN;225;UN;402433;PARA-RAIO DISTRIB POL 12KV 10KA S/CENT;L2;Utilização livre depósito INVT;153,53;34.544,25;;;0,00000000000000;
BLIN;2G-06-04E BLIN;1.750;UN;402307;CONECTOR PERF 4 SAÍDAS 25-240MM2/1,5-35M;L2;Utilização livre depósito INVT;71,72;125.510,00;;;0,00000000000000;
BLIN;2G-06-05A BLIN;591;UN;400142;GRAMPO LV OLHAL 18MM 10-120/10-70MM2;L2;Utilização livre depósito INVT;70,83;41.860,53;;;0,00000000000000;
BLIN;2G-06-05A BLIN;84;UN;400665;GRAMPO ANCOR CUNHA AL 50MM2 400DAN;L2;Utilização livre depósito INVT;23,68;1.989,12;;;0,00000000000000;
BLIN;2G-06-05A BLIN;262;UN;401117;MAO-FRANCESA NORMAL AC 710X32X6,5MM;L2;Utilização livre depósito INVT;12,29;3.219,98;;;0,00000000000000;
BLIN;2G-06-05A BLIN;73;UN;401608;PARA-RAIO DISTRIB POL 280V 10KA ISOL;L2;Utilização livre depósito INVT;50,42;3.680,66;;;0,00000000000000;
BLIN;2G-06-05A BLIN;210;UN;402296;GANCHO OLHAL AC 17MM 5000KGF;L2;Utilização livre depósito INVT;12,53;2.631,30;;;0,00000000000000;
BLIN;2G-06-05A BLIN;6;UN;410200; CONECTOR COMP TIPO H 95-95;L2;Utilização livre depósito INVT;12,10;72,60;;;0,00000000000000;
BLIN;2G-06-05B BLIN;394;UN;400805;ELO FUSIVEL BOTAO DISTRIB H 5A 500MM;L2;Utilização livre depósito INVT;5,50;2.167,00;;;0,00000000000000;
BLIN;2G-06-05B BLIN;47;UN;402373;ESTRIBO BRACO L-EST-01 FOFO 200DAN;L2;Utilização livre depósito INVT;12,46;585,62;;;0,00000000000000;
BLIN;2G-06-05B BLIN;155;UN;402587;FITA ISOL EPR 0,76X19MM 10M PT;L2;Utilização livre depósito INVT;29,70;4.603,50;;;0,00000000000000;
BLIN;2G-06-05B BLIN;53;UN;404071;CONECTOR PERF 50-185MM2 15KV COM ESTRIBO;L2;Utilização livre depósito INVT;164,62;8.724,86;;;0,00000000000000;
BLIN;2G-06-05B BLIN;700;UN;405537;CONEC PERF PRIN 16-120 DER 4-36 2AMP LIM;L2;Utilização livre depósito INVT;48,73;34.111,00;;;0,00000000000000;
BLIN;2G-06-05B BLIN;23.126;UN;410177;ABRACADEIRA AÇO INOX 304 – 362X7,90MM;L2;Utilização livre depósito INVT;2,13;49.258,38;;;0,00000000000000;
BLIN;2G-06-05C BLIN;12.434;UN;405491;TERMINAL TUBULAR CU ESTANHADO 35MM2;L2;Utilização livre depósito INVT;0,98;12.185,32;;;0,00000000000000;
BLIN;2G-06-05D BLIN;471;UN;402433;PARA-RAIO DISTRIB POL 12KV 10KA S/CENT;L2;Utilização livre depósito INVT;153,53;72.312,63;;;0,00000000000000;
BLIN;2G-06-05E BLIN;1.735;UN;402307;CONECTOR PERF 4 SAÍDAS 25-240MM2/1,5-35M;L2;Utilização livre depósito INVT;71,72;124.434,20;;;0,00000000000000;
BLIN;2G-06-06A BLIN;262;UN;400974;PORCA QUADRADA AC 16MM 2MM;L2;Utilização livre depósito INVT;1,39;364,18;;;0,00000000000000;
BLIN;2G-06-06A BLIN;186;UN;401239;PARAFUSO CAB QD AC 16MM 450MM;L2;Utilização livre depósito INVT;23,85;4.436,10;;;0,00000000000000;
BLIN;2G-06-06A BLIN;394;UN;401927;MANILHA SAPATILHA 5000DAN;L2;Utilização livre depósito INVT;20,79;8.191,26;;;0,00000000000000;
BLIN;2G-06-06A BLIN;1.073;UN;401937;SAPATILHA CABO DE ACO 3/8P;L2;Utilização livre depósito INVT;4,09;4.388,57;;;0,00000000000000;
BLIN;2G-06-06A BLIN;291;UN;402401;PINO ISOLADOR POLIMERICO AC 15KV 200MM;L2;Utilização livre depósito INVT;26,12;7.600,92;;;0,00000000000000;
BLIN;2G-06-06B BLIN;2.144;UN;401566;CONECTOR PARAL AL 4/0AWG 1/0AWG;L2;Utilização livre depósito INVT;22,93;49.161,92;;;0,00000000000000;
BLIN;2G-06-06B BLIN;2.397;UN;401568;CONECTOR COMP DER 4/0AWG 3/0-4/0AWG;L2;Utilização livre depósito INVT;1,24;2.972,28;;;0,00000000000000;
BLIN;2G-06-06B BLIN;46;UN;404719;FIXADOR PERFIL U AC 150DAN 300DAN;L2;Utilização livre depósito INVT;21,54;990,84;;;0,00000000000000;
BLIN;2G-06-06C BLIN;277;UN;402331;BRACO C/GRAMPO SUSPE SECU 500DAN;L2;Utilização livre depósito INVT;47,63;13.193,51;;;0,00000000000000;
BLIN;2G-06-06C BLIN;760;UN;404732;CONECTOR PERFUR 50-185MM MED TENSAO 15KV;L2;Utilização livre depósito INVT;89,81;68.255,60;;;0,00000000000000;
BLIN;2G-06-06D BLIN;500;UN;401116;ISOLADOR ANCOR POLIM 15KV 5000DAN;L2;Utilização livre depósito INVT;36,55;18.275,00;;;0,00000000000000;
BLIN;2G-06-06D BLIN;77.827;UN;403682;BUCHA LOK 01;L2;Utilização livre depósito INVT;0,85;66.152,95;;;0,00000000000000;
BLIN;2G-06-06E BLIN;2.700;UN;403594;ALCA PREFORM CABO CONC  2X16 + 16;L2;Utilização livre depósito INVT;10,04;27.108,00;;;0,00000000000000;
BLIN;2G-06-06E BLIN;420;UN;408994;ISOLADOR PINO, POLIMERICO COM TRAVAS;L2;Utilização livre depósito INVT;25,50;10.710,00;;;0,00000000000000;
BLIN;2G-06-07A BLIN;25;UN;401574;BRACO ANTIBALANCO PA PT 15KV 320MM;L2;Utilização livre depósito INVT;16,06;401,50;;;0,00000000000000;
BLIN;2G-06-07A BLIN;7.837;UN;402127;PARAFUSO CAB ABA AC 16MM 45MM;L2;Utilização livre depósito INVT;4,40;34.482,80;;;0,00000000000000;
BLIN;2G-06-07A BLIN;49;UN;404084;ESPACADOR LOSANG CLASSE 15KV C/ GARRAS;L2;Utilização livre depósito INVT;22,91;1.122,59;;;0,00000000000000;
BLIN;2G-06-07B BLIN;1.404;UN;400790;CONECTOR ATERR REFORÇ HAST/CAB 5/8-35MM2;L2;Utilização livre depósito INVT;20,40;28.641,60;;;0,00000000000000;
BLIN;2G-06-07B BLIN;294;UN;401500;CONECTOR DER CUNHA AL 2/0AWG 4/0AWG;L2;Utilização livre depósito INVT;11,35;3.336,90;;;0,00000000000000;
BLIN;2G-06-07B BLIN;110;UN;401753;ALCA PREFORM DIST CAA/CA 1/0AWG 50MM2;L2;Utilização livre depósito INVT;9,16;1.007,60;;;0,00000000000000;
BLIN;2G-06-07B BLIN;194;UN;401834;CONECTOR PARAL AL 10AWG-1/0AWG;L2;Utilização livre depósito INVT;11,50;2.231,00;;;0,00000000000000;
BLIN;2G-06-07B BLIN;264;UN;401870;CARTUCHO MET P/CUNHA AZ FEST CALIB 22;L2;Utilização livre depósito INVT;1,02;269,28;;;0,00000000000000;
BLIN;2G-06-07B BLIN;284;UN;403121;FITA ISOLANTE ELET PVC 19X0,19MM 20M PT;L2;Utilização livre depósito INVT;8,00;2.272,00;;;0,00000000000000;
BLIN;2G-06-07B BLIN;839;UN;403804;ALCA PREFORM 6,4MM 1/4P AM 635MM;L2;Utilização livre depósito INVT;8,12;6.812,68;;;0,00000000000000;
BLIN;2G-06-07C BLIN;409;UN;403647;ALCA PREFORM CABO CONC 3X95 +70;L2;Utilização livre depósito INVT;20,49;8.380,41;;;0,00000000000000;
BLIN;2G-06-07C BLIN;311;UN;408994;ISOLADOR PINO, POLIMERICO COM TRAVAS;L2;Utilização livre depósito INVT;25,50;7.930,50;;;0,00000000000000;
BLIN;2G-06-07D BLIN;875;UN;402307;CONECTOR PERF 4 SAÍDAS 25-240MM2/1,5-35M;L2;Utilização livre depósito INVT;71,72;62.755,00;;;0,00000000000000;
BLIN;2G-06-07D BLIN;657;UN;403675;ALCA PREFORM CABO CONC  3X25 + 25;L2;Utilização livre depósito INVT;11,85;7.785,45;;;0,00000000000000;
BLIN;2G-06-07E BLIN;5.400;UN;403594;ALCA PREFORM CABO CONC  2X16 + 16;L2;Utilização livre depósito INVT;10,04;54.216,00;;;0,00000000000000;
BLIN;2G-06-08A BLIN;41;UN;401375;AFASTADOR REDE SEC AC 700MM 500MM;L2;Utilização livre depósito INVT;185,95;7.623,95;;;0,00000000000000;
BLIN;2G-06-08C BLIN;3.599;UN;403390;PRENSA CABO PVC 1P;L2;Utilização livre depósito INVT;8,66;31.167,34;;;0,00000000000000;
BLIN;2G-06-08C BLIN;1.000;UN;404732;CONECTOR PERFUR 50-185MM MED TENSAO 15KV;L2;Utilização livre depósito INVT;89,81;89.810,00;;;0,00000000000000;
BLIN;2G-06-08D BLIN;1.750;UN;402307;CONECTOR PERF 4 SAÍDAS 25-240MM2/1,5-35M;L2;Utilização livre depósito INVT;71,72;125.510,00;;;0,00000000000000;
BLIN;2G-06-08E BLIN;952;M;407094;SEALTUBO 1.1/2 FLEX ESP. AÇO CAPA PVC;L2;Utilização livre depósito INVT;70,33;66.954,16;;;0,00000000000000;
BLIN;2G-06-09A BLIN;112;UN;400011;SUPORTE TRANSF POSTE DUP T AC 210X115MM;L2;Utilização livre depósito INVT;104,75;11.732,00;;;0,00000000000000;
BLIN;2G-06-09C BLIN;385;UN;401116;ISOLADOR ANCOR POLIM 15KV 5000DAN;L2;Utilização livre depósito INVT;36,55;14.071,75;;;0,00000000000000;
BLIN;2G-06-09C BLIN;2.700;UN;403390;PRENSA CABO PVC 1P;L2;Utilização livre depósito INVT;8,66;23.382,00;;;0,00000000000000;
BLIN;2G-06-09D BLIN;1.750;UN;402307;CONECTOR PERF 4 SAÍDAS 25-240MM2/1,5-35M;L2;Utilização livre depósito INVT;71,72;125.510,00;;;0,00000000000000;
BLIN;2G-06-09E BLIN;960;M;407094;SEALTUBO 1.1/2 FLEX ESP. AÇO CAPA PVC;L2;Utilização livre depósito INVT;70,33;67.516,80;;;0,00000000000000;
BLIN;2G-06-10A BLIN;840;UN;401711;ISOLADOR PINO PORC 15KV 102MM 1350KGF;L2;Utilização livre depósito INVT;23,97;20.134,80;;;0,00000000000000;
BLIN;2G-06-10B BLIN;1.711;UN;403390;PRENSA CABO PVC 1P;L2;Utilização livre depósito INVT;8,66;14.817,26;;;0,00000000000000;
BLIN;2G-06-10B BLIN;38;UN;404071;CONECTOR PERF 50-185MM2 15KV COM ESTRIBO;L2;Utilização livre depósito INVT;164,62;6.255,56;;;0,00000000000000;
BLIN;2G-06-10C BLIN;66;UN;401857;CHAVE FUSIVEL DIST 15KV 100A/10KA PORC;L2;Utilização livre depósito INVT;328,30;21.667,80;;;0,00000000000000;
BLIN;2G-06-10C BLIN;2.762;UN;410200; CONECTOR COMP TIPO H 95-95;L2;Utilização livre depósito INVT;12,10;33.420,20;;;0,00000000000000;
BLIN;2G-06-10D BLIN;1.825;UN;402307;CONECTOR PERF 4 SAÍDAS 25-240MM2/1,5-35M;L2;Utilização livre depósito INVT;71,72;130.889,00;;;0,00000000000000;
BLIN;2G-06-10E BLIN;960;M;407094;SEALTUBO 1.1/2 FLEX ESP. AÇO CAPA PVC;L2;Utilização livre depósito INVT;70,33;67.516,80;;;0,00000000000000;
BLIN;2G-06-11A BLIN;960;UN;401711;ISOLADOR PINO PORC 15KV 102MM 1350KGF;L2;Utilização livre depósito INVT;23,97;23.011,20;;;0,00000000000000;
BLIN;2G-06-11B BLIN;1.086;UN;401116;ISOLADOR ANCOR POLIM 15KV 5000DAN;L2;Utilização livre depósito INVT;36,55;39.693,30;;;0,00000000000000;
BLIN;2G-06-11C BLIN;123;UN;401857;CHAVE FUSIVEL DIST 15KV 100A/10KA PORC;L2;Utilização livre depósito INVT;328,30;40.380,90;;;0,00000000000000;
BLIN;2G-06-11D BLIN;1.725;UN;402307;CONECTOR PERF 4 SAÍDAS 25-240MM2/1,5-35M;L2;Utilização livre depósito INVT;71,72;123.717,00;;;0,00000000000000;
BLIN;2G-06-11E BLIN;960;M;407094;SEALTUBO 1.1/2 FLEX ESP. AÇO CAPA PVC;L2;Utilização livre depósito INVT;70,33;67.516,80;;;0,00000000000000;
BLIN;2G-06-12A BLIN;411;UN;401711;ISOLADOR PINO PORC 15KV 102MM 1350KGF;L2;Utilização livre depósito INVT;23,97;9.851,67;;;0,00000000000000;
BLIN;2G-06-12A BLIN;114;UN;404084;ESPACADOR LOSANG CLASSE 15KV C/ GARRAS;L2;Utilização livre depósito INVT;22,91;2.611,74;;;0,00000000000000;
BLIN;2G-06-12C BLIN;875;UN;402307;CONECTOR PERF 4 SAÍDAS 25-240MM2/1,5-35M;L2;Utilização livre depósito INVT;71,72;62.755,00;;;0,00000000000000;
BLIN;2G-06-12C BLIN;303;UN;402331;BRACO C/GRAMPO SUSPE SECU 500DAN;L2;Utilização livre depósito INVT;47,63;14.431,89;;;0,00000000000000;
