Divisão da remessa;Tipo doc.compras;Ctg.doc.compras;Grupo de compradores;Histórico pedido/docum.SolRem.;Data do documento;Material;Texto breve;Grupo de mercadorias;Código de eliminação;Categoria do item;Ctg.class.cont.;Centro;Depósito;Qtd.pedido;UM pedido;Preço líquido;Moeda;Unidade preço;Qtd.divisão;Data de remessa;Hora;Dat.rem.estatística;Quantidade anterior;Qtd.entrada;Quantidade saída;Qtd.fornecida;Requisição de compra;Item ReqC;Código de criação;Núm.itens;Contrato básico;a ser fornecido (valor;a ser fornecida (quantidade);Ãinda a faturar (quantidade);Ainda a faturar (valor);Categoria do item;Código de controle;Código de imposto;Código de liberação;Ctg.externa hierarquia;Den.característica 1;Denominação da característica 1;Denominação da característica 2;Denominação da característica 2;Denominação da característica 3;Denominação da característica 3;Dep.saída (do estq.);Documento de compras;Domicílio fiscal;Estado de liberação;Estrat.de liberação;Fim da validade;Fornecedor/centro fornecedor;Grupo de liberação;Grupo PSST;Histórico do consumo de componentes;Incompleto;Início per.validade;It.contrato superior;Item;Nº acompanhamento;Número da hierarquia;Número de documento configurável;Nº externo ordenação;Nº pacote;Nome de fornecedor;Organização compras;PriorNeces.;Prz.apresent.cotação;Qtd.na UnidGestEstoq;Qtd.notificada;Qtd.prev.pendente;Qtd.solicit.anterior;Quantidade prevista;Reg. info compras;Regra de agrupamento PSST;RFQ coletiva;Segmento de estoque;Segmento necessidade;Origem;Unid.prç.pedido;Unidade manutenção estoque;Urgência necessidade;ValFix.(cabeç.);Valor global pendente;Valor líquido pedido;Valor pendente;Valor solicitado
1;NB;F;GAE;;20/02/2026;800108;PARAFUSO CAB ABA AC 16MM 45MM;MC01301;;;;CDFL;CUST;371;UN;2,42;BRL;1;371;46153;0;46153;0;0;0;0;10128113;20;R;1;;897,08;371;371;897,08;0;;C1;G;;;;;;;;;4500147275;ZF 1302603;X;19;;1003152    ROMAGNOLE PRODUTOS ELETRICOS S.A.;2;;;;;0;20;;;;0;0;1003152    ROMAGNOLE PRODUTOS ELETR;OA01;0;;371;0;0;0;0;5300031763;;;;;;UN;UN;0;0;0;897,08;0;0
1;ZCDR;F;GAE;;23/02/2026;407223;MANTA ALUMINIZADA 10CM x 10M;MC00901;;;;CDFL;INVT;458;UN;19,69;BRL;1;458;46073;0;46073;0;458;0;0;10130011;10;R;1;;0;0;0;0;0;;CA;G;;;;;;;;;4500147431;ZF 1302603;X;15;;1003224    BENY MATERIAIS DE CONSTRUCAO LTDA;2;;;;;0;10;;;;0;0;1003224    BENY MATERIAIS DE CONSTR;OA01;0;;458;458;0;0;0;5300031765;;;;;;PEÇ;UN;0;0;0;9017,1;0;0
1;ZCDR;F;GAE;;11/03/2026;410212;FITA AUTOADESIVA BLINDAGEM 10cmX10m;MC03701;;;;CDFL;INVT;150;UN;19,68;BRL;1;150;46092;0;46092;0;150;0;0;10131217;10;R;1;;0;0;0;0;0;;CA;G;;;;;;;;;4500148647;ZF 1302603;X;15;;1003224    BENY MATERIAIS DE CONSTRUCAO LTDA;2;;;;;0;10;;;;0;0;1003224    BENY MATERIAIS DE CONSTR;OA01;0;;150;150;0;0;0;5300031967;;;;;;UN;UN;0;0;0;2952;0;0
1;NB;F;GAE;;03/02/2026;400072;TRAFO AER 1F 7,96KV 5KVA 240/120V 7TP;MC22103;;;;CDFL;INVT;338;UN;4229,89;BRL;1;338;46153;0;46153;0;0;0;0;10128154;10;R;1;4600001961;1429703,21;338;338;1429703,21;0;;CA;G;;;;;;;;;4500144983;ZF 1302603;X;19;;1003291    INDUSTRIA DE TRANSFORMADORES AMAZON;2;;;;;680;10;;;;0;0;1003291    INDUSTRIA DE TRANSFORMAD;OA01;0;;338;0;0;0;0;5300002775;;;;;;UN;UN;0;0;0;1429703,21;0;0
1;NB;F;GAE;;03/02/2026;402447;TRAFO AER 1F 7,96KV 10KVA 240/120V 7TP;MC22103;;;;CDFL;INVT;15;UN;5064,79;BRL;1;15;46081;0;46081;0;15;0;0;10128154;20;R;1;4600001961;0;0;0;0;0;;CA;G;;;;;;;;;4500144983;ZF 1302603;X;19;;1003291    INDUSTRIA DE TRANSFORMADORES AMAZON;2;;;;;690;20;;;;0;0;1003291    INDUSTRIA DE TRANSFORMAD;OA01;0;;15;15;0;0;0;5300004584;;;;;;UN;UN;0;0;0;75971,79;0;0
1;NB;F;GAE;;03/02/2026;401193;TRAFO AER 1F 7,96KV 15KVA 240/120V 7TP;MC22103;;;;CDFL;INVT;14;UN;6713,25;BRL;1;14;46153;0;46153;0;0;0;0;10128154;30;R;1;4600001961;93985,56;14;14;93985,56;0;;CA;G;;;;;;;;;4500144983;ZF 1302603;X;19;;1003291    INDUSTRIA DE TRANSFORMADORES AMAZON;2;;;;;700;30;;;;0;0;1003291    INDUSTRIA DE TRANSFORMAD;OA01;0;;14;0;0;0;0;5300005080;;;;;;UN;UN;0;0;0;93985,56;0;0
1;NB;F;GAE;;03/02/2026;402132;TRAFO AER 1F 15KV 25KVA 240/120V 7TP;MC22103;;;;CDFL;INVT;20;UN;9443,94;BRL;1;20;46153;0;46153;0;0;0;0;10128154;40;R;1;4600001961;188878,72;20;20;188878,72;0;;CA;G;;;;;;;;;4500144983;ZF 1302603;X;19;;1003291    INDUSTRIA DE TRANSFORMADORES AMAZON;2;;;;;710;40;;;;0;0;1003291    INDUSTRIA DE TRANSFORMAD;OA01;0;;20;0;0;0;0;5300004583;;;;;;UN;UN;0;0;0;188878,72;0;0
1;NB;F;GAE;;03/02/2026;401324;TRAFO AER 3F 15KV 30KVA 220/127V 7TP;MC22103;;;;CDFL;INVT;10;UN;11509,42;BRL;1;10;46153;0;46153;0;0;0;0;10128154;50;R;1;4600001961;115094,2;10;10;115094,2;0;;CA;G;;;;;;;;;4500144983;ZF 1302603;X;19;;1003291    INDUSTRIA DE TRANSFORMADORES AMAZON;2;;;;;720;50;;;;0;0;1003291    INDUSTRIA DE TRANSFORMAD;OA01;0;;10;0;0;0;0;5300004585;;;;;;UN;UN;0;0;0;115094,2;0;0
1;NB;F;GAE;;03/02/2026;400073;TRAFO AER 3F 15KV 45KVA 220/127V 7TP;MC22103;;;;CDFL;INVT;42;UN;14117,36;BRL;1;42;46153;0;46153;0;0;0;0;10128154;60;R;1;4600001961;592929,24;42;42;592929,24;0;;CA;G;;;;;;;;;4500144983;ZF 1302603;X;19;;1003291    INDUSTRIA DE TRANSFORMADORES AMAZON;2;;;;;730;60;;;;0;0;1003291    INDUSTRIA DE TRANSFORMAD;OA01;0;;42;0;0;0;0;5300000472;;;;;;UN;UN;0;0;0;592929,24;0;0
1;NB;F;GAE;;03/02/2026;400040;TRAFO AER 3F 15KV 75KVA 220/127V 7TP;MC22103;;;;CDFL;INVT;40;UN;16789,02;BRL;1;40;46153;0;46153;0;0;0;0;10128154;70;R;1;4600001961;671560,64;40;40;671560,64;0;;CA;G;;;;;;;;;4500144983;ZF 1302603;X;19;;1003291    INDUSTRIA DE TRANSFORMADORES AMAZON;2;;;;;740;70;;;;0;0;1003291    INDUSTRIA DE TRANSFORMAD;OA01;0;;40;0;0;0;0;5300000471;;;;;;UN;UN;0;0;0;671560,64;0;0
1;NB;F;GAE;;03/02/2026;400288;TRAFO AER 3F 15KV 112,5KVA 220/127V 7TP;MC22103;;;;CDFL;INVT;66;UN;23061,66;BRL;1;66;46153;0;46153;0;0;0;0;10128154;80;R;1;4600001961;1522069,3;66;66;1522069,3;0;;CA;G;;;;;;;;;4500144983;ZF 1302603;X;19;;1003291    INDUSTRIA DE TRANSFORMADORES AMAZON;2;;;;;750;80;;;;0;0;1003291    INDUSTRIA DE TRANSFORMAD;OA01;0;;66;0;0;0;0;5300000473;;;;;;UN;UN;0;0;0;1522069,3;0;0
1;NB;F;GAE;;04/02/2026;402447;TRAFO AER 1F 7,96KV 10KVA 240/120V 7TP;MC22103;;;;CDFL;INVT;15;UN;5064,79;BRL;1;15;46101;0;46101;0;15;0;0;10128154;110;R;1;4600001961;0;0;0;0;0;;CA;G;;;;;;;;;4500144983;ZF 1302603;X;19;;1003291    INDUSTRIA DE TRANSFORMADORES AMAZON;2;;;;;780;110;;;;0;0;1003291    INDUSTRIA DE TRANSFORMAD;OA01;0;;15;15;0;0;0;5300004584;;;;;;UN;UN;0;0;0;75971,79;0;0
1;NB;F;GAE;;04/03/2026;410116;TRAFO AER 1F 7,96KV 5KVA 240/120V 7TP VG;MC22103;;;;CDFL;INVT;256;UN;3817,86;BRL;1;256;46146;0;46146;0;0;0;0;10130243;10;R;1;4600001961;977371,06;256;256;977371,06;0;;C1;G;;;;;;;;;4500148071;ZF 1302603;X;19;;1003291    INDUSTRIA DE TRANSFORMADORES AMAZON;2;;;;;790;10;;;;0;0;1003291    INDUSTRIA DE TRANSFORMAD;OA01;0;;256;0;0;0;0;5300031910;;;;;;UN;UN;0;0;0;977371,06;0;0
1;NB;F;GAE;;04/03/2026;410117;TRAFO AER 1F 7,9KV 10KVA 240/120V 7TP VG;MC22103;;;;CDFL;INVT;45;UN;4205,92;BRL;1;45;46146;0;46146;0;0;0;0;10130243;20;R;1;4600001961;189266,22;45;45;189266,22;0;;C1;G;;;;;;;;;4500148071;ZF 1302603;X;19;;1003291    INDUSTRIA DE TRANSFORMADORES AMAZON;2;;;;;800;20;;;;0;0;1003291    INDUSTRIA DE TRANSFORMAD;OA01;0;;45;0;0;0;0;5300031911;;;;;;UN;UN;0;0;0;189266,22;0;0
1;NB;F;GAE;;04/03/2026;410118;TRAFO AER 1F 7,9KV 15KVA 240/120V 7TP VG;MC22103;;;;CDFL;INVT;36;UN;5342,32;BRL;1;36;46146;0;46146;0;0;0;0;10130243;30;R;1;4600001961;192323,44;36;36;192323,44;0;;C1;G;;;;;;;;;4500148071;ZF 1302603;X;19;;1003291    INDUSTRIA DE TRANSFORMADORES AMAZON;2;;;;;810;30;;;;0;0;1003291    INDUSTRIA DE TRANSFORMAD;OA01;0;;36;0;0;0;0;5300031912;;;;;;UN;UN;0;0;0;192323,44;0;0
1;NB;F;GAE;;04/03/2026;410119;TRAFO AER 1F 15KV 25KVA 240/120V 7TP VG;MC22103;;;;CDFL;INVT;15;UN;6143,97;BRL;1;15;46146;0;46146;0;0;0;0;10130243;40;R;1;4600001961;92159,5;15;15;92159,5;0;;C1;G;;;;;;;;;4500148071;ZF 1302603;X;19;;1003291    INDUSTRIA DE TRANSFORMADORES AMAZON;2;;;;;820;40;;;;0;0;1003291    INDUSTRIA DE TRANSFORMAD;OA01;0;;15;0;0;0;0;5300031913;;;;;;UN;UN;0;0;0;92159,5;0;0
1;NB;F;GAE;;04/03/2026;410120;TRAFO AER 3F 15KV 30KVA 220/127V 7TP VG;MC22103;;;;CDFL;INVT;25;UN;9366,51;BRL;1;25;46146;0;46146;0;0;0;0;10130243;50;R;1;4600001961;234162,8;25;25;234162,8;0;;C1;G;;;;;;;;;4500148071;ZF 1302603;X;19;;1003291    INDUSTRIA DE TRANSFORMADORES AMAZON;2;;;;;830;50;;;;0;0;1003291    INDUSTRIA DE TRANSFORMAD;OA01;0;;25;0;0;0;0;5300031914;;;;;;UN;UN;0;0;0;234162,8;0;0
1;NB;F;GAE;;04/03/2026;410126;TRAFO AER 3F 15KV 45KVA 220/127V 7TP VG;MC22103;;;;CDFL;INVT;88;UN;10925,24;BRL;1;88;46146;0;46146;0;0;0;0;10130243;60;R;1;4600001961;961420,7;88;88;961420,7;0;;C1;G;;;;;;;;;4500148071;ZF 1302603;X;19;;1003291    INDUSTRIA DE TRANSFORMADORES AMAZON;2;;;;;840;60;;;;0;0;1003291    INDUSTRIA DE TRANSFORMAD;OA01;0;;88;0;0;0;0;5300031915;;;;;;UN;UN;0;0;0;961420,7;0;0
1;NB;F;GAE;;04/03/2026;410122;TRAFO AER 3F 15KV 75KVA 220/127V 7TP VG;MC22103;;;;CDFL;INVT;361;UN;14452,65;BRL;1;361;46146;0;46146;0;0;0;0;10130243;70;R;1;4600001961;5217407,56;361;361;5217407,56;0;;C1;G;;;;;;;;;4500148071;ZF 1302603;X;19;;1003291    INDUSTRIA DE TRANSFORMADORES AMAZON;2;;;;;850;70;;;;0;0;1003291    INDUSTRIA DE TRANSFORMAD;OA01;0;;361;0;0;0;0;5300031916;;;;;;UN;UN;0;0;0;5217407,56;0;0
1;NB;F;A03;;12/01/2026;401632;LACRE SEG MET 11DIG BR;MC12505;;;;CDFL;INVT;145100;UN;1,79;BRL;1;145100;46094;0;46094;0;145100;0;0;10124052;10;R;1;;0;0;0;0;0;;C1;G;;;;;;;;;4500142027;ZF 1302603;X;19;;1003333    METALACRE INDUSTRIA E COMERCIO DE L;2;;;;;0;10;;;;0;0;1003333    METALACRE INDUSTRIA E CO;OA01;0;;145100;145100;0;0;0;5300000887;;;;;;UN;UN;0;0;0;259090,56;0;0
1;NB;F;GAE;;12/03/2026;401632;LACRE SEG MET 11DIG BR;MC12505;;;;CDFL;INVT;223000;UN;1,79;BRL;1;223000;46155;0;46155;0;0;0;0;10130884;10;R;1;;398188,8;223000;223000;398188,8;0;;C1;G;;;;;;;;;4500149234;ZF 1302603;X;19;;1003333    METALACRE INDUSTRIA E COMERCIO DE L;2;;;;;0;10;;;;0;0;1003333    METALACRE INDUSTRIA E CO;OA01;0;;223000;0;0;0;0;5300000887;;;;;;UN;UN;0;0;0;398188,8;0;0
1;NB;F;A01;;16/03/2026;402816;MEDIDOR ELETR PROGR 3F 120V 2,5/10A THS;MC12501;;;;CDFL;INVT;268;UN;511,19;BRL;1;268;46167;0;46167;0;0;0;0;10103130;30;R;1;4600003150;136999,46;268;268;136999,46;0;;C1;G;;;;;;;;;4500149684;ZF 1302603;X;19;;1003382    ELETRA INDUSTRIA E COMERCIO DE MEDI;2;;;;;10;10;;;;0;0;1003382    ELETRA INDUSTRIA E COMER;OA01;0;;268;0;0;0;0;5300005575;;;;;;UN;UN;0;0;0;136999,46;0;0
1;NB;F;A01;;23/01/2026;800515;ISOLADOR ANCOR POLIM 15KV 5000DAN;MC10902;;;;CDFL;CUST;605;UN;29,76;BRL;1;605;46106;0;46097;0;605;0;0;10100954;10;R;1;4600003072;0;0;0;0;0;;C1;G;;;;;;;;;4500144585;ZF 1302603;X;19;;1003412    MAURIZIO  CIA LTDA;2;;;;;10;10;;;;0;0;1003412    MAURIZIO  CIA LTDA;OA01;0;;605;605;0;0;0;5300026814;;;;;;UN;UN;0;0;0;18004,8;0;0
1;NB;F;A01;;23/01/2026;401116;ISOLADOR ANCOR POLIM 15KV 5000DAN;MC10902;;;;CDFL;INVT;2095;UN;29,76;BRL;1;2095;46106;0;46097;0;2095;0;0;10100954;20;R;1;4600003072;0;0;0;0;0;;C1;G;;;;;;;;;4500144585;ZF 1302603;X;19;;1003412    MAURIZIO  CIA LTDA;2;;;;;20;20;;;;0;0;1003412    MAURIZIO  CIA LTDA;OA01;0;;2095;2095;0;0;0;5300026815;;;;;;UN;UN;0;0;0;62347,2;0;0
1;NB;F;A02;;10/02/2026;402433;PARA-RAIO DISTRIB POL 12KV 10KA S/CENT;MC21101;;;;CDFL;INVT;797;UN;130,2;BRL;1;797;46125;0;46125;0;0;0;0;10101106;30;R;1;4600003075;103769,4;797;797;103769,4;0;;C1;G;;;;;;;;;4500145769;ZF 1302603;X;19;;1003412    MAURIZIO  CIA LTDA;2;;;;;40;10;;;;0;0;1003412    MAURIZIO  CIA LTDA;OA01;0;;797;797;0;0;0;5300014965;;;;;;UN;UN;0;0;0;103769,4;0;0
1;NB;F;A02;;11/02/2026;401857;CHAVE FUSIVEL DIST 15KV 100A/10KA PORC;MC10801;;;;CDFL;INVT;2535;UN;268,77;BRL;1;2535;46153;0;46153;0;0;0;0;10101510;80;R;1;4600003086;681331,95;2535;2535;681331,95;0;;C1;G;;;;;;;;;4500145784;ZF 1302603;X;19;;1003412    MAURIZIO  CIA LTDA;2;;;;;70;10;;;;0;0;1003412    MAURIZIO  CIA LTDA;OA01;0;;2535;0;0;0;0;5300000806;;;;;;UN;UN;0;0;0;681331,95;0;0
1;NB;F;A02;;23/02/2026;800817;CHAVE FUSIVEL DIST 15KV 100A/10KA PORC;MC10801;;;;CDFL;CUST;1117;UN;268,77;BRL;1;1117;46172;0;46172;0;0;0;0;10101512;10;R;1;4600003086;300216,09;1117;1117;300216,09;0;;C1;G;;;;;;;;;4500147521;ZF 1302603;X;19;;1003412    MAURIZIO  CIA LTDA;2;;;;;40;10;;;;0;0;1003412    MAURIZIO  CIA LTDA;OA01;0;;1117;0;0;0;0;5300000809;;;;;;UN;UN;0;0;0;300216,09;0;0
1;NB;F;A01;;23/02/2026;800515;ISOLADOR ANCOR POLIM 15KV 5000DAN;MC10902;;;;CDFL;CUST;405;UN;32;BRL;1;405;46126;0;46126;0;0;0;0;10100954;10;R;1;4600003072;12960;405;405;12960;0;;C0;G;;;;;;;;;4500147552;ZF 1302603;X;19;;1003412    MAURIZIO  CIA LTDA;2;;;;;10;10;;;;0;0;1003412    MAURIZIO  CIA LTDA;OA01;0;;405;0;0;0;0;5300026814;;;;;;UN;UN;0;0;0;12960;0;0
1;NB;F;A02;;26/02/2026;400758;CHAVE SECC 1P 15KV 630A 110KV 25KA;MC10202;;;;CDFL;INVT;550;UN;483,6;BRL;1;550;46139;0;46139;0;0;0;0;10101510;90;R;1;4600003086;265980;550;550;265980;0;;C1;G;;;;;;;;;4500147692;ZF 1302603;X;19;;1003412    MAURIZIO  CIA LTDA;2;;;;;30;10;;;;0;0;1003412    MAURIZIO  CIA LTDA;OA01;0;;550;0;0;0;0;5300026917;;;;;;UN;UN;0;0;0;265980;0;0
1;NB;F;A02;;26/02/2026;800959;PORTA-FUSIVEL 15KV 100A;MC10801;;;;CDFL;CUST;817;UN;88,81;BRL;1;817;46139;0;46139;0;0;0;0;10099353;10;R;1;4600003042;72561,85;817;817;72561,85;0;;C1;G;;;;;;;;;4500147697;ZF 1302603;X;19;;1003412    MAURIZIO  CIA LTDA;2;;;;;10;10;;;;0;0;1003412    MAURIZIO  CIA LTDA;OA01;0;;817;0;0;0;0;5300000808;;;;;;UN;UN;0;0;0;72561,85;0;0
