Documento de compras;Item;Contrato básico;It.contrato superior;Fornecedor/centro fornecedor;Tipo doc.compras;Ctg.doc.compras;Grupo de compradores;Histórico pedido/docum.SolRem.;Data do documento;Código de imposto;Material;Texto breve;Grupo de mercadorias;Código de eliminação;Categoria do item;Ctg.class.cont.;Centro;Depósito;Qtd.pedido;UM pedido;Qtd.na UnidGestEstoq;Unidade manutenção estoque;Preço líquido;Moeda;Unidade preço;Quantidade prevista;Qtd.prev.pendente;a ser fornecida (quantidade);a ser fornecido (valor;Ãinda a faturar (quantidade);Ainda a faturar (valor);Núm.itens;Domicílio fiscal;Valor líquido pedido;Qtd.notificada
4500152157;70;4600003549;320;1003152    ROMAGNOLE PRODUTOS ELETRICOS S.A.;NB;F;GAE;;17/04/2026;C1;800431;CINTA POSTE CIRC ACO 250MM;MC12002;;;;CDFL;CUST;220;UN;220;UN;22,84;BRL;1;0;0;0;0,00;0;0,00;1;ZF 1302603;5.024,98;220
4500152157;80;4600003549;330;1003152    ROMAGNOLE PRODUTOS ELETRICOS S.A.;NB;F;GAE;;17/04/2026;C1;402202;CINTA POSTE CIRC ACO 250MM;MC12002;;;;CDFL;INVT;810;UN;810;UN;22,84;BRL;1;0;0;0;0,00;0;0,00;1;ZF 1302603;18.501,05;810
4500152157;110;4600003549;360;1003152    ROMAGNOLE PRODUTOS ELETRICOS S.A.;NB;F;GAE;;17/04/2026;C1;401438;CINTA POSTE CIRC ACO 270MM;MC12002;;;;CDFL;INVT;950;UN;950;UN;23,43;BRL;1;0;0;350;8.199,34;350;8.199,34;1;ZF 1302603;22.255,36;600
4500152157;120;4600003549;370;1003152    ROMAGNOLE PRODUTOS ELETRICOS S.A.;NB;F;GAE;;17/04/2026;C1;401803;CINTA POSTE CIRC ACO 340MM;MC12002;;;;CDFL;INVT;247;UN;247;UN;29,42;BRL;1;0;0;247;7.265,73;247;7.265,73;1;ZF 1302603;7.265,73;0
4500152157;130;4600003549;380;1003152    ROMAGNOLE PRODUTOS ELETRICOS S.A.;NB;F;GAE;;17/04/2026;C1;404054;CINTA POSTE CIRC ACO 380MM;MC10701;;;;CDFL;INVT;280;UN;280;UN;31,60;BRL;1;0;0;280;8.848,39;280;8.848,39;1;ZF 1302603;8.848,39;0
4500152157;140;4600003549;390;1003152    ROMAGNOLE PRODUTOS ELETRICOS S.A.;NB;F;GAE;;17/04/2026;C1;803245;CINTA POSTE DUPLO T ACO 230X125MM;MC12002;;;;CDFL;CUST;25;UN;25;UN;42,36;BRL;1;0;0;25;1.059,04;25;1.059,04;1;ZF 1302603;1.059,04;0
4500152157;150;4600003549;420;1003152    ROMAGNOLE PRODUTOS ELETRICOS S.A.;NB;F;GAE;;17/04/2026;C1;400771;CINTA POSTE ACO 260MM;MC12002;;;;CDFL;INVT;65;UN;65;UN;23,36;BRL;1;0;0;0;0,00;0;0,00;1;ZF 1302603;1.518,50;65
4500152157;160;4600003549;430;1003152    ROMAGNOLE PRODUTOS ELETRICOS S.A.;NB;F;GAE;;17/04/2026;C1;800390;CINTA POSTE ACO 260MM;MC12002;;;;CDFL;CUST;70;UN;70;UN;23,36;BRL;1;0;0;0;0,00;0;0,00;1;ZF 1302603;1.635,31;70
4500152172;10;4600003570;210;1003152    ROMAGNOLE PRODUTOS ELETRICOS S.A.;NB;F;GAE;;17/04/2026;C1;402312;OLHAL PARAFUSO AC 16MM 5000DAN;MC10401;;;;CDFL;INVT;33.733;UN;33.733;UN;9,05;BRL;1;0;0;14.533;131.507,66;14.533;131.507,66;1;ZF 1302603;305.246,54;19.200
4500152172;20;4600003570;220;1003152    ROMAGNOLE PRODUTOS ELETRICOS S.A.;NB;F;GAE;;17/04/2026;C1;801064;PARAFUSO CAB ABA AC 10MM 115MM;MC01301;;;;CDFL;CUST;4.674;UN;4.674;UN;1,43;BRL;1;0;0;4.674;6.694,10;4.674;6.694,10;1;ZF 1302603;6.694,10;0
4500152172;30;4600003570;230;1003152    ROMAGNOLE PRODUTOS ELETRICOS S.A.;NB;F;GAE;;17/04/2026;C1;400930;PARAFUSO CAB ABA AC 10MM 115MM;MC01301;;;;CDFL;INVT;14.824;UN;14.824;UN;1,43;BRL;1;0;0;14.824;21.230,93;14.824;21.230,93;1;ZF 1302603;21.230,93;0
4500152172;40;4600003570;240;1003152    ROMAGNOLE PRODUTOS ELETRICOS S.A.;NB;F;GAE;;17/04/2026;C1;800119;PARAFUSO CAB QD AC 16MM 225MM 300MM;MC01301;;;;CDFL;CUST;4.672;UN;4.672;UN;6,44;BRL;1;0;0;4.672;30.110,57;4.672;30.110,57;1;ZF 1302603;30.110,57;0
4500152172;50;4600003570;250;1003152    ROMAGNOLE PRODUTOS ELETRICOS S.A.;NB;F;GAE;;17/04/2026;C1;401131;PARAFUSO CAB QD AC 16MM 225MM 300MM;MC01301;;;;CDFL;INVT;53.967;UN;53.967;UN;6,44;BRL;1;0;0;39.967;257.583,32;39.967;257.583,32;1;ZF 1302603;347.811,92;14.000
4500152172;60;4600003570;260;1003152    ROMAGNOLE PRODUTOS ELETRICOS S.A.;NB;F;GAE;;17/04/2026;C1;800982;PARAFUSO OLHAL AC 5/8P 20P;MC01301;;;;CDFL;CUST;2.202;UN;2.202;UN;22,33;BRL;1;0;0;2.202;49.169,12;2.202;49.169,12;1;ZF 1302603;49.169,12;0
4500152172;70;4600003570;270;1003152    ROMAGNOLE PRODUTOS ELETRICOS S.A.;NB;F;GAE;;17/04/2026;C1;800541;PORCA QUADRADA AC 16MM 2MM;MC01301;;;;CDFL;CUST;1.527;UN;1.527;UN;0,57;BRL;1;0;0;1.527;866,27;1.527;866,27;1;ZF 1302603;866,27;0
4500152172;80;4600003570;280;1003152    ROMAGNOLE PRODUTOS ELETRICOS S.A.;NB;F;GAE;;17/04/2026;C1;400974;PORCA QUADRADA AC 16MM 2MM;MC01301;;;;CDFL;INVT;14.232;UN;14.232;UN;0,57;BRL;1;0;0;14.232;8.073,81;14.232;8.073,81;1;ZF 1302603;8.073,81;0
4500152173;10;4600003552;300;1003152    ROMAGNOLE PRODUTOS ELETRICOS S.A.;NB;F;GAE;;17/04/2026;C1;401375;AFASTADOR REDE SEC AC 700MM 500MM;MC12002;;;;CDFL;INVT;420;UN;420;UN;126,79;BRL;1;0;0;420;53.250,50;420;53.250,50;1;ZF 1302603;53.250,50;0
4500152173;20;4600003552;310;1003152    ROMAGNOLE PRODUTOS ELETRICOS S.A.;NB;F;GAE;;17/04/2026;C1;800256;BRACO SUPORTE TIPO C 580X365MM 851/6;MC12002;;;;CDFL;CUST;10;UN;10;UN;85,44;BRL;1;0;0;10;854,39;10;854,39;1;ZF 1302603;854,39;0
4500152173;30;4600003552;320;1003152    ROMAGNOLE PRODUTOS ELETRICOS S.A.;NB;F;GAE;;17/04/2026;C1;404719;FIXADOR PERFIL U AC 150DAN 300DAN;MC10701;;;;CDFL;INVT;170;UN;170;UN;15,18;BRL;1;0;0;170;2.580,19;170;2.580,19;1;ZF 1302603;2.580,19;0
4500152173;40;4600003552;330;1003152    ROMAGNOLE PRODUTOS ELETRICOS S.A.;NB;F;GAE;;17/04/2026;C1;800499;MAO-FRANCESA NORMAL AC 710X32X6,5MM;MC10701;;;;CDFL;CUST;50;UN;50;UN;12,73;BRL;1;0;0;50;636,58;50;636,58;1;ZF 1302603;636,58;0
4500152173;50;4600003552;340;1003152    ROMAGNOLE PRODUTOS ELETRICOS S.A.;NB;F;GAE;;17/04/2026;C1;401117;MAO-FRANCESA NORMAL AC 710X32X6,5MM;MC10701;;;;CDFL;INVT;1.290;UN;1.290;UN;12,73;BRL;1;0;0;1.290;16.423,89;1.290;16.423,89;1;ZF 1302603;16.423,89;0
4500152173;60;4600003552;350;1003152    ROMAGNOLE PRODUTOS ELETRICOS S.A.;NB;F;GAE;;17/04/2026;C1;402324;SELA CRUZETA POSTE AC 115MM 18MM;MC12002;;;;CDFL;INVT;580;UN;580;UN;8,39;BRL;1;0;0;580;4.865,39;580;4.865,39;1;ZF 1302603;4.865,39;0
4500152612;10;4600003549;400;1003152    ROMAGNOLE PRODUTOS ELETRICOS S.A.;NB;F;GAE;;24/04/2026;C0;401576;CINTA POSTE CIRC ACO 220MM;MC12002;;;;CDFL;INVT;400;UN;400;UN;22,30;BRL;1;0;0;400;8.920,00;400;8.920,00;1;ZF 1302603;8.920,00;0
4500152612;20;4600003549;410;1003152    ROMAGNOLE PRODUTOS ELETRICOS S.A.;NB;F;GAE;;24/04/2026;C0;800260;CINTA POSTE CIRC ACO 340MM;MC12002;;;;CDFL;CUST;174;UN;174;UN;31,63;BRL;1;0;0;174;5.503,62;174;5.503,62;1;ZF 1302603;5.503,62;0
4500153300;10;4600003553;30;1003152    ROMAGNOLE PRODUTOS ELETRICOS S.A.;NB;F;GAE;;07/05/2026;C1;800496;MANILHA SAPATILHA 5000DAN;MC12002;;;;CDFL;CUST;1.200;UN;1.200;UN;9,90;BRL;1;0;0;1.200;11.874,24;1.200;11.874,24;1;ZF 1302603;11.874,24;0
4500153300;20;4600003553;40;1003152    ROMAGNOLE PRODUTOS ELETRICOS S.A.;NB;F;GAE;;07/05/2026;C1;401927;MANILHA SAPATILHA 5000DAN;MC12002;;;;CDFL;INVT;3.000;UN;3.000;UN;9,90;BRL;1;0;0;3.000;29.685,60;3.000;29.685,60;1;ZF 1302603;29.685,60;0
4500153335;10;4600003552;360;1003152    ROMAGNOLE PRODUTOS ELETRICOS S.A.;NB;F;GAE;;08/05/2026;C1;401375;AFASTADOR REDE SEC AC 700MM 500MM;MC12002;;;;CDFL;INVT;700;UN;700;UN;126,79;BRL;1;0;0;700;88.750,83;700;88.750,83;1;ZF 1302603;88.750,83;0
4500153335;20;4600003552;370;1003152    ROMAGNOLE PRODUTOS ELETRICOS S.A.;NB;F;GAE;;08/05/2026;C1;401485;BRACO SUPORTE TIPO C 580X365MM 851/6;MC12002;;;;CDFL;INVT;305;UN;305;UN;85,44;BRL;1;0;0;305;26.058,93;305;26.058,93;1;ZF 1302603;26.058,93;0
4500153335;30;4600003552;380;1003152    ROMAGNOLE PRODUTOS ELETRICOS S.A.;NB;F;GAE;;08/05/2026;C1;800392;FIXADOR PERFIL U AC 150DAN 300DAN;MC10701;;;;CDFL;CUST;21;UN;21;UN;15,18;BRL;1;0;0;21;318,73;21;318,73;1;ZF 1302603;318,73;0
4500153335;40;4600003552;390;1003152    ROMAGNOLE PRODUTOS ELETRICOS S.A.;NB;F;GAE;;08/05/2026;C1;404719;FIXADOR PERFIL U AC 150DAN 300DAN;MC10701;;;;CDFL;INVT;800;UN;800;UN;15,18;BRL;1;0;0;800;12.142,08;800;12.142,08;1;ZF 1302603;12.142,08;0
4500153335;50;4600003552;400;1003152    ROMAGNOLE PRODUTOS ELETRICOS S.A.;NB;F;GAE;;08/05/2026;C1;800499;MAO-FRANCESA NORMAL AC 710X32X6,5MM;MC10701;;;;CDFL;CUST;1.050;UN;1.050;UN;12,73;BRL;1;0;0;1.050;13.368,28;1.050;13.368,28;1;ZF 1302603;13.368,28;0
4500153335;60;4600003552;410;1003152    ROMAGNOLE PRODUTOS ELETRICOS S.A.;NB;F;GAE;;08/05/2026;C1;401117;MAO-FRANCESA NORMAL AC 710X32X6,5MM;MC10701;;;;CDFL;INVT;1.700;UN;1.700;UN;12,73;BRL;1;0;0;1.700;21.643,89;1.700;21.643,89;1;ZF 1302603;21.643,89;0
4500153335;70;4600003552;420;1003152    ROMAGNOLE PRODUTOS ELETRICOS S.A.;NB;F;GAE;;08/05/2026;C1;801256;PERFIL U AC 76X900MM REDE COMPACTA;MC10701;;;;CDFL;CUST;70;UN;70;UN;77,31;BRL;1;0;0;70;5.411,76;70;5.411,76;1;ZF 1302603;5.411,76;0
4500153335;80;4600003552;430;1003152    ROMAGNOLE PRODUTOS ELETRICOS S.A.;NB;F;GAE;;08/05/2026;C1;401844;PERFIL U AC 76X900MM REDE COMPACTA;MC01206;;;;CDFL;INVT;1.200;UN;1.200;UN;77,31;BRL;1;0;0;1.200;92.773,08;1.200;92.773,08;1;ZF 1302603;92.773,08;0
4500153335;90;4600003552;440;1003152    ROMAGNOLE PRODUTOS ELETRICOS S.A.;NB;F;GAE;;08/05/2026;C1;401271;SAPATILHA CORDOALHA ACO 9,5MM (DESATIVAD;MC12002;;;;CDFL;INVT;3.000;UN;3.000;UN;1,40;BRL;1;0;0;3.000;4.185,00;3.000;4.185,00;1;ZF 1302603;4.185,00;0
4500153341;10;4600003549;440;1003152    ROMAGNOLE PRODUTOS ELETRICOS S.A.;NB;F;GAE;;08/05/2026;C1;400344;CINTA POSTE ACO 290MM;MC12002;;;;CDFL;INVT;60;UN;60;UN;25,48;BRL;1;0;0;60;1.528,92;60;1.528,92;1;ZF 1302603;1.528,92;0
4500153341;20;4600003549;450;1003152    ROMAGNOLE PRODUTOS ELETRICOS S.A.;NB;F;GAE;;08/05/2026;C1;402332;CINTA POSTE CIRC ACO 150MM;MC12002;;;;CDFL;INVT;33;UN;33;UN;17,58;BRL;1;0;0;33;580,04;33;580,04;1;ZF 1302603;580,04;0
