CÓDIGO;DESCRIÇÃO;UDM;"LEAD 
TIME"
410044;RELE DE PROTEÇÃO E CONTROLE;M2;60
402425;POSTE FIBRA VIDRO 15M 600DAN;UN;60
410066;FONTE SOBRESSALENTE GE REASON RPV 311;UN;60
403344;POSTE CONCRETO CIRC 18M 1000DAN;UN;45
400985;POSTE FIBRA VIDRO E-CR 13M 1000DAN;UN;60
401193;TRAFO AER 1F 7,96KV 15KVA 240/120V 7TP;UN;90
403365;POSTE CONCRETO CIRC 15M 1500DAN;UN;45
403374;POSTE CONCRETO CIRC 15M 1000DAN;UN;45
805405;QUADRO GERAL DISTRIBUICAO P/ INVERSOR;PEÇ;60
804454;LOADBUSTER INTERRUPTOR DE CARGA 13,8KV;UN;60
804425;MODULO RETIFICADOR 125VCC;UN;60
402447;TRAFO AER 1F 7,96KV 10KVA 240/120V 7TP;UN;90
401752;POSTE CONCRETO CIRC TRON 13M 1500KG;UN;45
400984;POSTE FIBRA VIDRO 11M 1000DAN;UN;60
401964;POSTE CONCRETO DUPLO T 13M 1500DAN;UN;45
408332;MED IN 3E 4F 67 120 240V 10A ACL DF D;UN;90
401931;POSTE FIBRA VIDRO E-CR 13M 600DAN;PAC;60
410063;FANLESS SIEMENS IPC BX-39A;UN;60
409249;MEGOHMETRO - MEGGER;UN;60
409805;SWITCH ETHERNET RUGGEDCOM RMC40;UN;60
403564;TRANSFORMADOR DE CORRENTE 72,5KV IT40KA;UN;60
401349;POSTE CONCRETO CIRC 11M 1000DAN;CX;45
404205;SWITCH DE FIBRAS 24 PORTAS 10/100 MBPS;UN;60
800062;CABO  MULT 2X16+1X16MM² XLPE 0,6/1 KV;UN;60
400072;TRAFO AER 1F 7,96KV 5KVA 240/120V 7TP;UN;90
409785;ANALISADOR PORTATIL DE GAS E UMIDADE;UN;60
410031;GATEWAY COMUNICACAO C/ CABOS(BMS);M2;60
409901;GATEWAY DE COMUNICAÇÃO_SDG;UN;60
400210;POSTE CONCRETO TRON CON 13M 1000KGF;UN;45
402515;POSTE CONC CIRCULAR 12/1000;UN;45
402013;POSTE CONCRETO CIRC 15M 600DAN;UN;45
401699;POSTE FIBRA VIDRO E-CR 13M 400DAN;UN;60
402098;POSTE CONCRETO DUPLO T 13M 1000DAN;UN;45
800762;CABO  MULT 3X70+1X70 MM² XLPE 0,6/1 KV;UN;60
404467;CAPACITOR 1F 200KVAR 7,96KV AUTOM;UN;60
404155;PARAFUSADEIRA FURADEIRA 18V PROFISSIONAL;UN;60
402242;POSTE FIBRA VIDRO E-CR 11M 600DAN;UN;30
401969;POSTE CONCRETO DUPLO T 15M 1000DAN;UN;45
804426;CONTROLADOR IHM 125VCC;UN;60
803146;MOTOPODA 131 1,4KW 36,3CIL CAP 530ML;UN;60
401260;POSTE CONCRETO TRON CON 9M 1000KGF;UN;45
410068;MICROTIK CCR2004-16G-2S+;UN;60
406364;LAVADORA À PRESSÃO;PEÇ;60
400710;CABO  MULT 3X95+1X70MM² XLPE 0,6/1 KV;UN;60
804614;MINI ALICATE AMPERIMETRO 30A CA/40A CC;UN;60
401296;POSTE CONCRETO TRON CON 11M 600KGF;UN;45
403376;POSTE CONCRETO CIRC 15M 400DAN;UN;45
805406;MODULO CONTROL/SUPERV P/ INVERSOR 15KVA;UN;60
804427;MODULO RETIFICADOR 48 VCC;PEÇ;60
800060;CABO ELET 15KV AL PROT XLPE 185MM2 1F MT;M;60
805190;CONTROLADOR IHM 48VCC;UN;60
800021;CABO ELET CU 95MM2 90°XLPE 0,6/1KV;M;60
805512;CABEÇOTE PRENSA TERMINAL 6T;UN;60
805505;MOTOPODA TOYAMA TPP33TX 2T 1,2HP33CC;UN;60
404987;SWITCH UNIFI 24P+802.3AT/BT 2P SFP+10;UN;60
804738;BASTAO PEGA-TUDO TENSAO ATE 15 KV;UN;60
409301;UNID REMOTA ESENSOR-RL IP67 UL94HB;UN;60
401318;POSTE FIBRA VIDRO E-CR 9M 600DAN;UN;60
400995;POSTE CONCRETO DUPLO T 9M 1000DAN;UN;45
400988;POSTE CONCRETO TRON CON 9M 600KGF;UN;45
800177;CABO ELET FLEXIVEL PVC 750V 2,5MM2 CZ;M;60
408539;TABLET 10 POL;UN;60
400221;POSTE FIBRA VIDRO E-CR 11M 300DAN;UN;60
111059;MOTOSERRA MS-250 16 28DT 30CM;0;60
409240;OSCILOGRAFO;UN;60
404231;MODULO AQUISICAO DADOS 8 ENTR DIGITAIS;UN;60
800163;CABO ELET NU CA AL 2/0AWG 67,40MM2;KG;60
400968;POSTE FIBRA VIDRO 11M 200DAN;UN;60
401678;TRAFO POT 13,8 3KV 115 REL70 1 0,3P75;UN;60
404282;CABO OPTICO CALIBRAVEL RS232 ABNT;KG;60
404517;MULTIMETRO LCD 3 5/6 IP65 CAT IV 600V;UN;60
409150;DISJUNTOR 3P 15KV 110KV 2500A 25KA;UN;60
804115;CAIXA PARA MEDIDOR POLIFASICA VIS. VIDRO;M;60
401034;CONECTOR DER CUNH AZ AL 4/0 2/0 336,4MCM;UN;90
401127;POSTE CONCRETO ARM DUPL T 11M 600KGF;UN;45
805528;CABECOTE PARA DE GRAMPOS DE ATERRAMENTO;UN;60
805139;MARTELETE COMBINADO MAKITA A BATERIA;UN;60
409789;OIL SAMPLE COOLER;UN;60
805502;QDCC RACK 19P COM 10+10 DJ 16-50MM2;UN;60
800886;CONECTOR DER CUNHA AL 2/0AWG 336,4MCM;UN;90
409268;UNID REMOTA ESENSOR-BT C/TC IP67 UL94HB;UN;60
804742;CONJ ATER. TEMP. P/ RED DE DIST ATE 22KV;UN;60
805499;PLACA DE CONTROLE UIB P RET 125V;UN;60
402650;POSTE CONCRETO DUPLO T 9 M 600 DAN;PEÇ;45
405382;MED IN 3E 4F 120 240V 10A TB GD DF C;UN;90
400216;POSTE FIBRA VIDRO 9M 200DAN;UN;60
408896;MED IN 3E 4F 120 240V 200A TB QE GD DR C;UN;60
409233;BUCHA DE PASSAGEM GVL-2215E;UN;60
803598;BATERIA PARA TERMOVISORES 7.2V;UN;60
403499;ABRACADEIRA PLAS 300 X 4,80MM;UN;60
403327;DISJUNTOR 2P 127/220V 400VCA 32A;UN;60
404251;FONTE DE ALIMENTACAO PS;UN;60
409787;KIT DE VERIFICACAO DO SISTEMA KITT000012;UN;60
804050;DISJUNTOR 2P 127/220V 400VCA 32A;UN;60
401309;"TRAFO CRTE 15KV; 20-5A; 0,3C12,5 BARRA";UN;60
401308;"TRAFO CRTE 15KV; 10-5A; 0,3C12,5 BARRA";UN;60
400074;"TRAFO CRTE 15KV; 150-5A; 0,3C12,5 BARRA";UN;60
401356;"TRAFO CRTE 15KV; 15-5A; 0,3C12,5 BARRA";UN;60
403251;"TRAFO CRTE 15KV; 200-5A; 0,3C12,5 BARRA";UN;60
400069;"TRAFO CRTE 15KV; 5-5A; 0,3C12,5 BARRA";UN;60
401771;"TRAFO CRTE 15KV; 60-5A; 0,3C12,5 BARRA";UN;60
804145;ESMERILHADEIRA ANGULAR 125MM 220V;UN;60
804631;KIT SOBRESSALENTE PARA CONVERSOR CC-CC;UN;60
402847;POSTE CONC DUPL T 9 M 300 DAN;UN;45
403668;ALICATE CRIMPADOR P/ TERMINAL ISOLADO;UN;60
805480;CHAVE DE IMPACTO 18V-450NM;UN;60
804461;VARA MANOBRA TELESC VID 7 ELEM;UN;60
401735;"TRAFO CRTE 0,6KV;800-5A 0,3C12,5 JANELA";UN;60
404613;"TRAFO CRTE 15KV; 40-5A; 0,3C12,5 BARRA";UN;60
805407;SOBRESSAL VENTILADOR CARREGADOR-RETIF;UN;60
404195;MODULO DE COMUNIC REMOTA 3G/4G TNC;UN;60
409232;CAMPANULAS DISJUNTOR SION;UN;60
110195;ESCADA FBV EXT 5,10X9,00M 29DEG 30KG;0;60
409628;TELEFONE GRANDSTREAM IP BASICO;UN;60
401685;"TRAFO CRTE 0,6KV;600-5A 0,3C12,5 JANELA";UN;60
804295;PARAFUSADEIRA 18V BOSCH;UN;60
804842;BATERIA VEICULAR 100A;UN;60
410032;CONTROLADOR S0 C/ CABEAMENTO (BMS);UN;60
404196;MODULO COMUNIC. INT. 4G P/ MEDIDOR;UN;90
805403;FUSIVEL RAPIDO 30A;UN;60
401992;"TRAFO CRTE 0,6KV 400-5A; 0,3C12,5 BARRA";UN;60
400292;"TRAFO CRTE 0,6KV;300-5A 0,3C12,5 JANELA";PEÇ;60
403337;MED EL 3E 4F 120V 200A TB GD B;UN;90
410177;ABRACADEIRA PLAS UV 150X3,50MM;UN;20
410011;ESMERILHADEIRA A BATERIA 18V 4 1/2;UN;60
805500;GATEWAY MODBUS SERIAL/TCP-IP ETHERNET;UN;60
805506;MOTOSSERRA TOYAMA TCS58F-20TSN;UN;60
410033;SENSOR MEDIÇÃO SN C/CABEAMENTO(BMS);UN;60
404229;"TRAFO CRTE 15KV; 30-5A; 0,3C12,5 BARRA";UN;60
804484;GRAMPO ANCOR CABO 795 TERN;UN;60
805509;CONVERSOR BLACKBOX LH1708A-SC;UN;60
805521;MULTIMETRO DIGITAL FLUKE 15B+;UN;60
804602;ESMERILHADEIRA AN 115MM 4.1/2P 840W 127V;UN;60
407441;MED IN 3E 4F 120 240V 120A TB GD B;UN;90
410036;DESCARREGADOR DE BATERIAS 220 A, 300 V;UN;60
407443;MOSTRADOR REMOTO MEDIDORES 1003 AC/BAT;UN;60
401743;"TRAFO CRTE 15KV; 100-5A; 0,3C12,5 BARRA";UN;60
410019;EXTENSOR GRANDSTREAM - GXP2200;PEÇ;60
402322;MED EL 3E 4F 120V 120A TB GD B;UN;90
803830;JOGO CHAVES SOQUETE ESTRIADA COM 18 PÇS;UN;60
404115;MED IN 3E 4F 120 240V 120A TB QE GD B;UN;90
401556;CABO ELET SUBAQ EPR 3F 3X50MM2 8,7/15KV;M;60
110158;ESCADA FBV EXT 420X720MM 23DEG 454KG;0;60
400183;MED EL 2E 3F 120V 120A TB GD B;CJ;90
409808;CAIXA DE DERIVACAO POLIM TRIF 160A;UN;60
804740;CONJUNTO ATERRAMENTOS BT MULTIPLEXADO;UN;60
409788;KIT DE AMOSTRA DE GAS KITT00005;UN;60
409792;MALA DE TRANSPORTE CASE01017;UN;60
804603;TALHA MANUAL CORRENTE CAP. 2TON;UN;60
120099;VARA MANOBRA SECC TUB VID 6,45M;0;60
404114;MED IN 2E 3F 120 240V 120A TB QE GD B;UN;90
400091;TRAFO CRTE 15KV 20-5A 13,8KV 0,3C12,5;UN;60
804017;ESTAÇÃO DE SOLDA POTÊNCIA DE 80 W;UN;60
403077;MED EL 3E 4F 120 240V 120A TB GD C;UN;90
400758;CHAVE SECC 1P 15KV 630A 110KV 25KA;KG;60
803866;LANTERNA TATICA DE LONGO ALCANCE;UN;60
120144;VARA MANOBRA TELESC FIB VID TRIANG 7,77M;0;60
804735;ESCADA A 3,96M, LARGURA 0,85M;UN;60
110713;LONA IMPERM FERRAM LONIL DUPLA FACE 4X3M;UN;60
402525;CRUZETA POLIMERICA 5000X112,5X90MM;UN;60
410035;BOX+FONTE C/ CABOS(BMS);UN;60
805519;CONECTOR PARALELO 3 PARAFUSOS 2250MCM;UN;90
403161;PONTALETE FBV 100MM 6M;UN;30
805498;SOBRESSAL VENTILADOR CARREGADOR-RETIF;UN;60
410020;TELEFONE IP GRANDSTREAN MOD GXP2170;UN;60
803647;SOPRADOR TÉRMICO 1800W 220V;UN;60
800454;GAS HEXAFLUORETO ENXOFRE SF6;UN;60
404972;BRACO TIPO J;UN;60
800356;EMENDA ELET TERM-CON 8,7/15KV 240-630MM2;UN;60
402407;"TRAFO CRTE 0,6KV;200-5A 0,3C12,5 JANELA";PEÇ;60
404154;DETECTOR DE TENSAO POR APROXIMACAO 15KV;UN;60
803692;TALHA MANUAL DE ALAVANCA CAPACIDADE 0,75;UN;60
803470;PONTALETE FBV 100MM 6M;UN;30
804816;BLUSA ANTICORTE P OPER MOTOSERRA;UN;60
400188;MONITOR 19P LCD 1680X1050;UN;60
802147;MUFLA POLIM TERM 8,7/15KV 240-630MM2;UN;60
400468;CABO ELET SUBAQ EPR 1X50MM2 8,7/15KV 1F;UN;60
804450;DETECTOR TENSAO MT DETEC APROX 1-15KV;UN;60
804462;BASTAO GRAMPO DE LINHA VIVA (3M);UN;60
804671;FUSIVEL HH 10A 358C 52L MM;UN;60
803250;CONVERSOR DE FIBRA MONOMODO SM;UN;60
804562;EMENDA MUFLA ENFITADA 25-70MM 3,6/35KV;UN;60
402276;CHAVE FUSIVEL INDIC 15KV 200A/95KV BUC;UN;60
800262;CHAVE FUSIVEL INDIC 15KV 200A/95KV BUC;UN;60
803991;ALICATE CRIMPADOR PARA TERMINAIS;UN;60
403602;ABRACADEIRA PLAS UV 525X8,90MM TRI;PEÇ;60
800817;CHAVE FUSIVEL DIST 15KV 100A/10KA PORC;UN;60
804252;ROTULADORA COM CARTUCHOS DE REPOSICAO;UN;60
804734;ESCADA A 2,73M, LARGURA 0,71M;UN;60
804019;JOGO CHAVE PHILIPS 7P 1/8X3 A 5/16X6;UN;60
804238;TRENA C FITA DE FIBRA DE VIDRO 50MM;UN;60
409947;TRENA FIBRA ABERTA 100MT - 537B STARRETT;UN;60
805410;TRENA FIBRA ABERTA 100MT - 537B STARRETT;UN;60
402701;CHAVE SEC 1P 15KV 630A CONEXÃO TER CUNHA;PEÇ;60
404112;MED IN 1E 2F 120 240V 120A TB QE GD B;UN;90
401375;AFASTADOR REDE SEC AC 700MM 500MM;UN;60
402490;SUPORTE AFAST HORIZ C/PRENSA REDE 15KV;UN;60
801786;CHAVE AFERICAO SOBREPOR 6P CORR/4P TENS;UN;60
804274;SSD 480GB;UN;60
800717;GRAMPO LV OLHAL 18MM 10-120/10-70MM2;UN;60
407816;FECHADURA ELETRONICA ULTRA CARD;UN;60
801400;HASTE ATERRAMENTO CI AC 14,3X2438MM;UN;90
402195;"TRAFO CRTE 15KV; 75-5A; 0,3C12,5 BARRA";UN;60
803100;SUPORTE AFAST HORIZ C/PRENSA REDE 15KV;UN;60
803840;CHAVE AJUSTÁVEL 8 ISOLADA 1000V 203MM;UN;60
400092;"TRAFO CRTE 15KV 30-5A 6:1; 0,3C12,5";UN;60
402400;"TRAFO CRTE 15KV; 50-5A; 0,3C12,5 BARRA";UN;60
804483;GRAMPO ANCOR CABO 266,8 PARTRIDGE;UN;60
409203;LUVA DE EMENDA TORQUIMÉTRICO 185MM2;PEÇ;60
804573;LUVA DE EMENDA TORQUIMÉTRICO 185MM2;PEÇ;60
805447;CORDAO OPTICO MM 62,5/125 LC-PC/LC-PC25M;UN;60
403502;CAIXA BARRAMENTO 250A;PEÇ;60
402675;CHAVE AFERICAO SOBREPOR 6P CORR/4P TENS;UN;60
408990;TRILHOS DESLIZANTES;UN;60
805116;BOMBA SUBMERSIVEL 220V;UN;60
804651;MANOMETRO EM ACO INOXIDAVEL WIKA B071751;UN;60
805229;RELE BIESTAVEL MOD BS 02 - BC;UN;60
803874;RELE FALTA DE FASE 2NA+2NF 125 VCC;UN;60
404199;COMUTADORES KVM 4 PORTAS USB TECL ACESSO;UN;60
403663;CABO CONCENTRICO CU 3X70+70MM;UN;60
804598;CAPACIMETRO MODELO MC-154A;UN;60
803254;BATERIA 12VCC SEL 24-28AH ISENTA MANUT;UN;60
805098;BATERIA ÍONS DE LITIO GBA 18V 2.0AH;PEÇ;60
803558;GRAMPO TENSÃO 90° CORDOALHA  AÇO 5/16;CJ;60
803559;GRAMPO SUSP MONOART 5 A 11 CORDOALHA5/16;KG;60
404738;TERMINAL CHAVE SEC 1F 35-185MM2;UN;90
803461;TERMINAL CHAVE SEC 1F 35-185MM2;UN;90
804741;BASTAO DE ATERRAMENTOS BT CONVENCIONAL;UN;60
403804;ALCA PREFORM 6,4MM 1/4P AM 635MM;UN;60
804490;CONECTOR EMENDA RETA 954 MAGNOLIA;UN;90
401547;CRUZETA POL PE/FBN 90X112,5X2400MM;UN;60
800847;CRUZETA POL PE/FBN 90X112,5X2400MM;UN;60
401657;MAO FRANCESA BECO AC 2135MM 35MMX5MM;UN;60
800991;MAO FRANCESA BECO AC 2135MM 35MMX5MM;UN;60
803510;GRAMPO ANCORAGEM  CORDOALHA  5/16;CX;60
403182;CONECTOR CHAVE SEC 1P FACA CU 10-300MM2;UN;90
802249;CONECTOR CHAVE SEC 1P FACA CU 10-300MM2;UN;90
800950;MUFLA TERMINAL 8,7/15KV 25-95MM2;UN;60
804566;JOGO CHAVE COMBINADA BOCA E ESTRELA;UN;60
401683;SUPORTE TRANSF POSTE DUP T AC 230X125MM;UN;60
400106;LUVA EMENDA 185MM 251MM;UN;60
801154;LUVA EMENDA 185MM 251MM;UN;60
800816;CAIXA EMENDA OPTICA 48F;UN;60
403168;SUPORTE PARA CAIXA SMC;UN;60
402452;SUPORTE TRANSF POSTE CIRC AC 200MM;KG;60
800712;SUPORTE TRANSF POSTE CIRC AC 200MM;KG;60
804258;REFLETOR LED 400/500W BIVOLT IP67;UN;60
805446;CORD OPT MM62,5/125 MTRJ-MACHO/ST-PC 25M;UN;60
802159;TINTA ESM SINTE VERM SECAGEM RAP 3,6L;UN;60
804554;ALICATE AMPERIM 750/1000V 1000A ET-3200A;UN;60
804574;CARREGADOR USB TIPO C SM-T595;UN;60
410047;ALCA PREFORM CABO CONC  2X25 + 25;UN;60
120117;CONE SINALIZACAO PVC LJ 75CM;UN;60
800654;PARA-RAIO DISTRIB POL 12KV 10KA S/CENT;UN;60
803749;TINTA DIELETRICA CVP P/ EQUIPAMENTOS;UN;60
400152;MED EL 3E 4F 120 240V 200A TB GD C;UN;60
407355;CRUZETA POL FBV/RES 2400X112,5X90MM DAT;UN;60
401959;CRUZETA POL FBV/RES PES 2400X112,5X90MM;UN;60
801112;CRUZETA POL FBV/RES PES 2400X112,5X90MM;UN;60
403580;ALCA PREFORM CABO CONC 3X35 + 35;UN;60
800006;SUPORTE TRANSF POSTE CIRC AC 290MM;UN;60
801386;SUPORTE TRANSF POSTE DUP T AC 210X125MM;UN;60
401165;SUPORTE TRANSF POSTE CIRC AC 240MM;UN;60
803509;CONECTOR PARALELO CABO CAA 477 MCM;UN;90
800760;SUPORTE TRANSF POSTE DUP T AC 210X115MM;UN;60
410062;ANTENA GPS GNSS GE REASON RT 420 30;UN;60
401014;SUPORTE TRANSF POSTE CIRC AC 280MM;UN;60
804595;TINTA ESM SINTE BRANCO SECAGEM RAP 3,6L;UN;60
403563;CHAVE SEC 1P 15KV 400A 95KA/S F. FACA;UN;60
804820;CALCA ANTICORTE P OPER MOTOSERRA;UN;60
402149;TERMINAL CU CHAVE SEC  70-120MM2;UN;45
800569;TERMINAL CU CHAVE SEC  70-120MM2;UN;45
804594;TINTA ESM SINTE AZUL SECAGEM RAP 3,6L;UN;60
408192;DISJUNTOR CAIXA MOLDADA 200A;UN;60
803748;DILUENTE ORGANICO COMPOSTO P/ EQUIP 5L;UN;60
805459;CONECTOR PERF 50-185MM2 15KV COM ESTRIBO;UN;90
402689;SUPORTE TRANSF POSTE CIRC AC 230MM;UN;60
803158;SUPORTE TRANSF POSTE CIRC AC 230MM;UN;60
403647;ALCA PREFORM CABO CONC 3X95 +70;PAC;60
402443;SUPORTE TRANSF POSTE CIRC AC 270MM;UN;60
800013;SUPORTE TRANSF POSTE CIRC AC 270MM;UN;60
804565;CRUZETA POL FBV/RES 2400X112,5X90MM DAT;UN;60
401753;ALCA PREFORM DIST CAA/CA 1/0AWG 50MM2;UN;60
800256;BRACO SUPORTE TIPO C 580X365MM 851/6;UN;60
801398;SUPORTE TRANSF POSTE DUP T AC 230X125MM;UN;60
403693;CABO CONCENTRICO CU 3X35+35MM;UN;60
803908;MOITAO TRIPLO PLAST C/CORDA 5/8P 750KG;UN;60
800928;SUPORTE TRANSF POSTE CIRC AC 255MM;UN;60
400827;ARRUELA LIS QD AC 17MM 11/16 57X57MM 5MM;UN;60
802246;CONECTOR PERF 50-185MM2 15KV COM ESTRIBO;UN;90
402106;BRACO L A1010/1020 3/8P16P;UN;60
401709;SUPORTE TRANSF POSTE CIRC AC 290MM;UN;60
804894;CABO ELET CU 185MM2 90°XLPE 0,6/1KV;UN;60
800727;SUPORTE TRANSF POSTE CIRC AC 280MM;UN;60
800192;AFASTADOR REDE SEC AC 700MM 500MM;UN;60
804102;TINTA RDV CINZA N 6,5 DUPLA FUNÇAO 3.6L;UN;60
804743;BANQUETA ISOLANTE 120DAN 40KV;UN;60
805491;BATERIA RADIO PORTATIL IP-57/67;UN;60
805268;CONECTOR TIPO T P/ CABO 266 MCM PARTRIDG;UN;90
804469;ESTICADOR BRACO CABO 2 A 1/0;UN;60
805529;HELICE DJI MAVIC 3 ENTERPRISE;UN;60
410034;SENSOR HALL C/ CABOS(BMS);UN;60
801305;EMENDA PREF COND AL 300MCM 336,4MCM;UN;60
401040;CONECTOR TERMINAL CU FUND 10-300MM2;UN;90
801018;RESISTENCIA AQUEC 150W 220V;M;60
801128;GRAMPO ANCOR CABO 477MCM 8000KGF;UN;60
805445;CORDAO OPTICO SM 9/125 SC-PC/SC-PC 20M;UN;60
402017;SUPORTE TRANSF POSTE DUP T AC 210X125MM;UN;60
800398;GRAMPO ANCOR PAS AL 874,5~954MCM;-;60
402609;MEDIDOR ELETR POLIF MULT PROGR 120V 2,5A;UN;90
110487;BOLSA FERRAM LONA VD 500X200X380MM;0;60
800901;CRUZETA POL PE/FBN 90X112,5X1200MM;UN;60
805507;CORRENTE TOYAMA TC37558-68OR 1,5MM 34D;UN;60
804656;CHAVE GRIFO 12POL CHAVE GRIFO 12POL;UN;60
805404;LUVA EMENDA COMPRESSAO CABO DE AL 120MM2;UN;60
405473;CABO ELET CU 185MM2 90°XLPE 0,6/1KV;UN;60
403353;CABO ELET CU 150MM2 90°XLPE 0,6/1KV;M;60
401485;BRACO SUPORTE TIPO C 580X365MM 851/6;UN;60
801256;PERFIL U AC 76X900MM REDE COMPACTA;UN;60
