Nome Demanda	PROJETO	DEPÓSITO	DEPARTAMENTO	CÓDIGO	Descrição	UNID	MÊS	Qtd	MES	SEMANA	OBSERVAÇÃO	ESPECÍFICO?
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400030	SUPORTE AUXILIAR P/BRACO TIPO C	UN	01/10/2026	6	10	40/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400030	SUPORTE AUXILIAR P/BRACO TIPO C	UN	01/11/2026	0	11	45/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400030	SUPORTE AUXILIAR P/BRACO TIPO C	UN	01/12/2026	0	12	49/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400040	TRAFO AER 3F 15KV 75KVA 220/127V 7TP	UN	01/01/2026	6	1	jan/26		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400040	TRAFO AER 3F 15KV 75KVA 220/127V 7TP	UN	01/02/2026	6	2	jun/26		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400040	TRAFO AER 3F 15KV 75KVA 220/127V 7TP	UN	01/03/2026	6	3	out/26		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400040	TRAFO AER 3F 15KV 75KVA 220/127V 7TP	UN	01/04/2026	6	4	14/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400040	TRAFO AER 3F 15KV 75KVA 220/127V 7TP	UN	01/05/2026	6	5	18/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400040	TRAFO AER 3F 15KV 75KVA 220/127V 7TP	UN	01/06/2026	6	6	23/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400040	TRAFO AER 3F 15KV 75KVA 220/127V 7TP	UN	01/07/2026	9	7	27/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400040	TRAFO AER 3F 15KV 75KVA 220/127V 7TP	UN	01/08/2026	9	8	31/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400040	TRAFO AER 3F 15KV 75KVA 220/127V 7TP	UN	01/09/2026	9	9	36/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400040	TRAFO AER 3F 15KV 75KVA 220/127V 7TP	UN	01/10/2026	9	10	40/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400040	TRAFO AER 3F 15KV 75KVA 220/127V 7TP	UN	01/11/2026	0	11	45/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400040	TRAFO AER 3F 15KV 75KVA 220/127V 7TP	UN	01/12/2026	0	12	49/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400051	TRAFO AER 3F 15KV 225KVA 220/127V 7TP	UN	01/01/2026	0	1	jan/26		-
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400051	TRAFO AER 3F 15KV 225KVA 220/127V 7TP	UN	01/02/2026	0	2	jun/26		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400051	TRAFO AER 3F 15KV 225KVA 220/127V 7TP	UN	01/03/2026	0	3	out/26		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400051	TRAFO AER 3F 15KV 225KVA 220/127V 7TP	UN	01/04/2026	0	4	14/2026		-
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400051	TRAFO AER 3F 15KV 225KVA 220/127V 7TP	UN	01/05/2026	0	5	18/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400051	TRAFO AER 3F 15KV 225KVA 220/127V 7TP	UN	01/06/2026	0	6	23/2026		-
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400051	TRAFO AER 3F 15KV 225KVA 220/127V 7TP	UN	01/07/2026	0	7	27/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400051	TRAFO AER 3F 15KV 225KVA 220/127V 7TP	UN	01/08/2026	0	8	31/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400051	TRAFO AER 3F 15KV 225KVA 220/127V 7TP	UN	01/09/2026	0	9	36/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400051	TRAFO AER 3F 15KV 225KVA 220/127V 7TP	UN	01/10/2026	0	10	40/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400051	TRAFO AER 3F 15KV 225KVA 220/127V 7TP	UN	01/11/2026	0	11	45/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400051	TRAFO AER 3F 15KV 225KVA 220/127V 7TP	UN	01/12/2026	0	12	49/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400072	TRAFO AER 1F 7,96KV 5KVA 240/120V 7TP	UN	01/01/2026	4	1	jan/26		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A10_PREST_SERVEM	INVESTIMENTO	DTM	400072	TRAFO AER 1F 7,96KV 5KVA 240/120V 7TP	UN	01/01/2026	12	1	jan/26		
Coleta de demanda de Materiais 2026 rev.02 DIT	A41_EXTREDE_DIST	INVESTIMENTO	DIT	400072	TRAFO AER 1F 7,96KV 5KVA 240/120V 7TP	UN	01/01/2026	8	1	jan/26		
Coleta de demanda de Materiais 2026 rev.02 DIT	A46_ADEQ_REDISTI	INVESTIMENTO	DIT	400072	TRAFO AER 1F 7,96KV 5KVA 240/120V 7TP	UN	01/01/2026	241	1	jan/26		
R3 DEMANDA 2026-2035 27-11 SUPORTE L	A11_EXTENS_REDMT	INVESTIMENTO	DTE	400072	TRAFO AER 1F 7,96KV 5KVA 240/120V 7TP	UN	01/01/2026	7	1	jan/26		-
R3 DEMANDA 2026-2035 27-11 SUPORTE L	A32_INSTALAÇÃO_D	INVESTIMENTO	DTE	400072	TRAFO AER 1F 7,96KV 5KVA 240/120V 7TP	UN	01/01/2026	0	1	jan/26		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400072	TRAFO AER 1F 7,96KV 5KVA 240/120V 7TP	UN	01/02/2026	4	2	jun/26		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A10_PREST_SERVEM	INVESTIMENTO	DTM	400072	TRAFO AER 1F 7,96KV 5KVA 240/120V 7TP	UN	01/02/2026	12	2	jun/26		
Coleta de demanda de Materiais 2026 rev.02 DIT	A41_EXTREDE_DIST	INVESTIMENTO	DIT	400072	TRAFO AER 1F 7,96KV 5KVA 240/120V 7TP	UN	01/02/2026	1	2	jun/26		
Coleta de demanda de Materiais 2026 rev.02 DIT	A46_ADEQ_REDISTI	INVESTIMENTO	DIT	400072	TRAFO AER 1F 7,96KV 5KVA 240/120V 7TP	UN	01/02/2026	85	2	jun/26		
R3 DEMANDA 2026-2035 27-11 SUPORTE L	A11_EXTENS_REDMT	INVESTIMENTO	DTE	400072	TRAFO AER 1F 7,96KV 5KVA 240/120V 7TP	UN	01/02/2026	7	2	jun/26		
R3 DEMANDA 2026-2035 27-11 SUPORTE L	A32_INSTALAÇÃO_D	INVESTIMENTO	DTE	400072	TRAFO AER 1F 7,96KV 5KVA 240/120V 7TP	UN	01/02/2026	0	2	jun/26		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400073	TRAFO AER 3F 15KV 45KVA 220/127V 7TP	UN	01/01/2026	0	1	jan/26		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400073	TRAFO AER 3F 15KV 45KVA 220/127V 7TP	UN	01/02/2026	0	2	jun/26		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400073	TRAFO AER 3F 15KV 45KVA 220/127V 7TP	UN	01/03/2026	0	3	out/26		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400073	TRAFO AER 3F 15KV 45KVA 220/127V 7TP	UN	01/04/2026	0	4	14/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400073	TRAFO AER 3F 15KV 45KVA 220/127V 7TP	UN	01/05/2026	0	5	18/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400073	TRAFO AER 3F 15KV 45KVA 220/127V 7TP	UN	01/06/2026	0	6	23/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400073	TRAFO AER 3F 15KV 45KVA 220/127V 7TP	UN	01/07/2026	0	7	27/2026		-
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400073	TRAFO AER 3F 15KV 45KVA 220/127V 7TP	UN	01/08/2026	0	8	31/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400073	TRAFO AER 3F 15KV 45KVA 220/127V 7TP	UN	01/09/2026	0	9	36/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400073	TRAFO AER 3F 15KV 45KVA 220/127V 7TP	UN	01/10/2026	0	10	40/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400073	TRAFO AER 3F 15KV 45KVA 220/127V 7TP	UN	01/11/2026	0	11	45/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400073	TRAFO AER 3F 15KV 45KVA 220/127V 7TP	UN	01/12/2026	0	12	49/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400111	ISOLADOR CAST PORC 13,8KV 90MM 3400DAN	UN	01/01/2026	2	1	jan/26		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400111	ISOLADOR CAST PORC 13,8KV 90MM 3400DAN	UN	01/02/2026	2	2	jun/26		-
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400111	ISOLADOR CAST PORC 13,8KV 90MM 3400DAN	UN	01/03/2026	2	3	out/26		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400111	ISOLADOR CAST PORC 13,8KV 90MM 3400DAN	UN	01/04/2026	2	4	14/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400111	ISOLADOR CAST PORC 13,8KV 90MM 3400DAN	UN	01/05/2026	2	5	18/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400111	ISOLADOR CAST PORC 13,8KV 90MM 3400DAN	UN	01/06/2026	2	6	23/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400111	ISOLADOR CAST PORC 13,8KV 90MM 3400DAN	UN	01/07/2026	3	7	27/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400111	ISOLADOR CAST PORC 13,8KV 90MM 3400DAN	UN	01/08/2026	3	8	31/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400111	ISOLADOR CAST PORC 13,8KV 90MM 3400DAN	UN	01/09/2026	3	9	36/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400111	ISOLADOR CAST PORC 13,8KV 90MM 3400DAN	UN	01/10/2026	3	10	40/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400111	ISOLADOR CAST PORC 13,8KV 90MM 3400DAN	UN	01/11/2026	0	11	45/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400111	ISOLADOR CAST PORC 13,8KV 90MM 3400DAN	UN	01/12/2026	0	12	49/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400122	LACO PREF TOPO CAA/CA 4/0AWG VM	UN	01/01/2026	40	1	jan/26		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400122	LACO PREF TOPO CAA/CA 4/0AWG VM	UN	01/02/2026	40	2	jun/26		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400122	LACO PREF TOPO CAA/CA 4/0AWG VM	UN	01/03/2026	40	3	out/26		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400122	LACO PREF TOPO CAA/CA 4/0AWG VM	UN	01/04/2026	40	4	14/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400122	LACO PREF TOPO CAA/CA 4/0AWG VM	UN	01/05/2026	40	5	18/2026		-
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400122	LACO PREF TOPO CAA/CA 4/0AWG VM	UN	01/06/2026	40	6	23/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400122	LACO PREF TOPO CAA/CA 4/0AWG VM	UN	01/07/2026	60	7	27/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400122	LACO PREF TOPO CAA/CA 4/0AWG VM	UN	01/08/2026	60	8	31/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400122	LACO PREF TOPO CAA/CA 4/0AWG VM	UN	01/09/2026	60	9	36/2026		-
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400122	LACO PREF TOPO CAA/CA 4/0AWG VM	UN	01/10/2026	60	10	40/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400122	LACO PREF TOPO CAA/CA 4/0AWG VM	UN	01/11/2026	0	11	45/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400122	LACO PREF TOPO CAA/CA 4/0AWG VM	UN	01/12/2026	0	12	49/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400130	LACO PREF ROLD CA 4/0AWG LJ	UN	01/01/2026	15	1	jan/26		-
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400130	LACO PREF ROLD CA 4/0AWG LJ	UN	01/02/2026	15	2	jun/26		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400130	LACO PREF ROLD CA 4/0AWG LJ	UN	01/03/2026	15	3	out/26		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400130	LACO PREF ROLD CA 4/0AWG LJ	UN	01/04/2026	15	4	14/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400130	LACO PREF ROLD CA 4/0AWG LJ	UN	01/05/2026	15	5	18/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400130	LACO PREF ROLD CA 4/0AWG LJ	UN	01/06/2026	15	6	23/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400130	LACO PREF ROLD CA 4/0AWG LJ	UN	01/07/2026	23	7	27/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400130	LACO PREF ROLD CA 4/0AWG LJ	UN	01/08/2026	23	8	31/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400130	LACO PREF ROLD CA 4/0AWG LJ	UN	01/09/2026	23	9	36/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400130	LACO PREF ROLD CA 4/0AWG LJ	UN	01/10/2026	23	10	40/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400130	LACO PREF ROLD CA 4/0AWG LJ	UN	01/11/2026	0	11	45/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400130	LACO PREF ROLD CA 4/0AWG LJ	UN	01/12/2026	0	12	49/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400140	ISOLADOR RODL PORC 15KV 81X47MM 1350DAN	UN	01/01/2026	10	1	jan/26		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400140	ISOLADOR RODL PORC 15KV 81X47MM 1350DAN	UN	01/02/2026	10	2	jun/26		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400140	ISOLADOR RODL PORC 15KV 81X47MM 1350DAN	UN	01/03/2026	10	3	out/26		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400140	ISOLADOR RODL PORC 15KV 81X47MM 1350DAN	UN	01/04/2026	10	4	14/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400140	ISOLADOR RODL PORC 15KV 81X47MM 1350DAN	UN	01/05/2026	10	5	18/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400140	ISOLADOR RODL PORC 15KV 81X47MM 1350DAN	UN	01/06/2026	10	6	23/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400140	ISOLADOR RODL PORC 15KV 81X47MM 1350DAN	UN	01/07/2026	15	7	27/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400140	ISOLADOR RODL PORC 15KV 81X47MM 1350DAN	UN	01/08/2026	15	8	31/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400140	ISOLADOR RODL PORC 15KV 81X47MM 1350DAN	UN	01/09/2026	15	9	36/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400140	ISOLADOR RODL PORC 15KV 81X47MM 1350DAN	UN	01/10/2026	15	10	40/2026		
