Tipo de depósito	Posição no depósito	Produto	Descrição breve do produto	UM básica	Qtd.disponível UMB	Tipo de estoque	Denominação do tipo de estoque	Preço do material	Valor total
GA01	1G-04-02A	800741	CABO ELET CU 120MM2 90°XLPE 0,6/1KV	M	389	F3	Utilização livre depósito CUST	96,14	37398,46
GA01	1G-04-02A	800804	CABO  MULT 1X16+1X16MM² XLPE 0,6/1 KV	M	770	F3	Utilização livre depósito CUST	3,23	2487,1
GA01	1G-04-02A	800985	CABO ELET FLEX 3X16MM2 CU TEMP MOLE	M	300	F3	Utilização livre depósito CUST	20,03	6009
GA01	1G-04-02A	800999	CABO ELET BT 3X10MM2 0,6/1 KV	M	165	F3	Utilização livre depósito CUST	10,45	1724,25
GA01	1G-04-02A	801185	CABO  MULT 2X10+1X10 MM² XLPE 0,6/1 KV	M	164	F3	Utilização livre depósito CUST	3,03	496,92
GA01	1G-04-02A	802451	CABO TELEFONICO CTP APL 30P TERMOPLAS	UN	2016	F3	Utilização livre depósito CUST	4,32	8709,12
GA01	1G-04-02A	803144	CABO ELET 15KV AL PROT XLPE 150MM2 1F MT	M	1017	F3	Utilização livre depósito CUST	16,97	17258,49
GA01	1G-04-02A	804633	CABO AL CONCENTRICO 2F 2X16+16MM2	M	1000	F3	Utilização livre depósito CUST	12,63	12630
GA01	1G-04-02A	804637	CABO AL CONCENTRICO 3F 3X10+10MM2	M	999	F3	Utilização livre depósito CUST	12,1	12087,9
GA01	1G-04-02A	804638	CABO AL CONCENTRICO 2F 2X25+25MM2	M	257	F3	Utilização livre depósito CUST	16,96	4358,72
GA01	1G-04-02A	804639	CABO AL CONCENTRICO 3F 3X25+25MM2	M	967	F3	Utilização livre depósito CUST	22,88	22124,96
GA01	1G-04-02A	805324	CABO MULT 3X120+1X95MM² XLPE 0,6/1 KV	M	136	F3	Utilização livre depósito CUST	46,94	6383,84
GA01	1G-04-03A	401447	CABO CU PROTEGIDO EPR 500MM2 8,7/15KV	M	1918	L2	Utilização livre depósito INVT	424,41	814018,38
GA01	1G-04-03A	403663	CABO CONCENTRICO CU 3X70+70MM	M	584	L2	Utilização livre depósito INVT	328,27	191709,68
GA01	1G-04-03A	403852	CABO AL CONCENTRICO 3F 3X70+70MM2	M	9953	L2	Utilização livre depósito INVT	64,46	641570,38
GA01	1G-05-01A	400301	CABO ELETR NU AL CAA 795MCM TERN - LDR	KG	1183	L2	Utilização livre depósito INVT	24,35	28806,05
GA01	1G-05-01A	400713	CABO ELETR NU CAA AL 954MCM MAGNOLIA LDR	KG	15621	L2	Utilização livre depósito INVT	10	156210
GA01	1G-05-01A	400719	CABO ELETR NU CAA AL 477MCM HAWK	KG	2739	L2	Utilização livre depósito INVT	22,55	61764,45
GA01	1G-05-01A	800741	CABO ELET CU 120MM2 90°XLPE 0,6/1KV	M	3966	F3	Utilização livre depósito CUST	96,14	381291,24
GA01	1G-05-02A	403656	CABO AL CONCENTRICO 3F 3X25+25MM2	M	44834	L2	Utilização livre depósito INVT	24,04	1077809,36
GA01	1G-05-03A	402269	CABO ELET NU CU 95MM2 MEIO DURO	KG	5065	L2	Utilização livre depósito INVT	162,73	824227,45
GA01	1G-05-03A	402303	CABO  MULT 2X10+1X10 MM² XLPE 0,6/1 KV	M	850	L2	Utilização livre depósito INVT	3,19	2711,5
GA01	1G-05-03A	405473	CABO ELET CU 185MM2 90°XLPE 0,6/1KV	M	4386	L2	Utilização livre depósito INVT	134	587724
GA01	1G-05-03A	803659	CORDOALHA AC 7,94MM 5/16P 7F (EHS)	KG	616	F3	Utilização livre depósito CUST	29,69	18289,04
GA01	1G-05-03A	804894	CABO ELET CU 185MM2 90°XLPE 0,6/1KV	M	3971	F3	Utilização livre depósito CUST	149,23	592592,33
GA01	1G-05-04A	400460	CABO ELET NU CA AL 2/0AWG 67,40MM2 ASTER	KG	936	L2	Utilização livre depósito INVT	24,68	23100,48
GA01	1G-05-04A	400594	CABO DE AÇO REVESTIDOS DE COBRE 35MM²	KG	2698	L2	Utilização livre depósito INVT	94,86	255932,28
GA01	1G-05-04A	401981	CABO  MULT 1X10+1X10MM² XLPE 0,6/1 KV	M	138503	L2	Utilização livre depósito INVT	1,79	247920,37
GA01	1G-05-04A	403574	CABO AL CONCENTRICO 3F 3X95+95MM2	M	562	L2	Utilização livre depósito INVT	64,34	36159,08
GA01	1G-05-04A	800682	CABO NU CA AL 4/0 AWG 7X4,417MM OXLIP	KG	186	F3	Utilização livre depósito CUST	28,27	5258,22
GA01	1G-05-04A	800775	CABO  MULT 2X25+1X25MM² XLPE 0,6/1 KV	M	1155	F3	Utilização livre depósito CUST	6,35	7334,25
GA01	1G-05-05A	400442	CABO  MULT 2X16+1X16MM² XLPE 0,6/1 KV	M	1087	L2	Utilização livre depósito INVT	4,89	5315,43
GA01	1G-05-05A	400450	CABO  MULT 1X16+1X16MM² XLPE 0,6/1 KV	M	15	L2	Utilização livre depósito INVT	3,33	49,95
GA01	1G-05-05A	400603	CABO NU CA AL 4/0 AWG 7X4,417MM OXLIP	KG	358,5	L2	Utilização livre depósito INVT	28,6	10253,1
GA01	1G-05-05A	401786	CABO  MULT 3X35+1X35 MM² XLPE 0,6/1 KV	M	2088	L2	Utilização livre depósito INVT	14,2	29649,6
GA01	1G-05-05A	401791	CABO AL CONCENTRICO 1F 1X10+10MM2	M	600	L2	Utilização livre depósito INVT	4,44	2664
GA01	1G-05-05A	402269	CABO ELET NU CU 95MM2 MEIO DURO	KG	10	L2	Utilização livre depósito INVT	162,73	1627,3
GA01	1G-05-05A	407336	CABO ELETR 15KV AL PROT XLPE 70MM2 1F MT	M	89	L2	Utilização livre depósito INVT	8,15	725,35
GA01	1G-05-05A	407971	CABO DE COBRE NU 150MM² MEIO-DURO	M	56	L2	Utilização livre depósito INVT	127,08	7116,48
GA01	1G-05-05A	800062	CABO  MULT 2X16+1X16MM² XLPE 0,6/1 KV	M	802	F3	Utilização livre depósito CUST	4,75	3809,5
GA01	1G-05-05A	800762	CABO  MULT 3X70+1X70 MM² XLPE 0,6/1 KV	M	40	F3	Utilização livre depósito CUST	26,01	1040,4
GA01	1G-05-05A	800810	CABO ELET 15KV AL PROT XLPE 120MM2 1F MT	M	251	F3	Utilização livre depósito CUST	12,42	3117,42
GA01	1G-05-05A	801316	CORDOALHA AC 9,5MM 3/8P 7F 4900DAN	KG	170	F3	Utilização livre depósito CUST	24,07	4091,9
GA01	BLOCO 01	402623	CONJUNTO CUBICULOS 15KV	CJ	1	L2	Utilização livre depósito INVT	881158,03	881158,03
GA02	2G-01-01A	800651	PARAFUSO CAB ABA PESC QD EM AC 5/8PX45MM	UN	176	F3	Utilização livre depósito CUST	4,85	853,6
GA02	2G-01-01A	800700	LUVA EMENDA COMPR 185MM2	UN	260	F3	Utilização livre depósito CUST	4,99	1297,4
GA02	2G-01-01A	800722	PARAFUSO CAB ABA AC 16MM 125MM	UN	188	F3	Utilização livre depósito CUST	6	1128
GA02	2G-01-01A	800746	PARAFUSO CAB QD AC 12MM 300MM	UN	5	F3	Utilização livre depósito CUST	2,58	12,9
GA02	2G-01-01A	800749	PARAFUSO CAB ABA AC 5/8X6P	UN	843	F3	Utilização livre depósito CUST	5,78	4872,54
GA02	2G-01-01A	800924	PARAFUSO ANTIVANDALISMO 5/8X2P	UN	853	F3	Utilização livre depósito CUST	22,58	19260,74
GA02	2G-01-01A	800976	PARAFUSO SXT AC 11,11MM 7/16P 31,75MM	UN	563	F3	Utilização livre depósito CUST	1,05	591,15
GA02	2G-01-01A	801191	PARAFUSO CAB QD MAQ AC 5/8X6P	UN	158	F3	Utilização livre depósito CUST	6,48	1023,84
GA02	2G-01-01A	801347	PARAFUSO CAB QD MAQ AC 5/8X8P	UN	265	F3	Utilização livre depósito CUST	4,81	1274,65
GA02	2G-01-01A	801745	BUCHA NYLON PARAFUSO S-8	UN	12955	F3	Utilização livre depósito CUST	0,14	1813,7
GA02	2G-01-01A	803203	TERMINAL DE PRESSÃO 6MM2	UN	400	F3	Utilização livre depósito CUST	0,96	384
GA02	2G-01-01A	804326	TERMINAL DE PRESSAO 16MM²	UN	400	F3	Utilização livre depósito CUST	0,85	340
GA02	2G-01-01A	805548	PARAFUSO AUTO BROCANTE 14 X 1" CHAV. 3/8	UN	1520	F3	Utilização livre depósito CUST	0,29	440,8
GA02	2G-01-01B	410017	TERMINAL PRE ISOL TUB SIMPLES 2,5MM² AZ	UN	100	L2	Utilização livre depósito INVT	0,59	59
GA02	2G-01-01B	800012	TERMINAL PRE ISOL PINO TUBULAR 95MM2 AZ	UN	150	F3	Utilização livre depósito CUST	5,16	774
GA02	2G-01-01B	800014	TERMINAL COMPRESSAO OLHAL 120MM2 1F	UN	115	F3	Utilização livre depósito CUST	6,31	725,65
GA02	2G-01-01B	800150	TERMINAL PRESSAO CU 50MM2	UN	190	F3	Utilização livre depósito CUST	1,94	368,6
GA02	2G-01-01B	800486	LUVA EMENDA HASTE PROL 5/8PX70MM	UN	8	F3	Utilização livre depósito CUST	9,12	72,96
GA02	2G-01-01B	800733	TERMINAL ELET CU ELET 240MM2 LING RET 2F	UN	10	F3	Utilização livre depósito CUST	71,63	716,3
GA02	2G-01-01B	800769	PARA-RAIO FRANKLIN CU 300MM 4P 3/4PBSP	UN	28	F3	Utilização livre depósito CUST	10,95	306,6
GA02	2G-01-01B	800939	PARAFUSO CAB CHATA 4,2X25 S6	UN	4675	F3	Utilização livre depósito CUST	0,09	420,75
