material,descricao,classe,periodo_necessidade,data_pedido,lead_time_dias,data_chegada,periodo_entrega,quantidade
110730,ALICATE AMPERIMETRO DIGITAL CAT III 600V,C,2026-09,01/09/2026,30,01/10/2026,2026-10,8
110841,"ELETRODO 6013 OK SERRAL 3,5MM",C,2026-03,25/03/2026,30,24/04/2026,2026-04,80
110960,LIMA P/MOTOSERRA GROSSA 8X7/32P S/CABO,C,2026-06,01/06/2026,30,01/07/2026,2026-07,8
111059,MOTOSERRA MS-250 16 28DT 30CM,C,2026-05,01/05/2026,30,01/06/2026,2026-06,2
111352,CORRENTE FINA 3/8 STIHL MS210/250 PICCO,C,2026-06,01/06/2026,30,01/07/2026,2026-07,10
111453,LIMA P/MOTOSERRA FINA 8X3/16P S/CABO,C,2026-06,01/06/2026,30,01/07/2026,2026-07,20
111596,CORRENTE FINA 3/8 STIHL MS-170/180 22DT,C,2026-06,01/06/2026,30,01/07/2026,2026-07,20
111811,KIT FERRAMENTAS C/ CHAVES FENDA/PHILIPS,C,2026-10,01/10/2026,30,01/11/2026,2026-11,2
112008,GASOLINA COMUM,C,2026-03,25/03/2026,30,24/04/2026,2026-04,90
112008,GASOLINA COMUM,C,2026-06,01/06/2026,30,01/07/2026,2026-07,100
112008,GASOLINA COMUM,C,2026-10,01/10/2026,30,01/11/2026,2026-11,50
112065,CANETA MARCA TEXTO AM,C,2026-03,25/03/2026,30,24/04/2026,2026-04,20
112066,PAPEL AUTO ADES 38X50MM 100FL POST IT,C,2026-03,25/03/2026,30,24/04/2026,2026-04,20
112066,PAPEL AUTO ADES 38X50MM 100FL POST IT,C,2026-10,01/10/2026,30,01/11/2026,2026-11,20
112068,BLOCO COLORIDO PARA RECADO,C,2026-10,01/10/2026,30,01/11/2026,2026-11,30
112104,CANETA MARCA TEXTO VD,C,2026-10,01/10/2026,30,01/11/2026,2026-11,20
112242,CLIPE PAPEL AC NIQ TAM 8/0,C,2026-03,25/03/2026,30,24/04/2026,2026-04,20
112242,CLIPE PAPEL AC NIQ TAM 8/0,C,2026-10,01/10/2026,30,01/11/2026,2026-11,20
112331,SOLDA ESTANHO CARRETEL,C,2026-08,01/08/2026,30,01/09/2026,2026-09,40
113893,MULTIMETRO DIG 10A AC/DC TEMP 17B+ FLUKE,C,2026-10,01/10/2026,30,01/11/2026,2026-11,2
120117,CONE SINALIZACAO PVC LJ 75CM,C,2026-05,01/05/2026,30,01/06/2026,2026-06,66
120144,"VARA MANOBRA TELESC FIB VID TRIANG 7,77M",C,2026-05,01/05/2026,30,01/06/2026,2026-06,16
120226,FITA SINAL LJ 30M ATENC AFASTE-SE PERIGO,C,2026-05,01/05/2026,30,01/06/2026,2026-06,24
400011,SUPORTE TRANSF POSTE DUP T AC 210X115MM,C,2026-07,01/07/2026,30,01/08/2026,2026-08,1130
400011,SUPORTE TRANSF POSTE DUP T AC 210X115MM,C,2026-10,01/10/2026,30,01/11/2026,2026-11,22
400019,SUPORTE HORIZONTAL,C,2026-03,25/03/2026,30,24/04/2026,2026-04,135
400019,SUPORTE HORIZONTAL,C,2026-06,01/06/2026,30,01/07/2026,2026-07,118
400019,SUPORTE HORIZONTAL,C,2026-09,01/09/2026,30,01/10/2026,2026-10,25
400028,SWITCH OPTICO RUGGEDCOM 19P RSG2100,C,2026-06,01/06/2026,30,01/07/2026,2026-07,25
400030,SUPORTE AUXILIAR P/BRACO TIPO C,C,2026-03,25/03/2026,30,24/04/2026,2026-04,73
400030,SUPORTE AUXILIAR P/BRACO TIPO C,C,2026-07,01/07/2026,30,01/08/2026,2026-08,64
400040,TRAFO AER 3F 15KV 75KVA 220/127V 7TP,A,2026-03,25/03/2026,30,24/04/2026,2026-04,437
400040,TRAFO AER 3F 15KV 75KVA 220/127V 7TP,A,2026-04,01/04/2026,30,01/05/2026,2026-05,145
400040,TRAFO AER 3F 15KV 75KVA 220/127V 7TP,A,2026-05,01/05/2026,30,01/06/2026,2026-06,292
400040,TRAFO AER 3F 15KV 75KVA 220/127V 7TP,A,2026-06,01/06/2026,30,01/07/2026,2026-07,156
400040,TRAFO AER 3F 15KV 75KVA 220/127V 7TP,A,2026-07,01/07/2026,30,01/08/2026,2026-08,310
400040,TRAFO AER 3F 15KV 75KVA 220/127V 7TP,A,2026-08,01/08/2026,30,01/09/2026,2026-09,172
400040,TRAFO AER 3F 15KV 75KVA 220/127V 7TP,A,2026-09,01/09/2026,30,01/10/2026,2026-10,9
400051,TRAFO AER 3F 15KV 225KVA 220/127V 7TP,A,2026-07,01/07/2026,30,01/08/2026,2026-08,7
400051,TRAFO AER 3F 15KV 225KVA 220/127V 7TP,A,2026-08,01/08/2026,30,01/09/2026,2026-09,9
400051,TRAFO AER 3F 15KV 225KVA 220/127V 7TP,A,2026-09,01/09/2026,30,01/10/2026,2026-10,2
400069,"TRAFO CRTE 15KV; 5-5A; 0,3C12,5 BARRA",C,2026-08,01/08/2026,30,01/09/2026,2026-09,8
400072,"TRAFO AER 1F 7,96KV 5KVA 240/120V 7TP",A,2026-03,25/03/2026,30,24/04/2026,2026-04,542
400072,"TRAFO AER 1F 7,96KV 5KVA 240/120V 7TP",A,2026-05,01/05/2026,30,01/06/2026,2026-06,406
400072,"TRAFO AER 1F 7,96KV 5KVA 240/120V 7TP",A,2026-07,01/07/2026,30,01/08/2026,2026-08,296
400073,TRAFO AER 3F 15KV 45KVA 220/127V 7TP,A,2026-03,25/03/2026,30,24/04/2026,2026-04,143
400073,TRAFO AER 3F 15KV 45KVA 220/127V 7TP,A,2026-05,01/05/2026,30,01/06/2026,2026-06,74
400073,TRAFO AER 3F 15KV 45KVA 220/127V 7TP,A,2026-06,01/06/2026,30,01/07/2026,2026-07,7
400073,TRAFO AER 3F 15KV 45KVA 220/127V 7TP,A,2026-07,01/07/2026,30,01/08/2026,2026-08,57
400073,TRAFO AER 3F 15KV 45KVA 220/127V 7TP,A,2026-08,01/08/2026,30,01/09/2026,2026-09,3
400074,"TRAFO CRTE 15KV; 150-5A; 0,3C12,5 BARRA",C,2026-06,01/06/2026,30,01/07/2026,2026-07,22
400078,"TRAFO CRTE 15KV; 300-5A; 0,3C12,5 BARRA",C,2026-03,25/03/2026,30,24/04/2026,2026-04,12
400078,"TRAFO CRTE 15KV; 300-5A; 0,3C12,5 BARRA",C,2026-09,01/09/2026,30,01/10/2026,2026-10,6
400091,"TRAFO CRTE 15KV 20-5A 13,8KV 0,3C12,5",C,2026-03,25/03/2026,30,24/04/2026,2026-04,2
400091,"TRAFO CRTE 15KV 20-5A 13,8KV 0,3C12,5",C,2026-09,01/09/2026,30,01/10/2026,2026-10,1
400106,LUVA EMENDA 185MM 251MM,C,2026-10,01/10/2026,30,01/11/2026,2026-11,1
400111,"ISOLADOR CAST PORC 13,8KV 90MM 3400DAN",C,2026-05,01/05/2026,30,01/06/2026,2026-06,445
400111,"ISOLADOR CAST PORC 13,8KV 90MM 3400DAN",C,2026-09,01/09/2026,30,01/10/2026,2026-10,111
400111,"ISOLADOR CAST PORC 13,8KV 90MM 3400DAN",C,2026-10,01/10/2026,30,01/11/2026,2026-11,2
400137,LACO PREF CA 2AWG PESC 57MM PURPURA,C,2026-03,25/03/2026,30,24/04/2026,2026-04,2599
400137,LACO PREF CA 2AWG PESC 57MM PURPURA,C,2026-07,01/07/2026,30,01/08/2026,2026-08,2199
400140,ISOLADOR RODL PORC 15KV 81X47MM 1350DAN,C,2026-06,01/06/2026,30,01/07/2026,2026-07,7151
400140,ISOLADOR RODL PORC 15KV 81X47MM 1350DAN,C,2026-09,01/09/2026,30,01/10/2026,2026-10,2307
400140,ISOLADOR RODL PORC 15KV 81X47MM 1350DAN,C,2026-10,01/10/2026,30,01/11/2026,2026-11,57
400142,GRAMPO LV OLHAL 18MM 10-120/10-70MM2,C,2026-04,01/04/2026,30,01/05/2026,2026-05,2274
400142,GRAMPO LV OLHAL 18MM 10-120/10-70MM2,C,2026-07,01/07/2026,30,01/08/2026,2026-08,2515
400152,MED EL 3E 4F 120 240V 200A TB GD C,A,2026-08,01/08/2026,30,01/09/2026,2026-09,2664
400152,MED EL 3E 4F 120 240V 200A TB GD C,A,2026-10,01/10/2026,30,01/11/2026,2026-11,2664
400164,MANILHA SAPATILHA 6800KGF,C,2026-03,25/03/2026,30,24/04/2026,2026-04,1328
400164,MANILHA SAPATILHA 6800KGF,C,2026-06,01/06/2026,30,01/07/2026,2026-07,1668
400164,MANILHA SAPATILHA 6800KGF,C,2026-09,01/09/2026,30,01/10/2026,2026-10,527
400183,MED EL 2E 3F 120V 120A TB GD B,C,2026-03,25/03/2026,30,24/04/2026,2026-04,1536
400183,MED EL 2E 3F 120V 120A TB GD B,C,2026-07,01/07/2026,30,01/08/2026,2026-08,2290
400183,MED EL 2E 3F 120V 120A TB GD B,C,2026-10,01/10/2026,30,01/11/2026,2026-11,210
400188,MONITOR 19P LCD 1680X1050,C,2026-05,01/05/2026,30,01/06/2026,2026-06,36
400193,PARAFUSO OLHAL AC 5/8P 20P,C,2026-03,25/03/2026,30,24/04/2026,2026-04,2465
400193,PARAFUSO OLHAL AC 5/8P 20P,C,2026-07,01/07/2026,30,01/08/2026,2026-08,3518
400210,POSTE CONCRETO TRON CON 13M 1000KGF,C,2026-03,25/03/2026,30,24/04/2026,2026-04,24
400210,POSTE CONCRETO TRON CON 13M 1000KGF,C,2026-06,01/06/2026,30,01/07/2026,2026-07,23
400210,POSTE CONCRETO TRON CON 13M 1000KGF,C,2026-09,01/09/2026,30,01/10/2026,2026-10,9
400210,POSTE CONCRETO TRON CON 13M 1000KGF,C,2026-10,01/10/2026,30,01/11/2026,2026-11,1
400216,POSTE FIBRA VIDRO 9M 200DAN,C,2026-03,25/03/2026,30,24/04/2026,2026-04,9
400221,POSTE FIBRA VIDRO E-CR 11M 300DAN,C,2026-03,25/03/2026,30,24/04/2026,2026-04,233
400221,POSTE FIBRA VIDRO E-CR 11M 300DAN,C,2026-07,01/07/2026,30,01/08/2026,2026-08,259
400224,POSTE CONC DUPL T 11 M 300 DAN,A,2026-03,25/03/2026,30,24/04/2026,2026-04,639
400224,POSTE CONC DUPL T 11 M 300 DAN,A,2026-04,01/04/2026,30,01/05/2026,2026-05,11
400224,POSTE CONC DUPL T 11 M 300 DAN,A,2026-05,01/05/2026,30,01/06/2026,2026-06,517
400224,POSTE CONC DUPL T 11 M 300 DAN,A,2026-06,01/06/2026,30,01/07/2026,2026-07,65
400224,POSTE CONC DUPL T 11 M 300 DAN,A,2026-07,01/07/2026,30,01/08/2026,2026-08,402
400224,POSTE CONC DUPL T 11 M 300 DAN,A,2026-08,01/08/2026,30,01/09/2026,2026-09,31
400227,POSTE FIBRA VIDRO E-CR 18M 600DAN,C,2026-03,25/03/2026,30,24/04/2026,2026-04,27
400227,POSTE FIBRA VIDRO E-CR 18M 600DAN,C,2026-07,01/07/2026,30,01/08/2026,2026-08,18
400228,POSTE CONCRETO CIRC 9M 300DAN,C,2026-03,25/03/2026,30,24/04/2026,2026-04,25
400228,POSTE CONCRETO CIRC 9M 300DAN,C,2026-07,01/07/2026,30,01/08/2026,2026-08,22
400243,TRAFO AER 3F 15KV 150KVA 220/127V 7TP,A,2026-03,25/03/2026,30,24/04/2026,2026-04,113
400243,TRAFO AER 3F 15KV 150KVA 220/127V 7TP,A,2026-04,01/04/2026,30,01/05/2026,2026-05,22
400243,TRAFO AER 3F 15KV 150KVA 220/127V 7TP,A,2026-05,01/05/2026,30,01/06/2026,2026-06,51
400243,TRAFO AER 3F 15KV 150KVA 220/127V 7TP,A,2026-06,01/06/2026,30,01/07/2026,2026-07,51
400243,TRAFO AER 3F 15KV 150KVA 220/127V 7TP,A,2026-07,01/07/2026,30,01/08/2026,2026-08,100
400243,TRAFO AER 3F 15KV 150KVA 220/127V 7TP,A,2026-08,01/08/2026,30,01/09/2026,2026-09,76
400243,TRAFO AER 3F 15KV 150KVA 220/127V 7TP,A,2026-09,01/09/2026,30,01/10/2026,2026-10,25
400252,"TRAFO DE CORRENTE 0,6KV 600-5A 0,3C",C,2026-03,25/03/2026,30,24/04/2026,2026-04,3
400252,"TRAFO DE CORRENTE 0,6KV 600-5A 0,3C",C,2026-07,01/07/2026,30,01/08/2026,2026-08,2
400288,"TRAFO AER 3F 15KV 112,5KVA 220/127V 7TP",A,2026-03,25/03/2026,30,24/04/2026,2026-04,159
400288,"TRAFO AER 3F 15KV 112,5KVA 220/127V 7TP",A,2026-04,01/04/2026,30,01/05/2026,2026-05,39
400288,"TRAFO AER 3F 15KV 112,5KVA 220/127V 7TP",A,2026-05,01/05/2026,30,01/06/2026,2026-06,109
400288,"TRAFO AER 3F 15KV 112,5KVA 220/127V 7TP",A,2026-06,01/06/2026,30,01/07/2026,2026-07,82
400288,"TRAFO AER 3F 15KV 112,5KVA 220/127V 7TP",A,2026-07,01/07/2026,30,01/08/2026,2026-08,173
400288,"TRAFO AER 3F 15KV 112,5KVA 220/127V 7TP",A,2026-08,01/08/2026,30,01/09/2026,2026-09,104
400288,"TRAFO AER 3F 15KV 112,5KVA 220/127V 7TP",A,2026-09,01/09/2026,30,01/10/2026,2026-10,27
400292,"TRAFO CRTE 0,6KV;300-5A 0,3C12,5 JANELA",C,2026-04,01/04/2026,30,01/05/2026,2026-05,117
400292,"TRAFO CRTE 0,6KV;300-5A 0,3C12,5 JANELA",C,2026-07,01/07/2026,30,01/08/2026,2026-08,101
400316,"CABO ELETR 0,6/1KV CU PVC 16MM2 BT",C,2026-08,01/08/2026,30,01/09/2026,2026-09,392
400318,CONECTOR AUTO PERF 50-120/4-35MM2,C,2026-03,25/03/2026,30,24/04/2026,2026-04,98
400318,CONECTOR AUTO PERF 50-120/4-35MM2,C,2026-07,01/07/2026,30,01/08/2026,2026-08,106
400340,ESPACADOR MONOFAS COM GARRA 15KV,C,2026-03,25/03/2026,30,24/04/2026,2026-04,35
400340,ESPACADOR MONOFAS COM GARRA 15KV,C,2026-07,01/07/2026,30,01/08/2026,2026-08,33
400344,CINTA POSTE ACO 290MM,C,2026-03,25/03/2026,30,24/04/2026,2026-04,275
400344,CINTA POSTE ACO 290MM,C,2026-07,01/07/2026,30,01/08/2026,2026-08,219
400359,"ALCA PREFORM ESTAI 3/8P 9,5MM 889MM",C,2026-03,25/03/2026,30,24/04/2026,2026-04,1890
400359,"ALCA PREFORM ESTAI 3/8P 9,5MM 889MM",C,2026-07,01/07/2026,30,01/08/2026,2026-08,1570
400366,ALCA PREFORM DIST 4/0 AWG 120MM2,C,2026-05,01/05/2026,30,01/06/2026,2026-06,1563
400366,ALCA PREFORM DIST 4/0 AWG 120MM2,C,2026-09,01/09/2026,30,01/10/2026,2026-10,358
400366,ALCA PREFORM DIST 4/0 AWG 120MM2,C,2026-10,01/10/2026,30,01/11/2026,2026-11,31
400375,ALCA PREFORM DIST CAA/CA 2/0AWG 70MM2,C,2026-03,25/03/2026,30,24/04/2026,2026-04,2910
400375,ALCA PREFORM DIST CAA/CA 2/0AWG 70MM2,C,2026-07,01/07/2026,30,01/08/2026,2026-08,2628
400385,BANCO DE CAPACITOR 3F 15KV 150KVAR FIXO,C,2026-06,01/06/2026,30,01/07/2026,2026-07,6
400385,BANCO DE CAPACITOR 3F 15KV 150KVAR FIXO,C,2026-09,01/09/2026,30,01/10/2026,2026-10,2
400434,"CABO ELET NU CA AL 2AWG 33,54MM2 IRIS",C,2026-03,25/03/2026,30,24/04/2026,2026-04,3101
400434,"CABO ELET NU CA AL 2AWG 33,54MM2 IRIS",C,2026-06,01/06/2026,30,01/07/2026,2026-07,2662
400434,"CABO ELET NU CA AL 2AWG 33,54MM2 IRIS",C,2026-09,01/09/2026,30,01/10/2026,2026-10,809
400436,"CHAVE 1P 15KV 400A 12,5KA AUT VACUO 125K",C,2026-10,01/10/2026,30,01/11/2026,2026-11,60
400442,"CABO  MULT 2X16+1X16MM² XLPE 0,6/1 KV",C,2026-03,25/03/2026,30,24/04/2026,2026-04,2275
400442,"CABO  MULT 2X16+1X16MM² XLPE 0,6/1 KV",C,2026-07,01/07/2026,30,01/08/2026,2026-08,3050
400442,"CABO  MULT 2X16+1X16MM² XLPE 0,6/1 KV",C,2026-10,01/10/2026,30,01/11/2026,2026-11,40
400443,"CABO  MULT 2X25+1X25MM² XLPE 0,6/1 KV",C,2026-04,01/04/2026,30,01/05/2026,2026-05,2958
400443,"CABO  MULT 2X25+1X25MM² XLPE 0,6/1 KV",C,2026-08,01/08/2026,30,01/09/2026,2026-09,5067
400459,CABO ELETR 15KV AL PROT XLPE 35MM2 1F MT,C,2026-09,01/09/2026,30,01/10/2026,2026-10,660
400460,"CABO ELET NU CA AL 2/0AWG 67,40MM2 ASTER",C,2026-03,25/03/2026,30,24/04/2026,2026-04,3664
400460,"CABO ELET NU CA AL 2/0AWG 67,40MM2 ASTER",C,2026-06,01/06/2026,30,01/07/2026,2026-07,5221
400460,"CABO ELET NU CA AL 2/0AWG 67,40MM2 ASTER",C,2026-09,01/09/2026,30,01/10/2026,2026-10,1991
400473,"CABO  MULT 3X50+1X50MM² XLPE 0,6/1 KV",C,2026-10,01/10/2026,30,01/11/2026,2026-11,2936
400474,"CABO  MULT 3X70+1X70 MM² XLPE 0,6/1 KV",B,2026-05,01/05/2026,30,01/06/2026,2026-06,126
400474,"CABO  MULT 3X70+1X70 MM² XLPE 0,6/1 KV",B,2026-06,01/06/2026,30,01/07/2026,2026-07,1331
400474,"CABO  MULT 3X70+1X70 MM² XLPE 0,6/1 KV",B,2026-07,01/07/2026,30,01/08/2026,2026-08,1324
400474,"CABO  MULT 3X70+1X70 MM² XLPE 0,6/1 KV",B,2026-08,01/08/2026,30,01/09/2026,2026-09,4055
400474,"CABO  MULT 3X70+1X70 MM² XLPE 0,6/1 KV",B,2026-10,01/10/2026,30,01/11/2026,2026-11,2849
400478,CINTA POSTE CIRC ACO 190MM,C,2026-03,25/03/2026,30,24/04/2026,2026-04,258
400478,CINTA POSTE CIRC ACO 190MM,C,2026-06,01/06/2026,30,01/07/2026,2026-07,187
400478,CINTA POSTE CIRC ACO 190MM,C,2026-09,01/09/2026,30,01/10/2026,2026-10,64
400481,"CABO  MULT 3X16+1X16MM² XLPE 0,6/1 KV",C,2026-03,25/03/2026,30,24/04/2026,2026-04,1750
400481,"CABO  MULT 3X16+1X16MM² XLPE 0,6/1 KV",C,2026-06,01/06/2026,30,01/07/2026,2026-07,2385
400481,"CABO  MULT 3X16+1X16MM² XLPE 0,6/1 KV",C,2026-09,01/09/2026,30,01/10/2026,2026-10,813
400487,"CABO  MULT 3X120+1X120MM² XLPE 0,6/1 KV",C,2026-07,01/07/2026,30,01/08/2026,2026-08,1732
400496,CINTA POSTE CIRC ACO 240MM,C,2026-03,25/03/2026,30,24/04/2026,2026-04,293
400496,CINTA POSTE CIRC ACO 240MM,C,2026-07,01/07/2026,30,01/08/2026,2026-08,275
400506,CONECTOR DER CU 13-34MM2,C,2026-03,25/03/2026,30,24/04/2026,2026-04,2993
400506,CONECTOR DER CU 13-34MM2,C,2026-06,01/06/2026,30,01/07/2026,2026-07,3752
400506,CONECTOR DER CU 13-34MM2,C,2026-09,01/09/2026,30,01/10/2026,2026-10,1407
400506,CONECTOR DER CU 13-34MM2,C,2026-10,01/10/2026,30,01/11/2026,2026-11,94
400507,CONECTOR PARAL AL 10-2/0AWG (6-70MM2),C,2026-04,01/04/2026,30,01/05/2026,2026-05,978
400507,CONECTOR PARAL AL 10-2/0AWG (6-70MM2),C,2026-07,01/07/2026,30,01/08/2026,2026-08,1250
400512,"CONECTOR DER CUNHA AL 1/0AWG 336,4MCM",C,2026-03,25/03/2026,30,24/04/2026,2026-04,206
400512,"CONECTOR DER CUNHA AL 1/0AWG 336,4MCM",C,2026-07,01/07/2026,30,01/08/2026,2026-08,171
400534,CONECTOR CU PARAF FEND CAB ATERR 10-95MM,C,2026-04,01/04/2026,30,01/05/2026,2026-05,288
400534,CONECTOR CU PARAF FEND CAB ATERR 10-95MM,C,2026-07,01/07/2026,30,01/08/2026,2026-08,350
400594,CABO DE AÇO REVESTIDOS DE COBRE 35MM²,C,2026-03,25/03/2026,30,24/04/2026,2026-04,6002
400594,CABO DE AÇO REVESTIDOS DE COBRE 35MM²,C,2026-07,01/07/2026,30,01/08/2026,2026-08,7370
400655,GRAMPO ANCOR CUNHA AL 185MM2 400DAN,C,2026-04,01/04/2026,30,01/05/2026,2026-05,1158
400655,GRAMPO ANCOR CUNHA AL 185MM2 400DAN,C,2026-08,01/08/2026,30,01/09/2026,2026-09,884
400665,GRAMPO ANCOR CUNHA AL 50MM2 400DAN,C,2026-03,25/03/2026,30,24/04/2026,2026-04,519
400665,GRAMPO ANCOR CUNHA AL 50MM2 400DAN,C,2026-06,01/06/2026,30,01/07/2026,2026-07,637
400665,GRAMPO ANCOR CUNHA AL 50MM2 400DAN,C,2026-09,01/09/2026,30,01/10/2026,2026-10,232
400665,GRAMPO ANCOR CUNHA AL 50MM2 400DAN,C,2026-10,01/10/2026,30,01/11/2026,2026-11,3
400710,"CABO  MULT 3X95+1X70MM² XLPE 0,6/1 KV",C,2026-10,01/10/2026,30,01/11/2026,2026-11,5364
400733,"CABO ELET BT 70MM2 CU PVC PT 0,6/1KV",C,2026-03,25/03/2026,30,24/04/2026,2026-04,79
400733,"CABO ELET BT 70MM2 CU PVC PT 0,6/1KV",C,2026-07,01/07/2026,30,01/08/2026,2026-08,58
400734,"CABO ELET FLEXIVEL PVC 750V 2,5MM2 PT",C,2026-06,01/06/2026,30,01/07/2026,2026-07,800
400734,"CABO ELET FLEXIVEL PVC 750V 2,5MM2 PT",C,2026-10,01/10/2026,30,01/11/2026,2026-11,400
400758,CHAVE SECC 1P 15KV 630A 110KV 25KA,A,2026-03,25/03/2026,30,24/04/2026,2026-04,739
400758,CHAVE SECC 1P 15KV 630A 110KV 25KA,A,2026-04,01/04/2026,30,01/05/2026,2026-05,131
400758,CHAVE SECC 1P 15KV 630A 110KV 25KA,A,2026-05,01/05/2026,30,01/06/2026,2026-06,569
400758,CHAVE SECC 1P 15KV 630A 110KV 25KA,A,2026-06,01/06/2026,30,01/07/2026,2026-07,196
400758,CHAVE SECC 1P 15KV 630A 110KV 25KA,A,2026-07,01/07/2026,30,01/08/2026,2026-08,509
400758,CHAVE SECC 1P 15KV 630A 110KV 25KA,A,2026-08,01/08/2026,30,01/09/2026,2026-09,173
400790,CONECTOR ATERR REFORÇ HAST/CAB 5/8-35MM2,C,2026-04,01/04/2026,30,01/05/2026,2026-05,5983
400790,CONECTOR ATERR REFORÇ HAST/CAB 5/8-35MM2,C,2026-07,01/07/2026,30,01/08/2026,2026-08,6481
400805,ELO FUSIVEL BOTAO DISTRIB H 5A 500MM,C,2026-04,01/04/2026,30,01/05/2026,2026-05,1735
400805,ELO FUSIVEL BOTAO DISTRIB H 5A 500MM,C,2026-07,01/07/2026,30,01/08/2026,2026-08,1992
400806,ELO FUSIVEL DISTRIB 30K 15KV 500MM,C,2026-08,01/08/2026,30,01/09/2026,2026-09,28
400817,CONECTOR PERF AL 35-150MM2 / 35-150MM2,C,2026-10,01/10/2026,30,01/11/2026,2026-11,3576
400821,CABO ELET 15KV AL PROT XLPE 120MM2 1F MT,C,2026-05,01/05/2026,30,01/06/2026,2026-06,984
400827,ARRUELA LIS QD AC 17MM 11/16 57X57MM 5MM,C,2026-03,25/03/2026,30,24/04/2026,2026-04,8586
400827,ARRUELA LIS QD AC 17MM 11/16 57X57MM 5MM,C,2026-06,01/06/2026,30,01/07/2026,2026-07,5163
400827,ARRUELA LIS QD AC 17MM 11/16 57X57MM 5MM,C,2026-10,01/10/2026,30,01/11/2026,2026-11,578
400889,HASTE ANCORA AC 2400MM 16MM,C,2026-03,25/03/2026,30,24/04/2026,2026-04,356
400889,HASTE ANCORA AC 2400MM 16MM,C,2026-07,01/07/2026,30,01/08/2026,2026-08,322
400906,"HASTE ATERRAMENTO CI AC 14,3X2438MM",C,2026-03,25/03/2026,30,24/04/2026,2026-04,6286
400906,"HASTE ATERRAMENTO CI AC 14,3X2438MM",C,2026-06,01/06/2026,30,01/07/2026,2026-07,6145
