material,demanda_total,valor_unitario,valor_total,pct_individual,pct_acumulado,classe
800362,5740.0,0.0,0.0,0.0,100.0,C
800360,92.0,0.0,0.0,0.0,100.0,C
800357,1670.0,0.0,0.0,0.0,100.0,C
800291,139.0,0.0,0.0,0.0,100.0,C
800352,484.0,0.0,0.0,0.0,100.0,C
800348,53.0,0.0,0.0,0.0,100.0,C
800345,480.0,0.0,0.0,0.0,100.0,C
800341,206.0,0.0,0.0,0.0,100.0,C
800337,2332.0,0.0,0.0,0.0,100.0,C
800327,1358.0,0.0,0.0,0.0,100.0,C
800310,62.0,0.0,0.0,0.0,100.0,C
800304,100.0,0.0,0.0,0.0,100.0,C
800294,240.0,0.0,0.0,0.0,100.0,C
800356,12.0,0.0,0.0,0.0,100.0,C
800048,500.0,0.0,0.0,0.0,100.0,C
800036,278.0,0.0,0.0,0.0,100.0,C
800033,4862.0,0.0,0.0,0.0,100.0,C
800031,6078.56,0.0,0.0,0.0,100.0,C
800021,9038.0,0.0,0.0,0.0,100.0,C
800014,172.0,0.0,0.0,0.0,100.0,C
800013,206.0,0.0,0.0,0.0,100.0,C
800012,2820.0,0.0,0.0,0.0,100.0,C
800192,36.0,0.0,0.0,0.0,100.0,C
800006,2.0,0.0,0.0,0.0,100.0,C
410213,255.0,0.0,0.0,0.0,100.0,C
410212,2507.0,0.0,0.0,0.0,100.0,C
410200,14.096,0.0,0.0,0.0,100.0,C
410177,79.778,0.0,0.0,0.0,100.0,C
410176,44.0,0.0,0.0,0.0,100.0,C
410155,2340.97,0.0,0.0,0.0,100.0,C
410154,500.0,0.0,0.0,0.0,100.0,C
410152,4282.0,0.0,0.0,0.0,100.0,C
800007,14.0,0.0,0.0,0.0,100.0,C
800177,500.0,0.0,0.0,0.0,100.0,C
800163,14150.0,0.0,0.0,0.0,100.0,C
800158,327.706,0.0,0.0,0.0,100.0,C
800157,500.0,0.0,0.0,0.0,100.0,C
800145,500.0,0.0,0.0,0.0,100.0,C
800133,500.0,0.0,0.0,0.0,100.0,C
800129,240.0,0.0,0.0,0.0,100.0,C
800119,10038.0,0.0,0.0,0.0,100.0,C
800051,500.0,0.0,0.0,0.0,100.0,C
800116,8334.782,0.0,0.0,0.0,100.0,C
800110,158.0,0.0,0.0,0.0,100.0,C
800108,2369.0,0.0,0.0,0.0,100.0,C
800100,8179.0,0.0,0.0,0.0,100.0,C
800093,96.0,0.0,0.0,0.0,100.0,C
800070,696.0,0.0,0.0,0.0,100.0,C
800060,2760.0,0.0,0.0,0.0,100.0,C
800059,1200.0,0.0,0.0,0.0,100.0,C
800052,649.05,0.0,0.0,0.0,100.0,C
800118,2016.0,0.0,0.0,0.0,100.0,C
800810,1200.0,0.0,0.0,0.0,100.0,C
800808,4780.0,0.0,0.0,0.0,100.0,C
800798,500.0,0.0,0.0,0.0,100.0,C
800794,6034.232,0.0,0.0,0.0,100.0,C
800779,110.0,0.0,0.0,0.0,100.0,C
800774,2960.0,0.0,0.0,0.0,100.0,C
800768,500.0,0.0,0.0,0.0,100.0,C
800763,240.0,0.0,0.0,0.0,100.0,C
800398,110.0,0.0,0.0,0.0,100.0,C
800750,4190.0,0.0,0.0,0.0,100.0,C
800741,6014.0,0.0,0.0,0.0,100.0,C
800727,4.0,0.0,0.0,0.0,100.0,C
800722,144.0,0.0,0.0,0.0,100.0,C
800717,2210.0,0.0,0.0,0.0,100.0,C
800715,1451.0,0.0,0.0,0.0,100.0,C
800712,107.0,0.0,0.0,0.0,100.0,C
800709,326.0,0.0,0.0,0.0,100.0,C
800760,52.0,0.0,0.0,0.0,100.0,C
800886,240.0,0.0,0.0,0.0,100.0,C
800884,4142.0,0.0,0.0,0.0,100.0,C
800877,30.0,0.0,0.0,0.0,100.0,C
800876,76.0,0.0,0.0,0.0,100.0,C
800874,72.0,0.0,0.0,0.0,100.0,C
800872,9552.0,0.0,0.0,0.0,100.0,C
800869,307.0,0.0,0.0,0.0,100.0,C
800861,206.0,0.0,0.0,0.0,100.0,C
800813,998.0,0.0,0.0,0.0,100.0,C
800847,7937.0,0.0,0.0,0.0,100.0,C
800842,196.0,0.0,0.0,0.0,100.0,C
800839,80.0,0.0,0.0,0.0,100.0,C
801745,15.942,0.0,0.0,0.0,100.0,C
800825,1046.0,0.0,0.0,0.0,100.0,C
800824,7449.0,0.0,0.0,0.0,100.0,C
800822,1152.0,0.0,0.0,0.0,100.0,C
800816,20.0,0.0,0.0,0.0,100.0,C
800815,456.0,0.0,0.0,0.0,100.0,C
800848,600.0,0.0,0.0,0.0,100.0,C
800520,720.0,0.0,0.0,0.0,100.0,C
800515,5104.0,0.0,0.0,0.0,100.0,C
800511,3.0,0.0,0.0,0.0,100.0,C
800505,206.0,0.0,0.0,0.0,100.0,C
800503,20.0,0.0,0.0,0.0,100.0,C
800499,8780.0,0.0,0.0,0.0,100.0,C
800494,686.0,0.0,0.0,0.0,100.0,C
800473,184.0,0.0,0.0,0.0,100.0,C
800705,1372.0,0.0,0.0,0.0,100.0,C
800448,48.0,0.0,0.0,0.0,100.0,C
800445,0.0,0.0,0.0,0.0,100.0,C
800436,195.0,0.0,0.0,0.0,100.0,C
800435,331.0,0.0,0.0,0.0,100.0,C
800434,72.0,0.0,0.0,0.0,100.0,C
800431,451.0,0.0,0.0,0.0,100.0,C
800426,230.0,0.0,0.0,0.0,100.0,C
800423,2222.0,0.0,0.0,0.0,100.0,C
800417,868.0,0.0,0.0,0.0,100.0,C
800454,400.0,0.0,0.0,0.0,100.0,C
800682,12696.0,0.0,0.0,0.0,100.0,C
800681,638.0,0.0,0.0,0.0,100.0,C
800671,104.0,0.0,0.0,0.0,100.0,C
800668,464.0,0.0,0.0,0.0,100.0,C
800654,4906.0,0.0,0.0,0.0,100.0,C
800630,326.0,0.0,0.0,0.0,100.0,C
800616,628.0,0.0,0.0,0.0,100.0,C
800614,326.0,0.0,0.0,0.0,100.0,C
800521,840.0,0.0,0.0,0.0,100.0,C
800596,1982.0,0.0,0.0,0.0,100.0,C
800595,4468.0,0.0,0.0,0.0,100.0,C
800592,6472.0,0.0,0.0,0.0,100.0,C
800557,120.0,0.0,0.0,0.0,100.0,C
800541,3430.0,0.0,0.0,0.0,100.0,C
800536,1320.0,0.0,0.0,0.0,100.0,C
800530,120.0,0.0,0.0,0.0,100.0,C
800528,1646.0,0.0,0.0,0.0,100.0,C
800522,72.0,0.0,0.0,0.0,100.0,C
800600,1444.0,0.0,0.0,0.0,100.0,C
804671,6.0,0.0,0.0,0.0,100.0,C
804670,6.0,0.0,0.0,0.0,100.0,C
804666,1500.0,0.0,0.0,0.0,100.0,C
804663,1500.0,0.0,0.0,0.0,100.0,C
804660,2.0,0.0,0.0,0.0,100.0,C
804659,20.0,0.0,0.0,0.0,100.0,C
804656,6.0,0.0,0.0,0.0,100.0,C
804654,20.0,0.0,0.0,0.0,100.0,C
804651,20.0,0.0,0.0,0.0,100.0,C
410153,7110.0,0.0,0.0,0.0,100.0,C
804640,1500.0,0.0,0.0,0.0,100.0,C
804639,1500.0,0.0,0.0,0.0,100.0,C
804638,1500.0,0.0,0.0,0.0,100.0,C
804637,1500.0,0.0,0.0,0.0,100.0,C
804633,1500.0,0.0,0.0,0.0,100.0,C
804632,1500.0,0.0,0.0,0.0,100.0,C
804631,2.0,0.0,0.0,0.0,100.0,C
804614,4.0,0.0,0.0,0.0,100.0,C
804603,1.0,0.0,0.0,0.0,100.0,C
804645,40.0,0.0,0.0,0.0,100.0,C
805191,120.0,0.0,0.0,0.0,100.0,C
805190,1.0,0.0,0.0,0.0,100.0,C
805139,3.0,0.0,0.0,0.0,100.0,C
805116,2.0,0.0,0.0,0.0,100.0,C
805098,4.0,0.0,0.0,0.0,100.0,C
804894,4694.0,0.0,0.0,0.0,100.0,C
804883,3000.0,0.0,0.0,0.0,100.0,C
804881,1428.0,0.0,0.0,0.0,100.0,C
804842,2.0,0.0,0.0,0.0,100.0,C
804677,1.0,0.0,0.0,0.0,100.0,C
804820,2.0,0.0,0.0,0.0,100.0,C
804816,2.0,0.0,0.0,0.0,100.0,C
804743,11.0,0.0,0.0,0.0,100.0,C
804742,12.0,0.0,0.0,0.0,100.0,C
804741,16.0,0.0,0.0,0.0,100.0,C
804740,16.0,0.0,0.0,0.0,100.0,C
804738,2.0,0.0,0.0,0.0,100.0,C
804735,4.0,0.0,0.0,0.0,100.0,C
804734,2.0,0.0,0.0,0.0,100.0,C
804826,3.0,0.0,0.0,0.0,100.0,C
804469,8.0,0.0,0.0,0.0,100.0,C
804462,8.0,0.0,0.0,0.0,100.0,C
804461,8.0,0.0,0.0,0.0,100.0,C
804459,2.0,0.0,0.0,0.0,100.0,C
804455,14.0,0.0,0.0,0.0,100.0,C
804454,6.0,0.0,0.0,0.0,100.0,C
804453,8.0,0.0,0.0,0.0,100.0,C
804450,9.0,0.0,0.0,0.0,100.0,C
804447,200.0,0.0,0.0,0.0,100.0,C
804602,1.0,0.0,0.0,0.0,100.0,C
804444,14.0,0.0,0.0,0.0,100.0,C
804437,8.0,0.0,0.0,0.0,100.0,C
804427,2.0,0.0,0.0,0.0,100.0,C
804426,10.0,0.0,0.0,0.0,100.0,C
804425,8.0,0.0,0.0,0.0,100.0,C
804422,1944.0,0.0,0.0,0.0,100.0,C
804421,2065.0,0.0,0.0,0.0,100.0,C
804409,1.0,0.0,0.0,0.0,100.0,C
804398,6.0,0.0,0.0,0.0,100.0,C
804446,200.0,0.0,0.0,0.0,100.0,C
804598,3.0,0.0,0.0,0.0,100.0,C
804597,500.0,0.0,0.0,0.0,100.0,C
804596,100.0,0.0,0.0,0.0,100.0,C
804595,10.0,0.0,0.0,0.0,100.0,C
804594,10.0,0.0,0.0,0.0,100.0,C
804574,1.0,0.0,0.0,0.0,100.0,C
804573,408.0,0.0,0.0,0.0,100.0,C
804566,2.0,0.0,0.0,0.0,100.0,C
804565,162.0,0.0,0.0,0.0,100.0,C
804470,8.0,0.0,0.0,0.0,100.0,C
804556,4.0,0.0,0.0,0.0,100.0,C
804554,13.0,0.0,0.0,0.0,100.0,C
804548,2.0,0.0,0.0,0.0,100.0,C
804537,1.0,0.0,0.0,0.0,100.0,C
804499,20.0,0.0,0.0,0.0,100.0,C
804490,60.0,0.0,0.0,0.0,100.0,C
804487,90.0,0.0,0.0,0.0,100.0,C
804484,40.0,0.0,0.0,0.0,100.0,C
804483,60.0,0.0,0.0,0.0,100.0,C
804562,72.0,0.0,0.0,0.0,100.0,C
805401,200.0,0.0,0.0,0.0,100.0,C
805400,300.0,0.0,0.0,0.0,100.0,C
805399,300.0,0.0,0.0,0.0,100.0,C
110057,30.0,0.0,0.0,0.0,100.0,C
805397,300.0,0.0,0.0,0.0,100.0,C
805388,8.0,0.0,0.0,0.0,100.0,C
805363,100.0,0.0,0.0,0.0,100.0,C
805360,500.0,0.0,0.0,0.0,100.0,C
805346,200.0,0.0,0.0,0.0,100.0,C
805219,7.0,0.0,0.0,0.0,100.0,C
805344,500.0,0.0,0.0,0.0,100.0,C
110077,30.0,0.0,0.0,0.0,100.0,C
120226,15.0,0.0,0.0,0.0,100.0,C
120144,8.0,0.0,0.0,0.0,100.0,C
120117,64.0,0.0,0.0,0.0,100.0,C
120099,2.0,0.0,0.0,0.0,100.0,C
113893,1.0,0.0,0.0,0.0,100.0,C
112331,40.0,0.0,0.0,0.0,100.0,C
112242,40.0,0.0,0.0,0.0,100.0,C
805345,500.0,0.0,0.0,0.0,100.0,C
805492,40.0,0.0,0.0,0.0,100.0,C
805491,30.0,0.0,0.0,0.0,100.0,C
805480,2.0,0.0,0.0,0.0,100.0,C
805478,4080.0,0.0,0.0,0.0,100.0,C
805459,3960.0,0.0,0.0,0.0,100.0,C
805458,300.0,0.0,0.0,0.0,100.0,C
805447,50.0,0.0,0.0,0.0,100.0,C
805446,50.0,0.0,0.0,0.0,100.0,C
805445,50.0,0.0,0.0,0.0,100.0,C
805403,1.0,0.0,0.0,0.0,100.0,C
805443,50.0,0.0,0.0,0.0,100.0,C
805437,50.0,0.0,0.0,0.0,100.0,C
805427,50.0,0.0,0.0,0.0,100.0,C
805426,20.0,0.0,0.0,0.0,100.0,C
805410,2.0,0.0,0.0,0.0,100.0,C
805407,1.0,0.0,0.0,0.0,100.0,C
805406,1.0,0.0,0.0,0.0,100.0,C
805405,1.0,0.0,0.0,0.0,100.0,C
805404,120.0,0.0,0.0,0.0,100.0,C
805444,50.0,0.0,0.0,0.0,100.0,C
110418,100.0,0.0,0.0,0.0,100.0,C
110404,20.0,0.0,0.0,0.0,100.0,C
110384,12.0,0.0,0.0,0.0,100.0,C
805343,200.0,0.0,0.0,0.0,100.0,C
805342,500.0,0.0,0.0,0.0,100.0,C
805341,500.0,0.0,0.0,0.0,100.0,C
805288,1.0,0.0,0.0,0.0,100.0,C
805283,1.0,0.0,0.0,0.0,100.0,C
805268,60.0,0.0,0.0,0.0,100.0,C
112104,30.0,0.0,0.0,0.0,100.0,C
805264,20.0,0.0,0.0,0.0,100.0,C
805262,565.0,0.0,0.0,0.0,100.0,C
805260,40.0,0.0,0.0,0.0,100.0,C
805254,7.0,0.0,0.0,0.0,100.0,C
805245,10.0,0.0,0.0,0.0,100.0,C
805244,14.0,0.0,0.0,0.0,100.0,C
805232,6.0,0.0,0.0,0.0,100.0,C
805230,10.0,0.0,0.0,0.0,100.0,C
805229,20.0,0.0,0.0,0.0,100.0,C
805266,30.0,0.0,0.0,0.0,100.0,C
112068,30.0,0.0,0.0,0.0,100.0,C
112066,40.0,0.0,0.0,0.0,100.0,C
112065,10.0,0.0,0.0,0.0,100.0,C
112008,240.0,0.0,0.0,0.0,100.0,C
111811,1.0,0.0,0.0,0.0,100.0,C
111596,10.0,0.0,0.0,0.0,100.0,C
111453,10.0,0.0,0.0,0.0,100.0,C
111352,5.0,0.0,0.0,0.0,100.0,C
111059,1.0,0.0,0.0,0.0,100.0,C
110487,12.0,0.0,0.0,0.0,100.0,C
110841,40.0,0.0,0.0,0.0,100.0,C
110730,5.0,0.0,0.0,0.0,100.0,C
110719,40.0,0.0,0.0,0.0,100.0,C
110713,7.0,0.0,0.0,0.0,100.0,C
110708,10.0,0.0,0.0,0.0,100.0,C
805539,1.0,0.0,0.0,0.0,100.0,C
110649,40.0,0.0,0.0,0.0,100.0,C
110557,30.0,0.0,0.0,0.0,100.0,C
110555,30.0,0.0,0.0,0.0,100.0,C
110960,4.0,0.0,0.0,0.0,100.0,C
803156,62.0,0.0,0.0,0.0,100.0,C
803151,54.0,0.0,0.0,0.0,100.0,C
803148,62.0,0.0,0.0,0.0,100.0,C
803146,3.0,0.0,0.0,0.0,100.0,C
803142,12.0,0.0,0.0,0.0,100.0,C
803129,500.0,0.0,0.0,0.0,100.0,C
803128,500.0,0.0,0.0,0.0,100.0,C
803123,100.0,0.0,0.0,0.0,100.0,C
803102,168.0,0.0,0.0,0.0,100.0,C
804397,1.0,0.0,0.0,0.0,100.0,C
