material,estoque_total
400908,1956.0
400909,35.0
400910,60.0
400925,143.0
400926,13.0
400937,4468.0
400939,2.0
400941,14.0
400942,11748.0
400951,413.0
400953,5.0
400954,1040.0
400955,37092.0
400968,1.0
400972,129.0
400974,1.0
400978,27.0
400985,21.0
400988,1.0
400989,83.0
400992,11.0
400995,28.0
401004,1.0
401012,1.0
401014,79.0
401016,1.0
401017,320.0
401030,5.0
401033,46.0
401039,2.0
401050,88.0
401054,13.0
401056,544.0
401066,8.0
401071,67.0
401072,15.0
401076,2.0
401086,32.0
401088,9706.0
401089,2854.0
401090,569.0
401096,151.0
401102,3378.0
401103,2.0
401105,10532.0
401108,1577.0
401109,1.0
401112,1.0
401114,1.0
401116,3740.0
401117,3812.0
401120,16.0
401124,437.0
401127,234.0
401132,1942.0
401133,100.0
401155,1236.0
401163,3.0
401165,346.0
401177,1.0
401191,129.0
401199,3.0
401207,2.0
401213,311.0
401218,193.0
401220,31.0
401221,10.0
401222,9.0
401225,1.0
401226,1.0
401229,1.0
401232,236.0
401234,9758.0
401259,15.0
401260,28.0
401261,1.0
401276,3.0
401281,1.0
401284,12.0
401285,9600.0
401293,4.0
401301,1.0
401304,12.0
401308,76.0
401309,64.0
401317,99.0
401323,1086.0
401324,28.0
401334,5.0
401343,1.0
401348,1.0
401351,7.0
401356,63.0
401358,39.0
401365,20.0
401367,1.0
401371,2361.0
401372,24.0
401373,3.0
401375,819.0
401383,235.0
401385,50966.0
401389,164.0
401396,345.0
401401,56.0
401402,1.0
401403,1578.0
401411,33.0
401419,24.0
401420,1.0
401428,200.0
401435,28.0
401438,204.0
401440,5.0
401447,1918.0
401449,10461.0
401450,3.0
401451,20744.0
401453,5.0
401455,32.0
401458,2.0
401463,50.0
401465,83.0
401470,10.0
401471,385.0
401488,40.0
401489,1468.0
401490,18.0
401496,9.0
401500,655.0
401501,250.0
401511,20.0
401516,1730.0
401520,14.0
401524,1.0
401531,36.0
401533,12.0
401534,1.0
401541,2.0
401543,341.0
401544,308.0
401546,2205.0
401548,29.0
401550,24.0
401556,3653.0
401559,2173.0
401565,1.0
401566,3225.0
401567,1.0
401568,8337.0
401571,14.0
401574,551.0
401576,180.0
401583,2.0
401586,2.0
401608,1730.0
401616,4370.0
401620,2363.0
401621,226.0
401623,30.0
401629,2.0
401632,18649.0
401655,5526.0
401656,8.0
401668,115.0
401675,1.0
401678,203.0
401680,6.0
401683,980.0
401685,144.0
401686,693.0
401688,1.0
401692,115.0
401694,1660.0
401700,1.0
401705,1.0
401706,41.0
401709,91.0
401711,27.0
401720,1.0
401727,50.0
401733,66.0
401735,78.0
401738,372.0
401743,66.0
401745,13.0
401749,3.0
401752,22.0
401753,1.0
401754,6.0
401755,53.0
401763,376.0
401768,13.0
401769,11.0
401771,45.0
401773,70846.0
401781,19.0
401786,2088.0
401791,220634.0
401803,43.0
401806,770.0
401810,29.0
401814,8.0
401817,282.0
401823,395.0
401826,1926.0
401827,27098.0
401831,1.0
401840,1479.0
401842,205.0
401853,285.0
401856,934.0
401857,201.0
401862,1.0
401864,191.0
401866,1361.0
401870,11023.0
401874,45.0
401877,1.0
401888,836.0
401895,548.0
401896,24.0
401898,4.0
401907,736.0
401908,92.0
401916,3303.0
401921,18.0
401924,2.0
401927,961.0
401931,8.0
401933,356.0
401937,17751.0
401942,1470.0
401947,8.0
401952,3550.0
401960,1.0
401964,9.0
401969,8.0
401970,1.0
401981,149053.0
401992,163.0
401996,2.0
401999,8.0
402000,1.0
402005,2036.0
402008,21.0
402013,15.0
402018,3.0
402026,1387.0
402027,285073.0
402030,4.0
402036,20.0
402044,4.0
402046,206.0
402047,18.0
402065,2681.0
402067,6848.0
402070,374.0
402072,1200.0
402081,2726.0
402083,734.0
402085,85.0
402087,1450.0
402092,9.0
402098,8.0
402106,121.0
402110,48.0
402111,1.0
402117,103.0
402120,1309.0
402123,300.0
402127,42976.0
402128,1559.0
402130,2.0
402132,2.0
402136,161.0
402138,476.0
402143,206.0
402148,1.0
402149,69.0
402152,8.0
402154,3.0
402155,157.0
402163,6822.0
402165,400.0
402172,4062.0
402180,4.0
402184,30.0
402185,229.0
402187,43200.0
402188,1.0
402191,2822.0
402195,209.0
402209,500.0
402215,20.0
402219,29.0
402221,160.0
402226,46.0
402230,90.0
402247,765.0
402248,190.0
402252,270.0
402260,2174.0
402261,1.0
402265,1.0
402268,5328.0
402269,5075.0
402270,13.0
402276,52.0
402277,9.0
402281,1.0
402287,23541.0
402292,283.0
402303,1185.0
402304,10.0
402305,22.0
402307,37298.0
402310,1354.0
402312,2584.0
402315,2.0
402318,2316.0
402323,136.0
402325,3.0
402327,1484.0
402331,620.0
402332,41.0
402341,1.0
402348,217.0
402350,124.0
402352,3284.0
402353,51852.0
402354,1632.0
402359,54.0
402365,7672.0
402369,2.0
402373,300.0
402374,3553.0
402377,35.0
402379,1.0
402381,600.0
402384,3.0
402386,9.0
402394,1.0
402395,377.0
402396,119.0
402397,1091.0
402400,275.0
402401,1262.0
402406,1.0
402407,53.0
402418,20.0
402420,66.0
402421,1.0
402423,90.0
402430,1.0
402431,1920.0
402433,928.0
402435,444.0
402439,1.0
402443,1253.0
402452,274.0
402456,1781.0
402460,3.0
402463,28.0
402465,1.0
402470,11.0
402474,1.0
402477,5.0
402481,1.0
402482,1.0
402486,3.0
402487,1.0
402488,9.0
402496,1.0
402508,1.0
402515,5.0
402518,4073.0
402520,2.0
402524,103.0
402525,47.0
402527,5190.0
402531,1.0
402539,1.0
402541,8.0
402544,4.0
402555,140.0
402560,100.0
402568,1.0
402570,18996.0
402574,2.0
402581,14.0
402587,224.0
402592,532.0
402602,2.0
402603,21.0
402613,1.0
402618,48.0
402621,2.0
402623,7.0
402624,15.0
402625,4368.0
402627,16.0
402632,6.0
402643,85.0
402646,2453.0
402648,8.0
402650,145.0
402654,1264.0
402657,196.0
402658,1093.0
402660,394.0
402661,1.0
402672,946.0
402675,373.0
402686,389.0
402689,347.0
402706,1327.0
402716,85.0
402718,1.0
402720,59.0
402729,11.0
402733,2846.0
402741,782.0
402757,1616.0
402766,23.0
402767,10870.0
402768,41.0
402774,156.0
402780,1.0
402783,1249.0
402796,10.0
402802,40.0
402806,4.0
402807,2919.0
402809,1.0
402816,63.0
402824,14326.0
402825,4.0
402829,4.0
402834,28.0
402835,4.0
402836,4.0
402837,4.0
402847,120.0
402850,1.0
402851,1.0
402852,10.0
402856,19.0
402857,11.0
402858,2.0
402859,2.0
402860,13.0
402861,19.0
402864,1.0
402866,4.0
402867,5.0
402868,1.0
402869,320.0
402878,13.0
402888,1148.0
402889,22.0
402891,22.0
402892,604.0
402893,10.0
402895,6.0
402899,1.0
402902,1248.0
402917,21.0
402934,10671.0
402955,472.0
403040,428.0
403045,6200.0
403065,4.0
403077,237.0
403103,7.0
403113,1352.0
403115,2.0
403121,13.0
403132,2.0
403161,442.0
403168,2976.0
403182,403.0
403194,5.0
403204,1662.0
403209,24060.0
403248,1.0
403251,8.0
403263,18.0
403272,2.0
403323,87.0
403324,147.0
403327,212.0
403337,1061.0
403344,5.0
403353,3078.0
403357,39458.0
403365,22.0
403366,9346.0
403371,49.0
403374,10.0
403376,2.0
403377,33.0
403409,20.0
403425,8.0
403429,14.0
403456,4.0
403477,65.0
403480,57.0
403487,348.0
403499,23512.0
403513,4842.0
403515,5100.0
403527,45.0
403558,719.0
403559,2316.0
403563,2.0
403572,8285.0
403574,562.0
403575,50.0
403579,29812.0
403580,1956.0
403586,400.0
403587,4.0
403592,7936.0
403593,16.0
403594,67474.0
403599,2.0
403602,1413.0
403605,4.0
403608,1.0
403618,1.0
403619,8.0
403622,1.0
403623,1.0
403624,1.0
403627,118.0
403631,2.0
403632,1.0
403636,150.0
403641,8358.0
403642,313823.0
403644,25.0
403647,705.0
403655,25.0
403656,56345.0
403657,92.0
403662,20.0
403663,584.0
403664,1.0
403665,2.0
403666,51.0
403667,26353.0
403668,27.0
403669,25.0
403674,57.0
403675,6068.0
403676,13.0
403677,503.0
403680,42.0
403682,307398.0
403683,653.0
403686,10498.0
403689,3.0
403690,1.0
403692,1.0
403693,1281.0
403695,4.0
403696,8538.0
403706,4.0
403707,4.0
403708,10.0
403709,116.0
403710,85.0
403712,52.0
403714,2.0
403716,23.0
403734,1.0
403735,96.0
403739,8418.0
403742,3.0
403745,2.0
403746,1.0
403748,1.0
403753,1.0
403757,1.0
403758,1.0
403759,12.0
403760,6.0
403762,16.0
403763,690.0
403764,1.0
403766,3.0
403768,2.0
403770,600.0
403776,2.0
403783,1.0
403786,2.0
403787,1.0
403793,15.0
403795,10.0
403796,50.0
403797,7.0
403798,12.0
403799,3.0
403803,17027.0
403804,1930.0
403805,3.0
403806,3.0
403807,136.0
403810,3.0
403811,4.0
403812,14.0
403815,2.0
403820,20.0
403823,1020.0
403825,2200.0
403826,1000.0
403829,420.0
403835,6.0
403837,1.0
403838,27015.0
403840,15352.0
403846,200.0
403849,89.0
403850,1.0
403852,9953.0
403856,1.0
403860,170.0
403866,1.0
403870,481.0
403874,150.0
403875,1120.0
403888,4.0
403898,1.0
403902,1.0
403908,19.0
403912,8.0
403915,2.0
403920,1.0
403922,1.0
403929,11.0
403930,3.0
403932,1.0
403936,6.0
403937,2.0
403941,1.0
403945,1144.0
403946,1.0
403949,2.0
403953,9.0
403961,8581.0
403969,1.0
403980,9.0
403986,1.0
403987,15.0
404009,17292.0
404010,3725.0
404011,5552.0
404030,3424.0
404031,9041.0
404032,6750.0
404033,6850.0
404034,7270.0
404035,7390.0
404036,7670.0
404037,8586.0
404038,7000.0
404039,8003.0
404040,103298.0
404042,16.0
404043,62.0
404044,92.0
404052,343.0
404054,2.0
404057,78072.0
404058,110054.0
404059,9101.0
404060,6328.0
404061,5024.0
404062,5993.0
404063,3830.0
404064,1903.0
404069,81092.0
404070,79098.0
404071,27.0
404072,2555.0
404084,7.0
404112,379.0
404113,67.0
404114,66.0
404115,26.0
404123,1.0
404124,3.0
404143,3.0
404146,17.0
404149,1.0
404152,2.0
404153,2.0
404154,5.0
404155,1.0
404156,3.0
404157,13399.0
404162,2.0
404166,10.0
404167,10.0
404170,2.0
404176,10.0
404181,2.0
404186,6414.0
404187,30.0
404202,1.0
404219,147.0
404220,6418.0
404221,10660.0
404222,1100.0
404224,900.0
404228,34.0
404229,107.0
404232,180.0
404246,14.0
404250,3297.0
404282,390.0
404287,247.0
404289,8729.0
404292,1000.0
404411,110.0
404418,1890.0
404441,1159.0
404442,1156.0
404451,13531.0
404465,69.0
404468,10.0
404505,2.0
404508,4.0
404511,12.0
404516,1.0
404539,89.0
404549,2.0
404554,4.0
404577,1.0
404612,32.0
404613,26.0
404614,34.0
404621,300.0
404719,21.0
404720,2402.0
404732,613.0
404733,291.0
404737,6.0
404740,440.0
404741,6687.0
404743,110.0
404744,273.0
404745,109.0
404805,80.0
404808,56.0
404818,981.0
404822,5.0
404824,43.0
404826,33.0
404832,784.0
404835,5.0
404869,20.0
404892,1.0
404897,4.0
404971,25.0
404972,18.0
404985,65842.0
405063,1760.0
405095,50748.0
405097,50000.0
405098,59118.0
405125,3.0
405153,13.0
405170,1.0
405258,16.0
405260,59.0
405261,35.0
405265,1.0
405293,36.0
405358,2.0
405382,542.0
405424,64.0
405473,4386.0
405480,80.0
405481,489.0
405482,1115.0
405483,317.0
405484,237.0
405486,22183.0
405487,195426.0
405488,18483.0
405489,11401.0
405490,3718.0
405491,19200.0
405493,2208.0
405494,938.0
405495,525.0
405537,2.0
405539,10035.0
405639,2.0
405984,18.0
406189,7.0
406383,3.0
406384,8.0
406417,1.0
406418,1.0
406419,1.0
406420,1.0
406421,1.0
406422,1.0
406423,3.0
406424,1.0
406425,5.0
406426,5.0
406427,1.0
406428,1.0
406533,67.0
406534,500.0
406535,1800.0
406694,1.0
406821,1.0
406823,1.0
406859,117.0
407014,5.0
407044,185.0
407046,2.0
407094,6681.0
407096,3302.0
407097,5202.0
407098,1900.0
407125,4460.0
407126,354.0
407127,38343.0
407128,388.0
407129,10266.0
407130,9.0
407206,46.0
407215,3.0
407229,4.0
407336,2070.0
407355,76.0
407356,2854.0
407439,162.0
407443,155.0
407596,2400.0
407737,13.0
407738,6.0
407971,95.0
408161,1.0
408165,1.0
408172,623.0
408192,6.0
408332,128.0
408338,9.0
408339,2.0
408340,1.0
408344,249.0
408349,13.0
408749,10.0
408804,338.0
408805,684.0
408806,126.0
408809,1148.0
408810,199.0
408811,50.0
408824,3.0
408877,1633.0
408896,116.0
408951,117.0
408991,96.0
408994,4.0
408995,366.0
409002,200.0
409003,200.0
409007,2.0
409008,2.0
409009,1.0
409010,2.0
409011,2.0
409013,1.0
409014,2.0
409015,2.0
409016,2.0
409017,2.0
409018,1.0
409019,6.0
409020,2.0
409021,2.0
409200,2.0
409203,91.0
409207,2.0
409242,2.0
409250,2.0
409251,2.0
409252,2.0
409253,2.0
409257,172.0
409258,120.0
409259,120.0
409268,2.0
409290,5.0
409296,4144.0
409301,17.0
409302,6.0
409376,1837.0
409581,1.0
409620,15.0
409641,3053.0
409650,31.0
409656,1.0
409659,223.0
409688,1.0
409696,6215.0
409737,2.0
409746,1.0
409747,1.0
409751,3.0
409793,10.0
409797,9.0
409798,2.0
409799,1.0
409810,3.0
409811,3.0
409812,4.0
409814,2.0
409826,6.0
409885,2.0
409963,40.0
410017,100.0
800006,8.0
800007,578.0
800012,150.0
800013,78.0
800014,115.0
800021,1432.0
800026,400.0
800027,735.0
800031,1593.0
800033,28.0
800034,14.0
800048,152.0
800054,8759.0
800055,2000.0
800058,6275.0
800059,489.0
800061,134.0
800062,802.0
800064,17.0
800068,1.0
800070,8897.0
800077,10224.0
800078,1.0
800093,490.0
800105,187.0
800108,198.0
800116,15856.0
800118,1280.0
800119,8.0
800122,30.0
800127,6.0
800129,230.0
800141,656.5
800144,1.0
800148,1000.0
800150,190.0
800158,21442.0
800159,16.0
800161,3.0
800163,2200.0
800170,1702.0
800171,1.0
800174,63.0
800175,9.0
800176,109.0
800192,19.0
800202,327.0
800215,874.0
800216,40.0
800223,1324.0
800226,75.0
800239,115.0
800243,892.0
800254,438.0
800256,6.0
800260,32.0
800262,143.0
800263,84.0
800266,885.0
800269,100.0
800274,2523.0
800277,21.0
800280,35.0
800287,400.0
800289,2300.0
800291,438.0
800294,2439.0
800300,16.0
800301,7.0
800310,1949.0
800327,1675.0
800332,15.0
800336,19.0
800337,249.0
800341,1204.0
800344,279.0
800345,1553.0
800348,1200.0
800352,253.0
800357,1335.0
800360,678.0
800362,2012.0
800364,51.0
800369,2.0
800371,190.0
800372,150.0
800384,18.0
800399,53.0
800417,270.0
800426,103.0
800427,90.0
800429,402.0
800434,180.0
800435,1426.0
800436,13.0
800442,2.0
800445,210.0
800448,697.0
800454,50.0
800463,148.0
800470,1938.0
800473,123.0
800486,8.0
800494,1599.0
800496,633.0
800499,2563.0
800500,3477.0
800502,17.0
800505,3294.0
800515,2842.0
800521,16138.0
800522,56.0
800526,470.0
800528,501.0
800530,63.0
800536,1350.0
800549,16.0
800557,111.0
800564,120.0
800569,1331.0
800570,1.0
800584,90.0
800595,2845.0
800596,12585.0
800600,22431.0
800614,4078.0
800616,2000.0
800620,2.0
800623,108.0
800624,167.0
800626,21.0
800629,11.0
800630,855.0
800651,176.0
800654,2749.0
800668,25517.0
800671,84.0
800676,856.0
800681,3241.0
800682,1223.0
800700,260.0
800709,1671.0
800712,37.0
800715,12194.0
800717,184.0
800722,188.0
800727,46.0
800733,10.0
800734,576.0
800741,4355.0
800746,5.0
800749,843.0
800760,71.0
800762,1320.0
800763,936.0
800767,1958.0
800769,28.0
800774,271.0
800775,1155.0
800779,1675.0
800794,639.0
800800,44.0
800803,4029.0
800804,770.0
800807,3.0
800808,422.0
800810,1197.0
800813,447.0
800816,2.0
800817,862.0
800822,5187.0
800824,1380.0
800825,2983.0
800836,50.0
800839,5.0
800842,4.0
800847,250.0
800848,1917.0
800852,2964.0
800859,988.0
800861,214.0
800872,8.0
800873,17.0
800876,190.0
800880,1010.0
800884,3581.0
800889,5364.0
800892,1290.0
800894,1703.0
800897,102.0
800901,219.0
800904,223.0
800905,1232.0
800906,356.0
800917,248.0
800922,2.0
800924,853.0
800927,28.0
800928,15.0
800929,119.0
800936,12.0
800939,4675.0
800943,30.0
800944,8108.0
800952,3851.0
800956,20.0
800959,1459.0
800963,1981.0
800965,194.0
800976,563.0
800979,127.0
800982,23.0
800985,370.0
800990,1.0
800999,165.0
801006,100.0
801007,10.0
801010,31.0
801011,522.0
801013,2164.0
801020,19600.0
801028,305.0
801039,5490.0
801044,44.0
801047,1689.0
801048,47.0
801049,11.0
801058,1.0
801062,400.0
801064,14.0
801066,13.0
801077,1530.0
801079,4344.0
801081,787.0
801083,738.0
801087,15.0
801098,198.0
801109,40.0
801112,500.0
801113,7.0
801125,2769.0
801135,1937.0
801141,100.0
801144,1.0
801146,3054.0
801154,850.0
801157,250.0
801161,102.0
801164,641.0
801166,6146.0
801170,362.0
801178,12994.0
801182,3148.0
801185,164.0
801186,1141.0
801189,2200.0
801191,158.0
801195,2000.0
801199,234.0
801202,638.0
801203,235.0
801206,950.0
801210,205.0
801213,271.0
801215,233.0
801216,2549.0
801225,407.0
801228,1652.0
801232,1175.0
801237,138.0
801240,5392.0
801256,9.0
801263,7200.0
801267,20.0
801274,528.0
801279,33.0
801287,50.0
801303,732.0
801304,725.0
801311,2293.0
801313,13.0
801314,17.0
801316,440.0
801331,83.0
801341,819.0
801346,143.0
801347,265.0
801352,3.0
801370,2.0
801372,21.0
801373,560.0
801374,180.0
801375,156.0
801386,5.0
801391,57.0
801398,392.0
801400,3966.0
801413,2.0
801416,1.0
801422,2.0
801428,1.0
801454,6.0
801455,3.0
801458,10.0
801461,52.0
801468,1.0
801471,1.0
801473,1.0
801490,7.0
801495,1.0
801497,1.0
801501,14.0
801502,3.0
801506,2.0
801516,1.0
801518,10.0
801522,2308.0
801526,2.0
801534,24.0
801542,3.0
801556,1.0
801572,51.0
801578,1.0
801582,10.0
801592,2.0
801599,5.0
801602,1.0
801608,420.0
801609,4.0
801614,6.0
801615,29.0
801618,4.0
801635,5474.0
801639,7.0
801645,4.0
801650,3.0
801653,838.0
801662,1.0
801673,6.0
801679,1.0
801682,2.0
801692,2.0
801696,14.0
801698,21.0
801704,1.0
801708,200.0
801710,3.0
801712,28.0
801715,2.0
801718,16.0
801719,2.0
801730,14.0
801733,1.0
801737,3.0
801744,15.0
801745,12955.0
801755,4.0
801758,2.0
801763,14.0
801773,15.0
801786,244.0
801824,2.0
801826,179.0
801829,2313.0
801833,45.0
801834,3396.0
801848,6.0
801849,81.0
801857,14.0
801865,10.0
801899,4.0
801909,5.0
801917,3.0
801924,2.0
801925,6.0
801930,5.0
801933,3.0
801955,168.0
801967,1.0
801976,1.0
801995,1.0
802032,25.0
802034,4.0
802037,8.0
802038,3.0
802048,3.0
802050,1.0
802052,1.0
802056,1.0
802061,1.0
802138,58.0
802141,70.0
802158,70.0
802164,274.0
802173,797.0
802180,334.0
802213,1130.0
802214,57.0
802215,806.0
802238,6230.0
802247,321.0
802248,178.0
802249,2877.0
802260,73.0
802262,20.0
802269,2.0
802273,2.0
802274,3.0
802276,1678.0
802280,11.0
802285,14880.0
802286,9.0
802289,4.0
802294,26.0
802301,200.0
802303,32.0
802307,8.0
802308,9.0
802328,8.0
802331,12.0
802335,2.0
802343,13.0
802347,13.0
802350,11.0
802354,13.0
802355,7.0
802364,48.0
802368,16.0
802369,9.0
802372,30.0
802373,6.0
802376,30.0
802379,2.0
802382,12.0
802385,1317.0
802396,436.0
802405,163.0
802412,6.0
802414,14.0
802417,3.0
802431,6.0
802432,13.0
802436,6.0
802439,10.0
802451,2016.0
802453,14.0
802467,4.0
802480,32.0
802502,6.0
802503,10.0
802534,1.0
802536,6.0
802540,11.0
802548,6.0
802549,8.0
802551,10.0
802567,4.0
802583,2.0
802590,10.0
802593,11.0
802596,500.0
802602,11.0
802605,12.0
802613,7.0
802618,8.0
802625,14.0
802633,48.0
802647,60.0
802659,5.0
802675,10.0
802682,6.0
802689,1.0
802690,3.0
802703,2193.0
802710,11.0
802712,9.0
802719,3.0
802722,6.0
802732,20.0
802738,30.0
802739,8.0
802740,6.0
802753,9.0
802760,2.0
802766,90.0
802768,8.0
802773,3.0
802779,3.0
802782,13.0
802788,3.0
802802,1.0
802804,419.0
802826,35.0
802839,175.0
802852,10.0
802858,1335.0
802860,23.0
802868,7.0
802873,4.0
802886,5.0
802891,8.0
802892,1977.0
802898,1.0
802903,5.0
802913,16.0
802923,13.0
802926,12.0
802931,4.0
802942,12.0
802944,12.0
802945,8.0
802949,46.0
802957,6.0
802960,11.0
802963,11.0
802976,2.0
802985,3.0
803005,13.0
803010,6.0
803014,3.0
803019,8.0
803023,9.0
803072,3700.0
803080,2.0
803100,30.0
803102,267.0
803123,191.0
803125,60.0
803126,36.0
803127,31.0
803129,100.0
803144,1017.0
803152,798.0
803156,131.0
803158,202.0
803159,26.0
803160,2.0
803169,1.0
803170,1.0
803177,271.0
803190,2.0
803202,80.0
803203,400.0
803225,150.0
803250,15.0
803313,890.0
803324,188.0
803339,99.0
803344,2177.0
803365,517.0
803367,403.0
803368,430.0
803379,658.0
803387,1350.0
803440,80.0
803443,80.0
803452,144.0
803470,500.0
803505,200.0
803507,40.0
803508,16.0
803510,5.0
803511,200.0
803512,450.0
803513,200.0
803514,20.0
803515,30.0
803517,40.0
803518,75.0
803519,75.0
803520,20.0
803521,35.0
803522,10.0
803523,10.0
803524,5.0
803525,4.0
803526,5.0
803528,10.0
803529,10.0
803530,20.0
803531,5.0
803532,5.0
803533,1.0
803534,20.0
803537,1.0
803542,16.0
803558,5.0
803559,40.0
803560,40.0
803579,1500.0
803583,606.0
803584,800.0
803631,369.0
803659,616.0
803682,20.0
803725,3.0
803726,3.0
803744,31.0
803747,43.0
803800,1259.0
803812,1.0
803813,1.0
803815,48.0
803816,12.0
803818,4.0
803820,5.0
803826,5.0
803864,2143.0
803865,1573.0
803880,6.0
803907,3411.0
803908,6.0
803916,12.0
803965,4.0
803975,5.0
803996,12.0
804017,3.0
804022,2.0
804026,4.0
804027,7.0
804028,7.0
804050,160.0
804070,20.0
804079,7.0
804109,2.0
804115,1466.0
804117,5.0
804128,16.0
804130,3.0
804133,340.0
